Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,Индивидуальный дизайн,2,300 см,На земле,Застройщик,100674442,https://999.md/ru/100674442?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU2MTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA2NzQ0NDIiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjA2YTg4Mzk5LTMyMmYtNDM3OS05YjZjLTFiNzFkYWExYzhkYSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTg6MzM6MzkuNjgzODMzOTgxWiJ9fQ.cEo-X09Jj1_qu72mKpLA6ZyFx-_NRnYvQGtA_wTe-Os&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=840&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,2,85 м²,3-х комнатная квартира,Oткрытое,Новострой,,15 м²,70 м²,899 €,Квартира с ливингом,Сдаю помесячно,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 33/5"
,Eвроремонт,1,,,Агентство,102865055,https://999.md/ru/102865055?location=subcategory&index=841&cardCategoryId=270&cardSubcategoryId=1404,,3,10,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Flormin-Com,,,219 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10"
,Eвроремонт,1,,Индивидуальная,Агентство,88742653,https://999.md/ru/88742653?location=subcategory&index=842&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,14,75 м²,2-х комнатная квартира,Подземная,Новострой,Inamstro,,,236 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 6"
1,Белый вариант,1,,,Застройщик,20485666,https://999.md/ru/20485666?location=subcategory&index=843&cardCategoryId=270&cardSubcategoryId=1404,,3,6,47 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,41 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Центр, str. Ștefan cel Mare și Sfînt, 189"
,Белый вариант,,,,Агентство,88658091,https://999.md/ru/88658091?location=subcategory&index=844&cardCategoryId=270&cardSubcategoryId=1404,,10,16,46 м²,1-комнатная квартира,,Новострой,,,,75 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Calea Moșilor, 4"
1,Eвроремонт,1,,,Агентство,104405570,https://999.md/ru/104405570?location=subcategory&index=845&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,7,69 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,139 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Расположение
,Eвроремонт,,,,Агентство,104502619,https://999.md/ru/104502619?location=subcategory&index=846&cardCategoryId=270&cardSubcategoryId=1404,,5,10,33 м²,1-комнатная квартира,,Новострой,,,,78 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 316"
1,Eвроремонт,1,,,Агентство,104239333,https://999.md/ru/104239333?location=subcategory&index=847&cardCategoryId=270&cardSubcategoryId=1404,,16,20,40 м²,2-х комнатная квартира,,Вторичный,,,,84 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 11"
,Без ремонта,1,,,Агентство,104476481,https://999.md/ru/104476481?location=subcategory&index=848&cardCategoryId=270&cardSubcategoryId=1404,,4,4,37 м²,2-х комнатная квартира,,Вторичный,,,,42 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, str. Cucorilor, 49"
1,Косметический pемонт,1,,,Агентство,104156209,https://999.md/ru/104156209?location=subcategory&index=849&cardCategoryId=270&cardSubcategoryId=1404,,4,5,58 м²,3-х комнатная квартира,,Вторичный,,,,74 500 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Voluntarilor, 4"
,Eвроремонт,,,,Застройщик,102360791,https://999.md/ru/102360791?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU2MTksIkMiOnsiciI6MSwiYiI6MTYwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIzNjA3OTEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjAzMDc3ZTgyLTVkNDctNGMzZC05OTAxLWFjN2MzZmE1OGZhNCIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTg6MzM6MzkuNjgzOTQ0MjQ1WiJ9fQ.SVCiHGL-_dT6X_WwhONHsouSLohsaV7TVbxlNWubF_A&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=850&cardCategoryId=270&cardSubcategoryId=1404,,4,8,67 м²,2-х комнатная квартира,,Новострой,,,,102 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Оргеев,  Кишинёв мун.",Расположение
1,Без ремонта,1,,,Агентство,104535944,https://999.md/ru/104535944?location=subcategory&index=851&cardCategoryId=270&cardSubcategoryId=1404,,1,9,36 м²,1-комнатная квартира,,Вторичный,,,,55 900 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Alecu Russo, 55/5"
1,Eвроремонт,1,,,Агентство,104154958,https://999.md/ru/104154958?location=subcategory&index=852&cardCategoryId=270&cardSubcategoryId=1404,,7,10,44 м²,1-комнатная квартира,,Новострой,Exfactor-grup,,,108 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41"
1,Eвроремонт,1,,,Агентство,104390173,https://999.md/ru/104390173?location=subcategory&index=853&cardCategoryId=270&cardSubcategoryId=1404,,2,10,75 м²,2-х комнатная квартира,,Новострой,,,,199 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,,,Агентство,104475753,https://999.md/ru/104475753?location=subcategory&index=854&cardCategoryId=270&cardSubcategoryId=1404,,5,5,42 м²,2-х комнатная квартира,,Вторичный,,,,79 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 13/4a"
1,Eвроремонт,1,,,Агентство,104300563,https://999.md/ru/104300563?location=subcategory&index=855&cardCategoryId=270&cardSubcategoryId=1404,,2,10,59 м²,2-х комнатная квартира,,Новострой,,,,156 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,,,Агентство,104475988,https://999.md/ru/104475988?location=subcategory&index=856&cardCategoryId=270&cardSubcategoryId=1404,,6,9,53 м²,2-х комнатная квартира,,Вторичный,,,,117 500 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 11"
,,1,,,Агентство,104476367,https://999.md/ru/104476367?location=subcategory&index=857&cardCategoryId=270&cardSubcategoryId=1404,,2,9,55 м²,2-х комнатная квартира,,Вторичный,,,,118 500 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
,Eвроремонт,1,,,Частное лицо,104580680,https://999.md/ru/104580680?location=subcategory&index=858&cardCategoryId=270&cardSubcategoryId=1404,,6,10,51 м²,1-комнатная квартира,Подземная,Новострой,Basconslux,,,104 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, 1/A"
1,Eвроремонт,1,,,Агентство,104180752,https://999.md/ru/104180752?location=subcategory&index=859&cardCategoryId=270&cardSubcategoryId=1404,,2,8,43 м²,1-комнатная квартира,,Новострой,,,,115 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,1,,,Агентство,104476105,https://999.md/ru/104476105?location=subcategory&index=860&cardCategoryId=270&cardSubcategoryId=1404,,3,4,60 м²,3-х комнатная квартира,,Вторичный,,,,109 900 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 4"
1,Eвроремонт,1,,,Агентство,104616694,https://999.md/ru/104616694?location=subcategory&index=861&cardCategoryId=270&cardSubcategoryId=1404,,4,5,44 м²,2-х комнатная квартира,,Вторичный,,,,69 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 6"
,Сдан в эксплуатацию,,,,Частное лицо,104616693,https://999.md/ru/104616693?location=subcategory&index=862&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,3,9,68 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,,122 400 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 57"
,Eвроремонт,,,,Агентство,104300944,https://999.md/ru/104300944?location=subcategory&index=863&cardCategoryId=270&cardSubcategoryId=1404,,3,6,67 м²,2-х комнатная квартира,,Новострой,,,,145 000 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Regina Elisabeta, 4"
2,,1,,,Частное лицо,104237157,https://999.md/ru/104237157?location=subcategory&index=864&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,11,13,78 м²,2-х комнатная квартира,,Новострой,,,,115 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 78"
