Автор объявления,Состояние квартиры,Этаж,Жилой фонд,Балкон / лоджия,id,link,Санузел,Планировка,Парковочное место,title,Ливинг,Тип,Жилая площадь,Тип здания,Количество этажей,Площадь кухни,Застройщик,price,Адрес,Высота потолков,Количество комнат,Общая площадь
Агентство,Eвроремонт,4,Новострой,1,102961740,https://999.md/ru/102961740?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5NjE3NDAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYWZkYmIzYTUtZTRiNi00ZDk0LTg3M2UtYTE3N2E2NjNjOGFlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMjo0NzozMC40MDY2MTU1ODFaIn19.bpDQg7A-jNYI__So7XGHOeu0JODg03-gzW-CFUiOAvw&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,1,,Oткрытое,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,Продам,,Kотельцовый,8,,Astercon,99 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 10/D",,1-комнатная квартира,40 м²
Застройщик,Белый вариант,3,Новострой,1,101405369,https://999.md/ru/101405369?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE0MDUzNjkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNDNjZjA0MjUtMjRhYi00NDZiLWI4NjctNDg1ODllZTk0ODk2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjY2MDA5WiJ9fQ.tmpMR0FzTvdZZPXULn6vEXdsFMA7Ht9bhQ-M4W2IEGU&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,2,Индивидуальная,Гараж,"3-х комнатная квартира,  Автовокзал,  Бельцы,  Бельцы мун.",Квартира с ливингом,Продам,80 м²,Kирпичный,8,,,88 000 €,Расположение,300 см,3-х комнатная квартира,80 м²
Частное лицо,Косметический pемонт,7,Вторичный,,103600883,https://999.md/ru/103600883?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2MDA4ODMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiMWVhNzVlYTQtNmVhZS00NWI5LTk0Y2MtOWJhNGZhMTM4OGE3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjc2NDM5N1oifX0.4fGOF-Pnt6ccRphsVOUUif5Cn2Le1ukGPLQKe_ATmsg&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Сдаю помесячно,,,8,,,500 €,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 76/2",,3-х комнатная квартира,73 м²
Частное лицо,Белый вариант,11,Новострой,,104068758,https://999.md/ru/104068758?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjg3NTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMjU2ZWEyNmQtY2VjNC00ODIyLWIxOGUtNmUyODAzMGYyMWUzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjc4OTAxOFoifX0.Q4ZjzrCtKIUXujbSlwSAe_xMgKsrZsVB6Tws_CpL04g&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,1,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Продам,,,16,,Inamstro,85 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",,2-х комнатная квартира,52 м²
Частное лицо,Eвроремонт,2,Новострой,1,104018272,https://999.md/ru/104018272?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMTgyNzIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZDkyOGQ1YzctYWVjOS00M2M2LThhYjEtNDBiYWI0M2YzNDEzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjQwNjg0OTk1NloifX0.t7hQbJu6amx3oh2Vu85CQnJMLHoEU25-Ql2Q0QSnqHE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,1,,Oткрытое,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,5,,,90 000 €,"Кишинёв мун., Кишинёв, Чокана, str. Movileni, 26",,2-х комнатная квартира,50 м²
Застройщик,Белый вариант,1,Новострой,Нет,102832078,https://999.md/ru/102832078?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzIwNzgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTI6NDc6MzAuNDA2ODg5NzE4WiJ9fQ.emTrD3SrD7E1tj12EWAgyFqIQdGC-lJwFw_UvXu8OaQ&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,2,,Гараж,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Продам,,Ячеистый Бетон,6,15 м²,Astercon,135 646 €,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",286 см,3-х комнатная квартира,96 м²
Агентство,Eвроремонт,9,Новострой,1,103373968,https://999.md/ru/103373968?location=subcategory&index=1483,,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Продам,,,9,,,210 000 €,"Кишинёв мун., Кишинёв, Центр, str. Petru Movilă, 23",,2-х комнатная квартира,80 м²
Застройщик,Белый вариант,3,Новострой,1,100963931,https://999.md/ru/100963931?location=subcategory&index=1484,1,,Подземная,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,4,,,51 587 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 102",290 см,1-комнатная квартира,42 м²
Застройщик,Белый вариант,1,Новострой,1,102745908,https://999.md/ru/102745908?location=subcategory&index=1485,2,,Подземная,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,12,,Solomon Construct Imobil,110 925 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,2-х комнатная квартира,74 м²
Агентство,Белый вариант,3,Новострой,,101943934,https://999.md/ru/101943934?location=subcategory&index=1486,2,Индивидуальная,Oткрытое,"2-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",,,,,6,,,97 000 €,"Кишинёв мун., Думбрава, Центр, str. Durlești, .",,2-х комнатная квартира,67 м²
Агентство,Белый вариант,3,Новострой,,101944058,https://999.md/ru/101944058?location=subcategory&index=1487,1,Индивидуальная,Oткрытое,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,,,6,,,68 200 €,"Кишинёв мун., Кишинёв, Буюканы, str. Durlești, .",,1-комнатная квартира,44 м²
Застройщик,Белый вариант,2,Новострой,1,100964080,https://999.md/ru/100964080?location=subcategory&index=1488,1,,Подземная,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,4,27 м²,,102 979 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 102",290 см,2-х комнатная квартира,72 м²
Агентство,Белый вариант,3,Новострой,,101939430,https://999.md/ru/101939430?location=subcategory&index=1489,1,Индивидуальная,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Продам,,,6,,,78 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Durlești, .",,2-х комнатная квартира,52 м²
Застройщик,,4,Новострой,,104115873,https://999.md/ru/104115873?location=subcategory&index=1490,,,,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,14,,Lagmar Impex,65 000 €,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 11/1",,1-комнатная квартира,47 м²
Застройщик,Белый вариант,5,Новострой,1,101072691,https://999.md/ru/101072691?location=subcategory&index=1491,1,,Подземная,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,Продам,,,12,,,60 335 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 88",,1-комнатная квартира,55 м²
Застройщик,Белый вариант,6,Новострой,1,102708699,https://999.md/ru/102708699?location=subcategory&index=1492,2,,Подземная,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,Продам,,,10,,Solomon Construct Imobil,71 500 €,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,2-х комнатная квартира,65 м²
Застройщик,Eвроремонт,12,Новострой,,101213650,https://999.md/ru/101213650?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDEyMTM2NTAiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNGIzZTcyMjEtMGFmMS00YTlmLWJiNjMtYjg2YTQzMjVkM2VmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMjo0NzozMC4wNDEzNTg0MThaIn19.c05EUsvFEVADM14nCrsGFyRyq4I2h2iHxWt-J7r4s6A&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1493,,,,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",,Продам,,,13,,Inamstro,174 000 €,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6",,2-х комнатная квартира,60 м²
Застройщик,Белый вариант,3,Новострой,1,102878857,https://999.md/ru/102878857?location=subcategory&index=1494,1,,Подземная,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,16,,Varicom,81 920 €,"Кишинёв мун., Кишинёв, Рышкановка, str-la Studenților, 18",,2-х комнатная квартира,64 м²
Агентство,Белый вариант,7,Новострой,1,102195227,https://999.md/ru/102195227?location=subcategory&index=1495,2,,Oткрытое,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,Продам,,,12,,Sky House,130 500 €,"Кишинёв мун., Кишинёв, Ботаника, str. Diminetii, 1",,3-х комнатная квартира,79 м²
Застройщик,Белый вариант,4,Новострой,,103359971,https://999.md/ru/103359971?location=subcategory&index=1496,1,,Oткрытое,"2-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",,Продам,,,13,,,134 900 €,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6",,2-х комнатная квартира,63 м²
Застройщик,Белый вариант,14,Новострой,,103631183,https://999.md/ru/103631183?location=subcategory&index=1497,2,,Подземная,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Продам,,,18,,Sky House,98 400 €,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 10a",,2-х комнатная квартира,67 м²
Агентство,Незавершенное cтроительство,5,Новострой,1,103440358,https://999.md/ru/103440358?location=subcategory&index=1498,2,Индивидуальная,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Продам,,,10,,,124 800 €,"Кишинёв мун., Кишинёв, Буюканы, str. Lipcani, /",,2-х комнатная квартира,64 м²
Агентство,Белый вариант,4,Новострой,1,101937458,https://999.md/ru/101937458?location=subcategory&index=1499,2,,Oткрытое,"3-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Квартира с ливингом,Продам,,,7,,,110 600 €,"Кишинёв мун., Кодру, Центр, ул. Кобзарилор, 100",,3-х комнатная квартира,79 м²
Застройщик,Белый вариант,8,Новострой,,101274333,https://999.md/ru/101274333?location=subcategory&index=1500,,,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,12,,Estate Invest Company,82 400 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 134",,3-х комнатная квартира,80 м²
Агентство,Белый вариант,7,Новострой,1,101937070,https://999.md/ru/101937070?location=subcategory&index=1501,1,,Oткрытое,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Квартира с ливингом,,,,7,,,133 650 €,"Кишинёв мун., Кодру, Центр, ул. Кобзарилор, 100",,2-х комнатная квартира,81 м²
Агентство,,10,Новострой,,102158123,https://999.md/ru/102158123?location=subcategory&index=1502,2,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,,,13,,,219 000 €,Расположение,,3-х комнатная квартира,82 м²
Застройщик,,4,Новострой,,103647296,https://999.md/ru/103647296?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NDcyOTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiZWQwMzE0OTctMTA4Ny00ZWE2LTk1ZjYtM2U4ZGRiZTQyYWQwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMjo0NzozMC4wNDE0MTY1MzRaIn19.lrpiK12N7UTvE55NqKaRGb0xBtlU4nFSlX0uKlc5_EQ&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1503,,,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Сдаю посуточно,,,11,,,600 MDL,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 88",,1-комнатная квартира,35 м²
Агентство,Eвроремонт,3,Вторичный,1,101685218,https://999.md/ru/101685218?location=subcategory&index=1504,2,Ст (Сталинка),Oткрытое,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,5,,,335 000 €,"Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 132",,2-х комнатная квартира,75 м²
Агентство,Белый вариант,2,Новострой,1,101972633,https://999.md/ru/101972633?location=subcategory&index=1505,2,,Oткрытое,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,10,,,129 500 €,"Кишинёв мун., Кишинёв, Чокана, ул. Вадул луй Водэ, 30",,2-х комнатная квартира,82 м²
Агентство,Белый вариант,17,Новострой,1,102105005,https://999.md/ru/102105005?location=subcategory&index=1506,1,,Oткрытое,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,18,,Horus,120 900 €,"Кишинёв мун., Кишинёв, Рышкановка, ул. Тудор Владимиреску, 1",,2-х комнатная квартира,81 м²
Агентство,Eвроремонт,1,Новострой,1,102122699,https://999.md/ru/102122699?location=subcategory&index=1507,2,,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,,,,9,,Exfactor-grup,175 000 €,"Кишинёв мун., Кишинёв, Буюканы, ул. Ион Буздуган, 13",,2-х комнатная квартира,72 м²
Агентство,Eвроремонт,8,Новострой,1,101717591,https://999.md/ru/101717591?location=subcategory&index=1508,1,Индивидуальная,Oткрытое,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,11,,Exfactor-grup,195 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28f",,2-х комнатная квартира,70 м²
Агентство,Белый вариант,2,Новострой,Нет,102112101,https://999.md/ru/102112101?location=subcategory&index=1509,1,,Oткрытое,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,11,,,80 600 €,"Кишинёв мун., Кишинёв, Чокана, str. Bucovinei, 1",,1-комнатная квартира,52 м²
Застройщик,Белый вариант,6,Новострой,,101274448,https://999.md/ru/101274448?location=subcategory&index=1510,,,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,12,,Estate Invest Company,72 360 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 134",,2-х комнатная квартира,67 м²
Агентство,Eвроремонт,9,Новострой,1,102130941,https://999.md/ru/102130941?location=subcategory&index=1511,1,,Oткрытое,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,,,,9,,,81 500 €,"Кишинёв мун., Кишинёв, Ботаника, пр-т Дачия, 60/12",,Комната,42 м²
Агентство,Белый вариант,5,Новострой,1,102102657,https://999.md/ru/102102657?location=subcategory&index=1512,2,,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,16,,Lagmar Impex,108 750 €,"Кишинёв мун., Кишинёв, Рышкановка, ул. Каля Мошилор, 4",,3-х комнатная квартира,75 м²
Агентство,Белый вариант,12,Новострой,2,102104050,https://999.md/ru/102104050?location=subcategory&index=1513,2,,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,16,,,112 500 €,"Кишинёв мун., Кишинёв, Рышкановка, ул. Каля Мошилор, 4",,3-х комнатная квартира,84 м²
Застройщик,Белый вариант,4,Новострой,1,102103199,https://999.md/ru/102103199?location=subcategory&index=1514,1,,Подземная,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,Бетон,7,,A-casa,120 120 €,"Кишинёв мун., Кишинёв, Буюканы, str. Bisericii, 1",,3-х комнатная квартира,84 м²
Агентство,Eвроремонт,3,Новострой,,101666717,https://999.md/ru/101666717?location=subcategory&index=1515,2,Индивидуальная,Oткрытое,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,9,,Exfactor-grup,179 900 €,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 9",,1-комнатная квартира,74 м²
Частное лицо,Eвроремонт,5,Вторичный,1,104087753,https://999.md/ru/104087753?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODc3NTMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZGNmNTkzZmMtMjI5Yi00ZDgyLThlMTMtYTZjNTVkMjIyMWY0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjA0MTQ4NTg1NVoifX0.9ZdhtHUMn9qhw3aoj8MirE_gOrasbTAiH6g6urGV02U&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1516,1,,Oткрытое,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,Сдаю помесячно,35 м²,,9,,,420 €,"Кишинёв мун., Кишинёв, Центр, str. Vasile Alecsandri, 17",,1-комнатная квартира,35 м²
Агентство,Белый вариант,3,Новострой,Нет,102113862,https://999.md/ru/102113862?location=subcategory&index=1517,1,,Oткрытое,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,11,,,108 750 €,"Кишинёв мун., Кишинёв, Чокана, str. Bucovinei, 1",,2-х комнатная квартира,75 м²
Застройщик,Белый вариант,12,Новострой,,101274733,https://999.md/ru/101274733?location=subcategory&index=1518,,,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,12,,Estate Invest Company,87 740 €,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 134",,2-х комнатная квартира,82 м²
Агентство,Eвроремонт,10,Новострой,,100207203,https://999.md/ru/100207203?location=subcategory&index=1519,2,,Oткрытое,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,10,,,259 900 €,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, 7",,3-х комнатная квартира,117 м²
Агентство,Eвроремонт,2,Новострой,Нет,100432121,https://999.md/ru/100432121?location=subcategory&index=1520,1,,Oткрытое,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,8,,,490 000 €,"Кишинёв мун., Кишинёв, Центр, ул. Александру чел Бун, 49/2",,2-х комнатная квартира,149 м²
Агентство,Белый вариант,1,Новострой,1,89259371,https://999.md/ru/89259371?location=subcategory&index=1521,1,,Oткрытое,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Квартира без ливинга,Продам,,,9,,,180 000 €,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 0",,2-х комнатная квартира,63 м²
Агентство,Eвроремонт,2,Вторичный,1,104019551,https://999.md/ru/104019551?location=subcategory&index=1522,1,,Oткрытое,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,Продам,,,5,,,111 900 €,"Кишинёв мун., Кишинёв, Телецентр, str. Academiei, /",,3-х комнатная квартира,57 м²
Частное лицо,Eвроремонт,6,Новострой,,103653486,https://999.md/ru/103653486?location=subcategory&index=1523,,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,75 м²,Kотельцовый,9,,Astercon,153 900 €,"Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 10/D",,3-х комнатная квартира,75 м²
Застройщик,Eвроремонт,2,Новострой,2,103498566,https://999.md/ru/103498566?location=subcategory&index=1524,1,,Подземная,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Продам,,,9,,A-casa,127 900 €,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22",,2-х комнатная квартира,72 м²
Агентство,Eвроремонт,1,Новострой,,104074130,https://999.md/ru/104074130?location=subcategory&index=1525,,,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,Kирпичный,15,,Exfactor-grup,229 000 €,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/A",,3-х комнатная квартира,92 м²
Агентство,Белый вариант,7,Новострой,,103348118,https://999.md/ru/103348118?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2OTI4NTAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNDgxMTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYTU2YjMzNTMtYWVmMy00YWM1LThjZjAtNWViNThjM2JhNTcyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDEyOjQ3OjMwLjA0MTUyMjk1N1oifX0.uqMujIamGDjJM-NWg6etgdnnhHPMi4187FSUskEKuZQ&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1526,,,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,Продам,,,17,,,139 900 €,"Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 19/2",,3-х комнатная квартира,86 м²
Агентство,Eвроремонт,6,Новострой,1,104001624,https://999.md/ru/104001624?location=subcategory&index=1527,1,,Гараж,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Квартира с ливингом,Продам,,,9,,,126 900 €,Расположение,,2-х комнатная квартира,66 м²
Агентство,Eвроремонт,10,Новострой,1,103749006,https://999.md/ru/103749006?location=subcategory&index=1528,2,,Oткрытое,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,11,,,192 000 €,"Кишинёв мун., Кишинёв, Ботаника, ул. Гренобле, 128/1",,2-х комнатная квартира,130 м²
Агентство,,5,Вторичный,,102884930,https://999.md/ru/102884930?location=subcategory&index=1529,,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,5,,,83 000 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 161/4",,2-х комнатная квартира,47 м²
Агентство,Eвроремонт,2,Новострой,,103689233,https://999.md/ru/103689233?location=subcategory&index=1530,2,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Продам,,,7,,,320 000 €,"Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 7 F",,3-х комнатная квартира,115 м²
Застройщик,Белый вариант,13,Новострой,2,102625611,https://999.md/ru/102625611?location=subcategory&index=1531,2,,Подземная,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Квартира с ливингом,Продам,,,13,,Ecovzor,207 900 €,"Кишинёв мун., Кишинёв, Рышкановка, ул. Язулуй, 38",,2-х комнатная квартира,126 м²
