Автор объявления,Застройщик,Балкон / лоджия,Планировка,Жилая площадь,link,price,Площадь кухни,Этаж,Жилой фонд,Санузел,Количество комнат,Адрес,Высота потолков,id,Общая площадь,Ливинг,Тип,Состояние квартиры,Количество этажей,Тип здания,title,Парковочное место
Застройщик,Golban Trade,,,42 м²,https://999.md/ru/103941569,106 900 €,,5,Новострой,1,1-комнатная квартира,"Кишинёв мун., Дурлешты, Окраина, str. Nicolae Dimo, 36",,103941569,42 м²,Квартира с ливингом,Продам,Eвроремонт,6,Mонолитный,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",
Агентство,Reconscivil,1,,80 м²,https://999.md/ru/103940968,193 500 €,,7,Новострой,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 40",,103940968,80 м²,Квартира без ливинга,Продам,Индивидуальный дизайн,8,Mонолитный,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Гараж
Агентство,,2,,,https://999.md/ru/103940426,127 900 €,,1,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22",,103940426,72 м²,Квартира без ливинга,Продам,Eвроремонт,10,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,1,,54 м²,https://999.md/ru/103895209,106 900 €,,2,Вторичный,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 33",,103895209,55 м²,Квартира с ливингом,Продам,Eвроремонт,4,Kотельцовый,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,Golban Trade,Нет,,,https://999.md/ru/103814148,106 900 €,,5,Новострой,1,1-комнатная квартира,"Кишинёв мун., Дурлешты, Центр, str. Mihail Odatiuc, 57",,103814148,42 м²,Квартира с ливингом,Продам,Eвроремонт,6,Mонолитный,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Oткрытое
Застройщик,Solomon Construct Imobil,,,,https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk1OTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMTA6NDY6MzguMDEwNjE5NjhaIn19.QJbTVHhB-ZO9Jk4flj3pHDPWooWabQUND_hnrVob_sQ&adType=booster,79 123 €83 440 €,,5,Новострой,,2-х комнатная квартира,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",290 см,101794818,72 м²,Квартира с ливингом,Продам,Незавершенное cтроительство,9,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103844930?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk1OTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4NDQ5MzAiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6IjAyYTFhOGVkLWM0NjktNDUzYy1iODhkLWUyNzFlYjA1ZTI1ZSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNC0wNVQxMDo0NjozOC4wMTAwMTUwNThaIn19.neqLo8ZCy2vlnRh-aAitYpaIDqwJ9o-ZGDKpitCDwak&adType=booster,119 900 €,,3,Вторичный,,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1/2",,103844930,73 м²,,Продам,,9,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Частное лицо,Exfactor-grup,2,,,https://999.md/ru/103821456?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk1OTgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MjE0NTYiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiMjBlY2JhNjktOTZkYy00NWY5LWFkOWMtNjMwYTVkMjI0YjUyIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDEwOjQ2OjM4LjAxMDE1NjUxOFoifX0.WpP52B6kpZb_Dqwrz5BiXwdrizqv5F2ieygy3st5ClU&adType=booster,102 000 €,,3,Новострой,2,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Schinoasa-Vale, 12/59",,103821456,85 м²,Квартира с ливингом,Продам,Белый вариант,7,Kирпичный,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Застройщик,,1,,,https://999.md/ru/103962174?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk1OTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NjIxNzQiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYWQwZjZhYjYtNTllYy00MGYxLWIyZTItMmJlMmY2YTExNzAwIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQxMDo0NjozOC4wMTAyOTM5NDVaIn19.ZBrj8vb1LTcoNTAV_vZeR1E_KdXPsBHyWUEi05Q6N2w&adType=booster,83 900 €,,2,Вторичный,1,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 29/3",,103962174,62 м²,,Продам,,5,Kотельцовый,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,,,,,https://999.md/ru/100621976?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk1OTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA2MjE5NzYiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6ImMwMTM3MTJkLTllNDEtNDlhNS1iNTNlLWNlNTIxNTMzYTM5OCIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMTA6NDY6MzguMDEwMzU1MTA4WiJ9fQ.6DAZyHa1ZcIxAcCyayPl09dVQAGeZj1xSCDI1xinhNI&adType=booster,47 323 €,,2,Новострой,,1-комнатная квартира,"Кишинёв мун., Чореску, Окраина, str. Chişinău, 57",,100621976,45 м²,,Продам,,4,,"1-комнатная квартира,  Окраина,  Чореску,  Кишинёв мун.",
Частное лицо,,,Хрущевка,,https://999.md/ru/103948194?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NDgxOTQiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNThlMWI3NmItZDEzMi00OTdjLTk1NzktZjE0YzRkOTRmM2UyIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDEwOjUwOjMzLjk1ODUwOTc1NloifX0.BMEl7EDWdhOdyGaJkfz95dkSEczrCpWBVbMCOqcCOiU&adType=booster,92 000 €,6 м²,5,Вторичный,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 12",,103948194,48 м²,Квартира без ливинга,Продам,,5,Бетон,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103344584?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNDQ1ODQiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMGY0MDBjZDYtMzFmZS00YzZlLThhYzUtZGE4ZWY5MmZlYTBmIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQxMDo1MDozMy45NTg1OTU2NDRaIn19.csNhQej8jBQTGSYX5LqcQvFnjcIgk21MPfW3b81AQdw&adType=booster,110 300 €,,3,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кодру, Окраина, str. Soarelui, 87",,103344584,58 м²,Квартира с ливингом,Продам,Белый вариант,8,Mонолитный,"2-х комнатная квартира,  Окраина,  Кодру,  Кишинёв мун.",
Застройщик,Ecovzor,1,,,https://999.md/ru/103368501?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjg1MDEiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMjJlMDZhOTItYzIzOS00NzFiLWEyOGItYTJiMzMwZjY0NTI2IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDEwOjUwOjMzLjk1ODYzOTIzMloifX0.gBqdBhVVtolgquaLNy2msP9IAva5ZZFog_ZfUPiA88k&adType=booster,88 200 €,,5,Новострой,2,2-х комнатная квартира,"Кишинёв мун., Криково, Центр, str. Vasile Alescandri, 5",295 см,103368501,63 м²,Квартира без ливинга,Продам,Белый вариант,7,Mонолитный,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Oткрытое
Агентство,,2,Индивидуальная,99 м²,https://999.md/ru/102774741?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3NzQ3NDEiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6IjUxZmI3MjA2LTRlZGQtNGMxYy04YTgxLWYyODFiNTczZjBlYiIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMTA6NTA6MzMuOTU4NzQwMDU0WiJ9fQ.IK-1ujexrBSkt0K24sCCBgY0Mt7F4jENFkYcGKymOW0&adType=booster,581 000 €,33 м²,5,Новострой,3,4-x комнатная квартира,"Кишинёв мун., Кишинёв, Центр, ул. Сфатул Цэрий, 59",,102774741,166 м²,,Продам,Индивидуальный дизайн,9,,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Частное лицо,,1,Мс (Молд. Серия),,https://999.md/ru/102670112?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI2NzAxMTIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZTRmYmZiYzgtNWNmZi00OTI2LTgwMjktNWQzNmVhNDgyOTNhIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDEwOjUwOjMzLjk1ODgwNjY5WiJ9fQ.hLg8Oe5IhPYxu29n9KhNyqfmiJx82xwuEDLbYQMp_GM&adType=booster,112 000 €,,2,Вторичный,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 209",,102670112,72 м²,Квартира с ливингом,Продам,Индивидуальный дизайн,9,Панельный,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Oткрытое
Частное лицо,,1,,,https://999.md/ru/103796293?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzMsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3OTYyOTMiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiMDNjZDdhMzEtM2IzMi00OTBjLWFlNDctNjYzNmU4MDllMTU0IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDEwOjUwOjMzLjk1ODg0OTU1NFoifX0.r_a8U8hTgTYWIoQ_umZvBShnaf0j3xurFHhwHXD2kEI&adType=booster,849 000 €,,8,Новострой,,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Alexandr Pușkin, 49",,103796293,187 м²,Квартира с ливингом,Продам,Eвроремонт,2,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Подземная
Агентство,Reconscivil,1,,,https://999.md/ru/103813352,193 500 €,,7,Новострой,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 40",,103813352,80 м²,Квартира без ливинга,Продам,Eвроремонт,8,Mонолитный,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Гараж
Агентство,,1,,,https://999.md/ru/103668846,29 900 €,,5,Вторичный,1,Комната,"Кишинёв мун., Кишинёв, Аэропорт, Dacia, 73",,103668846,26 м²,,Продам,,5,,"Комната,  Аэропорт,  Кишинёв,  Кишинёв мун.",
Застройщик,Golban Trade,,,,https://999.md/ru/103631205,87 384 €,,5,Новострой,,2-х комнатная квартира,"Комрат, Комрат, Центр, str. Lenin, 198",,103631205,79 м²,Квартира с ливингом,Продам,Белый вариант,9,,"2-х комнатная квартира,  Центр,  Комрат,  Комрат",Oткрытое
Агентство,,2,,,https://999.md/ru/103631034,127 900 €,,1,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22",,103631034,72 м²,Квартира с ливингом,Продам,Eвроремонт,10,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Частное лицо,,,,,https://999.md/ru/101484805?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzQsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE0ODQ4MDUiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNGNkOGRiMGMtOWYyYS00YzdkLTkxMjUtYjA2MGZiYTMwMTYyIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDEwOjUwOjM0LjAyNjkzMTYwMVoifX0.XoAOF0sldMGw_HsxF2rknhT4wY0LY3xT2XRtwmcsHVI&adType=booster,158 000 €,,1,Вторичный,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Buiucani, 4",,101484805,113 м²,Квартира с ливингом,Продам,Индивидуальный дизайн,5,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,,,,https://999.md/ru/103534855,79 900 €,,6,Вторичный,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 108",,103534855,56 м²,,Продам,Eвроремонт,6,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103531831,33 000 €,,5,Вторичный,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, str. Gheorghe Madan, 2",,103531831,16 м²,,Продам,Eвроремонт,6,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Агентство,,2,,,https://999.md/ru/103500913,127 900 €,,1,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22",,103500913,72 м²,,Продам,Eвроремонт,10,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Застройщик,,,,,https://999.md/ru/103500260,77 900 €,,1,Вторичный,1,5-ти комн. кварт. и более,"Кишинёв мун., Бубуечь, Центр, str. Trandafirilor, 19",,103500260,120 м²,Квартира без ливинга,Продам,Нуждается в ремонте,1,,"5-ти комн. кварт. и более,  Центр,  Бубуечь,  Кишинёв мун.",
Застройщик,Lagmar Impex,,,,https://999.md/ru/102698278,179 900 €,,4,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 19",,102698278,64 м²,Квартира с ливингом,Продам,Eвроремонт,14,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Частное лицо,,,,,https://999.md/ru/103913467,76 500 €,,4,Вторичный,,1-комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 9/1",,103913467,32 м²,,Продам,,5,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Агентство,Exfactor-grup,1,,,https://999.md/ru/101915709,132 430 €,,2,Новострой,1,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",,101915709,70 м²,Квартира с ливингом,Продам,Белый вариант,14,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Агентство,,1,,,https://999.md/ru/103512660,28 900 €,,5,Вторичный,1,1-комнатная квартира,"Бельцы мун., Бельцы, БАМ, str. Bulgară, 19/8",,103512660,25 м²,,Продам,Косметический pемонт,5,Kотельцовый,"1-комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",Oткрытое
Агентство,,Нет,,,https://999.md/ru/103696588,44 500 €,,4,Вторичный,1,2-х комнатная квартира,"Бельцы мун., Бельцы, Северный Вокзал, str. Locomotivelor, 3b",,103696588,52 м²,,Продам,Косметический pемонт,5,Kотельцовый,"2-х комнатная квартира,  Северный Вокзал,  Бельцы,  Бельцы мун.",
Агентство,,,,,https://999.md/ru/103944015?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzQsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NDQwMTUiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjY4N2ZiMzBiLTNhMmYtNDY3MC1hYjg4LTlkZmUxOWQ1NGUwZiIsImUiOiI4OS4xNDkuOTEuMTcwIiwidCI6IjIwMjYtMDQtMDVUMTA6NTA6MzQuMDI3MDY5ODU5WiJ9fQ.aJANQ9igG_-mhdHUyGk6zJQO8Ji1CT8oGiF3ju4LXdQ&adType=booster,139 900 €145 000 €,,10,Новострой,1,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, -",,103944015,77 м²,Квартира с ливингом,Продам,Eвроремонт,10,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Застройщик,Inamstro,,,,https://999.md/ru/103987755,149 900 €,,8,Новострой,,1-комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 6",275 см,103987755,64 м²,Квартира с ливингом,Продам,,9,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,Нет,Индивидуальная,,https://999.md/ru/103902566,44 900 €,,1,Вторичный,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, .",,103902566,21 м²,,Продам,Eвроремонт,5,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Oткрытое
Агентство,,Нет,,,https://999.md/ru/103987753,176 500 €,,4,Новострой,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 39",,103987753,85 м²,Квартира с ливингом,Продам,Eвроремонт,9,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Oткрытое
Частное лицо,,,,,https://999.md/ru/103725285,61 900 €,,4,Вторичный,,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Старая Почта, str. Gheorghe Madan, 50/3",,103725285,35 м²,Квартира с ливингом,Продам,,5,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
Частное лицо,Gonvaro-Con,1,Индивидуальная,49 м²,https://999.md/ru/103783703,115 000 €,,7,Новострой,1,1-комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, ул. Корнулуй, 23",300 см,103783703,49 м²,Квартира с ливингом,Продам,Индивидуальный дизайн,8,Kотельцовый,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Агентство,,1,,,https://999.md/ru/101785429,160 000 €,,4,Новострой,,1-комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Orheiului, 28/1",,101785429,105 м²,,Продам,,12,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,NG Invest,1,,,https://999.md/ru/102604922,1 281 000 €,,Пентхаус,Новострой,,5-ти комн. кварт. и более,"Кишинёв мун., Кишинёв, Центр, str. Serghei Lazo, 46",,102604922,366 м²,Квартира с ливингом,Продам,Белый вариант,10,Kирпичный,"5-ти комн. кварт. и более,  Центр,  Кишинёв,  Кишинёв мун.",Подземная
Застройщик,NG Invest,2,,,https://999.md/ru/102632166,118 170 €,,Пентхаус,Новострой,2,3-х комнатная квартира,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 8",,102632166,101 м²,Квартира с ливингом,Продам,Белый вариант,9,Kирпичный,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
Застройщик,NG Invest,2,,,https://999.md/ru/102632281,157 950 €,,Пентхаус,Новострой,2,4-x комнатная квартира,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 2",,102632281,135 м²,Квартира с ливингом,Продам,Белый вариант,9,Kирпичный,"4-x комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
Агентство,,,,,https://999.md/ru/103592765,165 500 €,,10,Новострой,1,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, -",,103592765,75 м²,Квартира с ливингом,Продам,Eвроремонт,10,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Застройщик,NG Invest,2,,,https://999.md/ru/102503413,372 450 €,,Пентхаус,Новострой,2,5-ти комн. кварт. и более,"Кишинёв мун., Кишинёв, Рышкановка, str. Spartacus, 36",3000 см,102503413,191 м²,Квартира с ливингом,Продам,Белый вариант,25,Kирпичный,"5-ти комн. кварт. и более,  Рышкановка,  Кишинёв,  Кишинёв мун.",Подземная
Застройщик,NG Invest,,,,https://999.md/ru/102503286,239 850 €,,23,Новострой,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Spartacus, 36",3000 см,102503286,123 м²,Квартира с ливингом,Продам,Белый вариант,25,Kирпичный,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Подземная
Агентство,,,,,https://999.md/ru/103953756?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzODk4MzQsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NTM3NTYiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjQzMGY0YzQ1LThjMTYtNDcxNS05MjIzLTBiNTdjNDE2NmE4MCIsImUiOiI4OS4xNDkuOTEuMTcwIiwidCI6IjIwMjYtMDQtMDVUMTA6NTA6MzQuMDI3MTQzMDcyWiJ9fQ.6YaH08mqJ3_j2Sy_4wcTkmJbQlpUnjg27wbBLdaD2sQ&adType=booster,105 000 €118 000 €,,6,Вторичный,2,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 7/3",,103953756,74 м²,Квартира без ливинга,Продам,Косметический pемонт,14,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Oткрытое
Застройщик,NG Invest,,,,https://999.md/ru/102503188,140 400 €,,14,Новострой,2,2-х комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Spartacus, 36",3000 см,102503188,72 м²,Квартира с ливингом,Продам,Белый вариант,25,Kирпичный,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Подземная
Застройщик,NG Invest,1,,,https://999.md/ru/102631908,87 750 €,,Пентхаус,Новострой,2,2-х комнатная квартира,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,102631908,75 м²,Квартира с ливингом,Продам,Белый вариант,9,Kирпичный,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Подземная
Застройщик,NG Invest,Нет,,,https://999.md/ru/102498650,68 250 €,,13,Новострой,,1-комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, str. Spartacus, 36",,102498650,35 м²,,Продам,Белый вариант,25,Kирпичный,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Подземная
Частное лицо,,,,,https://999.md/ru/103857949,96 500 €,,3,Новострой,,1-комнатная квартира,Расположение,,103857949,45 м²,Квартира с ливингом,Продам,Eвроремонт,7,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
Застройщик,Varicom,,,,https://999.md/ru/103645297,102 090 €,,10,Новострой,,3-х комнатная квартира,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 17/1",,103645297,1230 м²,,Продам,,16,,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
