Балкон / лоджия,Санузел,Состояние квартиры,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Парковочное место,Количество комнат,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,1,Незавершенное cтроительство,Индивидуальная,,Агентство,104260892,https://999.md/ru/104260892?location=subcategory&index=3567&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,5,11,30 м²,Подземная,1-комнатная квартира,Новострой,Kirsan,,,34 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Așhabad, 127/2"
2,1,Eвроремонт,Индивидуальная,2 см,Частное лицо,104611350,https://999.md/ru/104611350?location=subcategory&index=3568&cardCategoryId=270&cardSubcategoryId=1404,Mонолитный,15,17,70 м²,Oткрытое,3-х комнатная квартира,Вторичный,A-casa,9 м²,40 м²,120 000 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника,  муншеская , 54"
3,,Eвроремонт,,,Частное лицо,104611263,https://999.md/ru/104611263?location=subcategory&index=3569&cardCategoryId=270&cardSubcategoryId=1404,,9,9,72 м²,,3-х комнатная квартира,Вторичный,,20 м²,,50 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Сороки,  Сороки","Сороки, Сороки, Центр, ул. Виилор, 19"
1,1,Белый вариант,,,Застройщик,101600761,https://999.md/ru/101600761?location=subcategory&index=3570&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,10,40 м²,Oткрытое,1-комнатная квартира,Новострой,,,,48 240 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/6"
,,,,,Агентство,104235083,https://999.md/ru/104235083?location=subcategory&index=3571&cardCategoryId=270&cardSubcategoryId=1404,,6,6,52 м²,,2-х комнатная квартира,Новострой,,,,84 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Расположение
1,2,Белый вариант,,,Агентство,104188388,https://999.md/ru/104188388?location=subcategory&index=3572&cardCategoryId=270&cardSubcategoryId=1404,,5,10,62 м²,,2-х комнатная квартира,Новострой,Peak Development,,,102 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, ул. Вадул луй Водэ, 34"
,2,Белый вариант,,,Агентство,104208200,https://999.md/ru/104208200?location=subcategory&index=3573&cardCategoryId=270&cardSubcategoryId=1404,,9,10,119 м²,Oткрытое,3-х комнатная квартира,Новострой,Dansicons,,,153 900 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, ул. Николае Милеску-Спэтарул, 47"
Нет,1,Eвроремонт,Индивидуальная,,Агентство,101255336,https://999.md/ru/101255336?location=subcategory&index=3574&cardCategoryId=270&cardSubcategoryId=1404,,7,10,95 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,179 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul;str. Nicolae Milescu Spătarul, 63"
1,2,Eвроремонт,,,Агентство,100180882,https://999.md/ru/100180882?location=subcategory&index=3575&cardCategoryId=270&cardSubcategoryId=1404,,2,10,90 м²,Oткрытое,3-х комнатная квартира,Новострой,Dansicons,,,185 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, ул. Николае Милеску-Спэтарул, 43"
2,2,Eвроремонт,,,Агентство,104188611,https://999.md/ru/104188611?location=subcategory&index=3576&cardCategoryId=270&cardSubcategoryId=1404,,10,11,130 м²,,2-х комнатная квартира,Новострой,,,,192 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Гренобле, 128/1"
Нет,1,Eвроремонт,,,Агентство,104092528,https://999.md/ru/104092528?location=subcategory&index=3577&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,1,7,47 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,85 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, ул. Молдова, 2/3"
1,,Eвроремонт,Индивидуальная,,Частное лицо,104366263,https://999.md/ru/104366263?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAyMDgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQzNjYyNjMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZWE4ZmIzMDUtM2RmYi00YmRmLWJjMTYtYThlNDRmMWNiZjlhIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo1MDowOC4xNTE2NjY0NDJaIn19.rv4u98_AmJ4hx-amRKnaYNUNh00EyZt_kgiSX9gatfU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3578&cardCategoryId=270&cardSubcategoryId=1404,,7,10,53 м²,,1-комнатная квартира,Новострой,,,,500 €,Квартира с ливингом,Сдаю помесячно,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 20/4"
,1,Eвроремонт,,,Агентство,104041499,https://999.md/ru/104041499?location=subcategory&index=3579&cardCategoryId=270&cardSubcategoryId=1404,,3,9,20 м²,,Комната,Вторичный,,,,37 500 €,,Продам,"Комната,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 26/3"
1,1,Eвроремонт,,,Частное лицо,102996873,https://999.md/ru/102996873?location=subcategory&index=3580&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,7,7,67 м²,Oткрытое,2-х комнатная квартира,Новострой,Astercon,,,144 050 €,,Продам,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Окраина, str. Durlești, 7"
,,,,,Агентство,104007932,https://999.md/ru/104007932?location=subcategory&index=3581&cardCategoryId=270&cardSubcategoryId=1404,,5,18,63 м²,,2-х комнатная квартира,Вторичный,,,,86 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ismail, 92/1"
,,,,,Агентство,104607008,https://999.md/ru/104607008?location=subcategory&index=3582&cardCategoryId=270&cardSubcategoryId=1404,,7,13,38 м²,,1-комнатная квартира,Новострой,,,,95 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 24/6"
1,1,Косметический pемонт,,270 см,Частное лицо,101206297,https://999.md/ru/101206297?location=subcategory&index=3583&cardCategoryId=270&cardSubcategoryId=1404,Панельный,2,9,90 м²,Oткрытое,4-x комнатная квартира,Вторичный,,,,125 000 €,,Продам,"4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 26/1"
,,,,,Агентство,104464245,https://999.md/ru/104464245?location=subcategory&index=3584&cardCategoryId=270&cardSubcategoryId=1404,,3,11,63 м²,,Комната,Новострой,Dansicons,,,126 500 €,Квартира с ливингом,Продам,"Комната,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 21/3"
1,1,Eвроремонт,Индивидуальная,,Агентство,102367462,https://999.md/ru/102367462?location=subcategory&index=3585&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,10,74 м²,Oткрытое,2-х комнатная квартира,Новострой,Exfactor-grup,,,179 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Расположение
1,2,Eвроремонт,135,,Агентство,104205709,https://999.md/ru/104205709?location=subcategory&index=3586&cardCategoryId=270&cardSubcategoryId=1404,,2,9,55 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,,118 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 15/1"
1,1,Eвроремонт,,,Агентство,103430077,https://999.md/ru/103430077?location=subcategory&index=3587&cardCategoryId=270&cardSubcategoryId=1404,,4,21,61 м²,Oткрытое,2-х комнатная квартира,Новострой,Braus Imobiliare,,,143 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 15"
,,,,,Агентство,104357011,https://999.md/ru/104357011?location=subcategory&index=3588&cardCategoryId=270&cardSubcategoryId=1404,,1,10,36 м²,,1-комнатная квартира,Новострой,,,,117 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
,1,Eвроремонт,,,Агентство,104610905,https://999.md/ru/104610905?location=subcategory&index=3589&cardCategoryId=270&cardSubcategoryId=1404,,4,5,45 м²,Oткрытое,2-х комнатная квартира,Вторичный,,,45 м²,89 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Miorita, 3/10"
,1,Eвроремонт,,,Агентство,104486057,https://999.md/ru/104486057?location=subcategory&index=3590&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,5,8,60 м²,Oткрытое,2-х комнатная квартира,Новострой,,,,132 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, ул. Александру чел Бун, 2/8"
1,2,Eвроремонт,,,Агентство,104205257,https://999.md/ru/104205257?location=subcategory&index=3591&cardCategoryId=270&cardSubcategoryId=1404,,8,12,51 м²,Oткрытое,1-комнатная квартира,Новострой,Exfactor-grup,,,137 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 41/A"
1,1,Eвроремонт,Брж (Брежневка),,Агентство,104208356,https://999.md/ru/104208356?location=subcategory&index=3592&cardCategoryId=270&cardSubcategoryId=1404,,4,5,34 м²,Oткрытое,1-комнатная квартира,Вторичный,,,,74 500 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, ул. Индепенденцей, 9/1"
,1,Eвроремонт,,,Агентство,104075794,https://999.md/ru/104075794?location=subcategory&index=3593&cardCategoryId=270&cardSubcategoryId=1404,,4,9,69 м²,Oткрытое,2-х комнатная квартира,Новострой,Solomon Construct Imobil,,,155 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, ул. Яловень, 120"
1,1,Eвроремонт,,,Агентство,104446534,https://999.md/ru/104446534?location=subcategory&index=3594&cardCategoryId=270&cardSubcategoryId=1404,,8,12,54 м²,Oткрытое,2-х комнатная квартира,Новострой,Exfactor-grup,,,171 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, пр-т Мирча чел Бэтрын, 41/B"
