Балкон / лоджия,Планировка,Застройщик,link,Площадь кухни,Ливинг,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
,,Lagmar Impex,https://999.md/ru/103723243?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MjMyNDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTMuMTM5IiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMjBUMTc6Mzc6MDguNDA2MzI5MTIyWiJ9fQ.AJ-7xwHfECJ3aykEIJxxHPyHTG10_Wlm1jm0B_9MA4s&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,,Квартира с ливингом,Oткрытое,10,1,,127 000 €,12,41 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 17",103723243,Новострой,,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,
1,Индивидуальная,Sky House,https://999.md/ru/104067527?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjc1MjciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTRkNjVjMmQtOTY0NS00M2M0LTliNzUtZmEyNzI2ZmIyNjFiIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjQyMDA3OVoifX0.tIcyVA__8S-DRC-NgxY8qQB0VDnRbGJ1bBQczzk-eGA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,39 м²,,Oткрытое,5,1,220 см,50 000 €,12,39 м²,"Кишинёв мун., Кишинёв, Ботаника, Cetatea Albă nr 11/G, Noua",104067527,Новострой,Ячеистый Бетон,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,Белый вариант
,,,https://999.md/ru/103348118?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNDgxMTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYTU2YjMzNTMtYWVmMy00YWM1LThjZjAtNWViNThjM2JhNTcyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjQ0MzE1NloifX0.1wFz9Mbbo3hS83hVNLLMBigmhbYvt2A9u4gywKTy7DY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,,,,7,,,139 900 €,17,86 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 19/2",103348118,Новострой,,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
,Индивидуальная,Inamstro,https://999.md/ru/89697488?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTY5NzQ4OCIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InBybyIsImwiOiIyNTQ3ZWNjMi1hZjQxLTRhZjAtOTVlYi00YjBlMjg0Zjc3N2EiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJ0dXJibyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjQ2NDczOFoifX0.g7YJOyoqPQL01QLkw4mvsVv3YVakt_guqGflvqdNEho&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,Квартира с ливингом,,2,2,,245 000 €,8,100 м²,"Кишинёв мун., Кишинёв, Центр, str. Avram Iancu, 32",89697488,Новострой,Kирпичный,100 м²,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Индивидуальный дизайн
1,,,https://999.md/ru/83170557?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjgsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MzE3MDU1NyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiMzAyOGJmOTAtM2Q3Yi00NjBjLWJlY2ItMzM2MzA1ZjdjZjA1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA4LjQwNjUzMzcxOFoifX0.VajmiQxVoXjNvyx9AmWWNq0aFFiRbKEq0svkg4VcPmc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,,Oткрытое,6,1,,550 €,9,65 м²,Расположение,83170557,Новострой,Kомбинированный,57 м²,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Агентство,1-комнатная квартира,Индивидуальный дизайн
1,Индивидуальная,Astercon,https://999.md/ru/103764344?location=subcategory&index=1951,,,Oткрытое,3,1,,149 500 €,7,75 м²,"Кишинёв мун., Думбрава, Центр, Durlesti, 10",103764344,Новострой,Kотельцовый,,"2-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Kirsan,https://999.md/ru/103929438?location=subcategory&index=1952,,,Oткрытое,5,2,,144 900 €,13,68 м²,"Кишинёв мун., Кишинёв, Центр, Ion Nistor, 2",103929438,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Белый вариант
1,Индивидуальная,Kirsan,https://999.md/ru/103929479?location=subcategory&index=1953,,,Oткрытое,11,2,,205 900 €,11,97 м²,"Кишинёв мун., Кишинёв, Телецентр, Constantin Vârnav, 20",103929479,Новострой,Ячеистый Бетон,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103625212?location=subcategory&index=1954,,,Oткрытое,1,1,,84 500 €,12,47 м²,"Кишинёв мун., Кишинёв, Ботаника, Plaiului, 7",103625212,Новострой,Kомбинированный,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Косметический pемонт
1,Индивидуальная,Braus Imobiliare,https://999.md/ru/103805640?location=subcategory&index=1955,,,Подземная,2,1,,67 600 €,10,52 м²,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 140/1",103805640,Новострой,Kомбинированный,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,Агентство,1-комнатная квартира,Белый вариант
1,,,https://999.md/ru/103865660?location=subcategory&index=1956,,,Oткрытое,5,1,,38 000 €,6,31 м²,"Кишинёв мун., Кишинёв, Буюканы, Suceava, 119",103865660,Вторичный,Kотельцовый,,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,Комната,Без ремонта
1,Брж (Брежневка),,https://999.md/ru/103931048?location=subcategory&index=1957,,,Oткрытое,3,2,,80 000 €,5,51 м²,"Кишинёв мун., Кишинёв, Рышкановка, Miron Costin, 13/1",103931048,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
Нет,,,https://999.md/ru/103293211?location=subcategory&index=1958,,,Oткрытое,6,1,,25 000 €,9,17 м²,"Кишинёв мун., Кишинёв, Ботаника, Independenței, 36",103293211,Вторичный,Панельный,,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,Комната,Косметический pемонт
2,Индивидуальная,,https://999.md/ru/103929277?location=subcategory&index=1959,,,Oткрытое,5,2,300 см,140 000 €,11,100 м²,"Кишинёв мун., Кишинёв, Телецентр, Nicolae Testimiteanu, 37",103929277,Новострой,Kотельцовый,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
1,,Exfactor-grup,https://999.md/ru/102898684?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4OTg2ODQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjlkZjMwMGM3LTA3OTMtNDk2My1iODhlLWIwZjUwMzY5NDViYyIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTc6Mzc6MDcuOTM0NDMyNDY1WiJ9fQ.p75Fceb_ZqAO2I3vZnDYQq-MhE5J8WOHQ_eqhsfkkAM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1960,,Квартира с ливингом,Oткрытое,11,1,,50 €,11,60 м²,"Кишинёв мун., Кишинёв, Центр, ул. Андрей Дога, 2/1",102898684,Новострой,,60 м²,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Застройщик,1-комнатная квартира,Eвроремонт
3,143,,https://999.md/ru/103682656?location=subcategory&index=1961,,,Oткрытое,1,2,,91 900 €,9,86 м²,"Кишинёв мун., Кишинёв, Чокана, Nicolae Milescu Spătarul, 25",103682656,Вторичный,Панельный,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Косметический pемонт
1,102,,https://999.md/ru/102941205?location=subcategory&index=1962,,,Oткрытое,5,1,,61 500 €,5,45 м²,"Кишинёв мун., Кишинёв, Ботаника, Șoseaua Muncești, 806/2",102941205,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
1,135,,https://999.md/ru/103699815?location=subcategory&index=1963,,,Oткрытое,2,2,,94 900 €,9,55 м²,"Кишинёв мун., Кишинёв, Старая Почта, Gheorghe Madan, 46/6",103699815,Вторичный,Панельный,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
1,Индивидуальная,,https://999.md/ru/102767356?location=subcategory&index=1964,,,Oткрытое,4,1,,114 900 €,7,63 м²,"Кишинёв мун., Дурлешты, Окраина, Tudor Vladimirescu, 52",102767356,Новострой,Kомбинированный,,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Astercon,https://999.md/ru/102166258?location=subcategory&index=1965,,,Oткрытое,6,1,,98 500 €,7,45 м²,"Кишинёв мун., Дурлешты, Центр, Durlești, 10",102166258,Новострой,Kотельцовый,,"1-комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Мс (Молд. Серия),,https://999.md/ru/103865437?location=subcategory&index=1966,,,Oткрытое,1,2,,84 900 €,10,55 м²,"Кишинёв мун., Кишинёв, Чокана, Ginta Latină, 19/1",103865437,Вторичный,Панельный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
1,102,,https://999.md/ru/103929688?location=subcategory&index=1967,,,Oткрытое,2,2,,78 900 €,5,53 м²,"Кишинёв мун., Кишинёв, Ботаника, Grenoble, 130/1",103929688,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
1,Индивидуальная,Erinvest,https://999.md/ru/102951512?location=subcategory&index=1968,,,Подземная,4,1,,75 900 €,8,66 м²,"Яловены, Яловены, Окраина, Alexandru cel bun, 2/8",102951512,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Окраина,  Яловены,  Яловены",Продам,Агентство,2-х комнатная квартира,Незавершенное cтроительство
1,Индивидуальная,,https://999.md/ru/103871847?location=subcategory&index=1969,,,Oткрытое,17,2,,83 000 €,18,55 м²,"Кишинёв мун., Кишинёв, Центр, Albișoara, 82/2",103871847,Вторичный,Бетон,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Ecosem Grup,https://999.md/ru/103426386?location=subcategory&index=1970,,,Oткрытое,6,1,,140 000 €,13,77 м²,"Кишинёв мун., Кишинёв, Чокана, Nicolae Sulac, 8A",103426386,Новострой,Kомбинированный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
2,Варц (Варницкая),,https://999.md/ru/89822525?location=subcategory&index=1971,,,Oткрытое,6,1,,120 000 €,9,80 м²,"Кишинёв мун., Кишинёв, Чокана, Petru Zadnipru, 7/4",89822525,Вторичный,Панельный,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Eвроремонт
2,Индивидуальная,,https://999.md/ru/103225586?location=subcategory&index=1972,,,Oткрытое,8,2,,124 000 €,13,78 м²,"Кишинёв мун., Кишинёв, Ботаника, Bulevardul Decebal, 78",103225586,Новострой,Kомбинированный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Белый вариант
2,Индивидуальная,,https://999.md/ru/103984223?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5ODQyMjMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNTM5ZjQ0NTgtOTFlNS00NTllLWIzZDgtZThlOGNkNDBjYWYxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzNDQ5Mzg2WiJ9fQ.HrYvdvi-SA3cHiArbPpVRhXxr-skDlxIaa4i8C3MhV8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1973,,Квартира с ливингом,Oткрытое,6,1,260 см,130 000 €,9,73 м²,"Кишинёв мун., Дурлешты, Центр, str. Ştefan Vodă, 11a",103984223,Новострой,Kотельцовый,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Сдан в эксплуатацию
2,,Exfactor-grup,https://999.md/ru/103894241?location=subcategory&index=1974,,,Подземная,2,1,,126 900 €,10,46 м²,"Кишинёв мун., Кишинёв, Буюканы, Ion Buzdugan, 9",103894241,Новострой,Kирпичный,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,Агентство,1-комнатная квартира,Eвроремонт
1,Индивидуальная,Kirsan,https://999.md/ru/101781626?location=subcategory&index=1975,,,Oткрытое,6,2,,106 900 €,18,85 м²,"Кишинёв мун., Кишинёв, Ботаника, Nicolae Titulescu, 36A",101781626,Новострой,Ячеистый Бетон,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
Нет,Индивидуальная,Lagmar Impex,https://999.md/ru/103671709?location=subcategory&index=1976,,,,4,1,,110 000 €,14,40 м²,"Кишинёв мун., Кишинёв, Рышкановка, Cornești, 7",103671709,Новострой,Kирпичный,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
,Индивидуальная,,https://999.md/ru/103173319?location=subcategory&index=1977,,Квартира с ливингом,Oткрытое,6,1,270 см,66 500 €,7,41 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Sucevita, 41",103173319,Вторичный,Kотельцовый,41 м²,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Inamstro,https://999.md/ru/103960734?location=subcategory&index=1978,,,,2,1,,195 000 €,7,65 м²,"Кишинёв мун., Кишинёв, Центр, Avram Iancu, 32",103960734,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
2,Индивидуальная,,https://999.md/ru/103825042?location=subcategory&index=1979,,,Подземная,5,2,,122 544 €,21,85 м²,"Кишинёв мун., Кишинёв, Ботаника, Dacia, 59",103825042,Новострой,Kирпичный,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Незавершенное cтроительство
1,Малосемейная,,https://999.md/ru/103807706?location=subcategory&index=1980,,,Oткрытое,4,1,,29 000 €,9,18 м²,"Кишинёв мун., Кишинёв, Буюканы, Liviu Deleanu, 5Z",103807706,Вторичный,Панельный,,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",,Агентство,Комната,Косметический pемонт
Нет,Индивидуальная,Kirsan,https://999.md/ru/102991982?location=subcategory&index=1981,,,Подземная,12,1,,210 000 €,13,77 м²,"Кишинёв мун., Кишинёв, Центр, Ion Nistor, 2",102991982,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Basconslux,https://999.md/ru/103929235?location=subcategory&index=1982,,,,7,1,,145 000 €,11,68 м²,"Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrân, 43 B,C",103929235,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,143,,https://999.md/ru/103454147?location=subcategory&index=1983,,,Oткрытое,8,2,,94 900 €,9,52 м²,"Кишинёв мун., Кишинёв, Чокана, Nicolae Milescu Spătarul, 7/1",103454147,Вторичный,Панельный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Silentagro,https://999.md/ru/103925896?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MjU4OTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZDYyODE4NDktOWQwZC00MWExLWI0MDEtNDc4ZmYxNmQ0YWM0IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE3OjM3OjA3LjkzNDU0ODU2M1oifX0.v4EHuzXvF8Su888b-duv6ZZ2tDRwXKWMsliHpEs2M2E&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1984,12 м²,Квартира без ливинга,Oткрытое,4,2,260 см,153 000 €,9,67 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolai Costin, 44/4",103925896,Новострой,Блочный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
2,Индивидуальная,,https://999.md/ru/103540577?location=subcategory&index=1985,,,Oткрытое,6,1,,265 000 €,10,99 м²,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 24/1",103540577,Новострой,Бетон,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
3,143,,https://999.md/ru/103247416?location=subcategory&index=1986,,,Oткрытое,3,2,,119 000 €,9,73 м²,"Кишинёв мун., Кишинёв, Буюканы, Alba-Iulia, 202",103247416,Вторичный,Панельный,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Косметический pемонт
2,Индивидуальная,Varicom,https://999.md/ru/103895144?location=subcategory&index=1987,,,Oткрытое,6,1,,114 900 €,10,48 м²,"Кишинёв мун., Кишинёв, Рышкановка, Nicolae Dimo, 13A",103895144,Новострой,Kомбинированный,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Индивидуальная,Kirsan,https://999.md/ru/102124283?location=subcategory&index=1988,,,,8,1,,103 900 €,18,49 м²,"Кишинёв мун., Кишинёв, Ботаника, Nicolae Titulescu, 36A",102124283,Новострой,Kомбинированный,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103929362?location=subcategory&index=1989,,,Oткрытое,4,1,290 см,249 900 €,7,83 м²,"Кишинёв мун., Кишинёв, Центр, str. Alexei Șciusev, 2",103929362,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,,,https://999.md/ru/102430039?location=subcategory&index=1990,,,Подземная,2,2,,179 000 €,14,71 м²,"Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 28 E",102430039,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,,https://999.md/ru/102554513?location=subcategory&index=1991,,,Oткрытое,7,2,,129 900 €,13,91 м²,"Кишинёв мун., Кишинёв, Старая Почта, Socoleni, 23",102554513,Вторичный,Kомбинированный,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Sky House,https://999.md/ru/103900228?location=subcategory&index=1992,,,Подземная,3,2,,143 780 €,18,111 м²,"Кишинёв мун., Кишинёв, Ботаника, Muncești, 94",103900228,Новострой,Kирпичный,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Незавершенное cтроительство
1,Индивидуальная,,https://999.md/ru/75535693?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTAyMjcsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3NTUzNTY5MyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6InByZW1pdW0iLCJsIjoiOTkyYjUyYWItZmVjYi00YmVjLWE1NjAtMmVkNTQyZTBmZWU5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxNzozNzowNy45MzQ1OTExMDNaIn19.2AMQC3K8YNWhZwy_aQVGVKe67pybkBtoVpOPay84BHo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1993,,,Oткрытое,4,1,,65 €,16,65 м²,Расположение,75535693,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Агентство,2-х комнатная квартира,Индивидуальный дизайн
2,Индивидуальная,Orizont Construct,https://999.md/ru/103254500?location=subcategory&index=1994,,,Гараж,4,2,,166 500 €,5,111 м²,"Кишинёв мун., Кишинёв, Буюканы, Ion Pelivan, 18",103254500,Новострой,Kотельцовый,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Косметический pемонт
1,Индивидуальная,Varicom,https://999.md/ru/103806101?location=subcategory&index=1995,,,Oткрытое,11,2,,145 000 €,17,50 м²,"Кишинёв мун., Кишинёв, Рышкановка, Bulevardul Renașterii Naționale, 6",103806101,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/102497211?location=subcategory&index=1996,,,Oткрытое,2,1,,93 400 €,4,52 м²,"Кишинёв мун., Кишинёв, Телецентр, Pictor Mihai Grecu, 7",102497211,Новострой,Kомбинированный,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,,Lagmar Impex,https://999.md/ru/103445092?location=subcategory&index=1997,,,Oткрытое,7,2,,96 500 €,14,81 м²,"Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 1\1",103445092,Новострой,Kирпичный,,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
1,Индивидуальная,Varicom,https://999.md/ru/103816463?location=subcategory&index=1998,,,Oткрытое,9,1,,185 000 €,17,64 м²,"Кишинёв мун., Кишинёв, Рышкановка, Bulevardul Renașterii Naționale, 6",103816463,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103502360?location=subcategory&index=1999,,,Oткрытое,7,1,,127 900 €,11,60 м²,"Кишинёв мун., Кишинёв, Рышкановка, Moscova, 1/1",103502360,Вторичный,Панельный,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Estate Invest Company,https://999.md/ru/103701592?location=subcategory&index=2000,,,Oткрытое,5,2,,159 900 €,11,90 м²,"Кишинёв мун., Кишинёв, Телецентр, Ialoveni, 136",103701592,Новострой,,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
