Тип,Застройщик,Санузел,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Общая площадь,Парковочное место,Балкон / лоджия,Автор объявления,Жилой фонд,Планировка,Жилая площадь
Продам,Eldorado Terra,1,101139740,Квартира с ливингом,7,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,167 500 €,Eвроремонт,Ячеистый Бетон,https://999.md/ru/101139740?location=subcategory&index=291&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latina, 12/12",78 м²,Oткрытое,1,Агентство,Новострой,Индивидуальная,
Продам,,2,100262114,Квартира с ливингом,6,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,309 000 €,Eвроремонт,,https://999.md/ru/100262114?location=subcategory&index=292&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, 5/A",84 м²,Подземная,,Агентство,Новострой,,
Продам,,,103367691,,7,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,,93 000 €,Белый вариант,,https://999.md/ru/103367691?location=subcategory&index=293&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Дурлешты, Центр, str. Cartușa, 95/2",75 м²,,,Агентство,Новострой,,
Продам,,,103469050,,3,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,375 000 €,Eвроремонт,,https://999.md/ru/103469050?location=subcategory&index=294&cardCategoryId=270&cardSubcategoryId=1404,15,"Кишинёв мун., Кишинёв, Центр, str. Columna, 102",70 м²,,,Агентство,Новострой,,
Продам,,1,103469304,,12,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,167 000 €,Eвроремонт,,https://999.md/ru/103469304?location=subcategory&index=295&cardCategoryId=270&cardSubcategoryId=1404,16,"Кишинёв мун., Кишинёв, Чокана,  str. Ion Dumeniuc, 26",82 м²,,2,Агентство,Новострой,Индивидуальная,
Продам,,2,103501701,,4,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,119 610 €,Белый вариант,,https://999.md/ru/103501701?location=subcategory&index=296&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Чокана, ул. Буковина, 2",88 м²,,,Агентство,Новострой,,
Продам,,1,104181062,Квартира с ливингом,4,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,112 900 €,Eвроремонт,,https://999.md/ru/104181062?location=subcategory&index=297&cardCategoryId=270&cardSubcategoryId=1404,5,Расположение,63 м²,Oткрытое,,Агентство,Вторичный,,63 м²
Продам,,2,103961100,,7,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,169 900 €,Eвроремонт,,https://999.md/ru/103961100?location=subcategory&index=298&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Ботаника, str. Jubiliară , -",85 м²,,1,Агентство,Новострой,,
Продам,,2,103358525,,15,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,250 000 €,Eвроремонт,,https://999.md/ru/103358525?location=subcategory&index=299&cardCategoryId=270&cardSubcategoryId=1404,15,"Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân, 25",195 м²,Oткрытое,1,Агентство,Новострой,,
Продам,,3,103278502,Квартира с ливингом,Пентхаус,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,525 000 €,Eвроремонт,,https://999.md/ru/103278502?location=subcategory&index=300&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 5",144 м²,,1,Агентство,Новострой,,
Продам,Inamstro,2,104587956,Квартира с ливингом,Пентхаус,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,447 000 €,Eвроремонт,,https://999.md/ru/104587956?location=subcategory&index=301&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 6",123 м²,Подземная,1,Агентство,Новострой,,
Продам,,,104142777,,8,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",1-комнатная квартира,,67 480 €,,,https://999.md/ru/104142777?location=subcategory&index=302&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Дурлешты, Окраина, str. Nicolae Dimo, --",48 м²,,,Агентство,Новострой,,
Продам,Exfactor-grup,2,104601252,,1,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,120 600 €,Белый вариант,,https://999.md/ru/104601252?location=subcategory&index=303&cardCategoryId=270&cardSubcategoryId=1404,1,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62",78 м²,Подземная,2,Агентство,Новострой,,
Сдаю помесячно,,,104416975,,3,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,600 €,,,https://999.md/ru/104416975?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE1NDk1NjUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MTY5NzUiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNWFmNTJmOGItYjFkMS00Y2ZkLWI0ZmYtNjA2ZWFhNmExNTI2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE1VDE3OjUyOjQ1LjM3MTE0MTcxNVoifX0._EX_pPVNyXaS84zRZejqNJFcjqhJoADsJkeR0T7emrs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=304&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Кишинёв, Буюканы, str. Constitutiei, 8",84 м²,,,Частное лицо,Новострой,,
Продам,Dansicons,,103613301,Квартира с ливингом,3,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,126 500 €,Eвроремонт,Kомбинированный,https://999.md/ru/103613301?location=subcategory&index=305&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, 23/1",63 м²,,1,Застройщик,Новострой,,48 м²
Продам,Inamstro,1,102795242,Квартира с ливингом,7,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,3 см,165 000 €,Незавершенное cтроительство,Блочный,https://999.md/ru/102795242?location=subcategory&index=306&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 12a",76 м²,Oткрытое,1,Частное лицо,Новострой,Индивидуальная,76 м²
Продам,,2,103384215,,3,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,260 000 €,Eвроремонт,Kотельцовый,https://999.md/ru/103384215?location=subcategory&index=307&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Чокана,  bd. Mircea cel Bătrân, 39",140 м²,Подземная,1,Агентство,Новострой,,
Продам,,2,103980684,,4,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",4-x комнатная квартира,,1 200 000 €,Eвроремонт,,https://999.md/ru/103980684?location=subcategory&index=308&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Центр, Tricolorului, -",140 м²,,,Агентство,Новострой,,140 м²
Продам,,3,103516011,,1,"4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",4-x комнатная квартира,,489 000 €,Cерый вариант,,https://999.md/ru/103516011?location=subcategory&index=309&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Рышкановка, str. Bogdan Voievod, -",234 м²,Подземная,1,Агентство,Новострой,,
Продам,,1,103027986,,2,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,220 000 €,Eвроремонт,,https://999.md/ru/103027986?location=subcategory&index=310&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 10",65 м²,Подземная,1,Агентство,Новострой,,
Продам,,1,104160985,,1,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,75 000 €,Eвроремонт,,https://999.md/ru/104160985?location=subcategory&index=311&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Центр, str. George Coșbuc, -",30 м²,,,Агентство,Вторичный,,
Продам,Braus Imobiliare,2,100951572,Квартира с ливингом,4,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,260 см,295 900 €,Белый вариант,Kирпичный,https://999.md/ru/100951572?location=subcategory&index=312&cardCategoryId=270&cardSubcategoryId=1404,4,"Кишинёв мун., Кишинёв, Старая Почта, ул. Грэтиешть, 54",179 м²,Подземная,1,Застройщик,Новострой,,
Продам,,2,104297879,,3,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,190 000 €,Eвроремонт,,https://999.md/ru/104297879?location=subcategory&index=313&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, -",76 м²,Подземная,,Агентство,Новострой,,
Продам,,2,104268160,,2,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",4-x комнатная квартира,,495 000 €,Eвроремонт,,https://999.md/ru/104268160?location=subcategory&index=314&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Центр, str. Valea Trandafirilor, 24",151 м²,Oткрытое,1,Агентство,Новострой,,
Продам,,2,104239913,,1,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,157 500 €,Eвроремонт,,https://999.md/ru/104239913?location=subcategory&index=315&cardCategoryId=270&cardSubcategoryId=1404,12,"Кишинёв мун., Кишинёв, Центр, str. Valea Trandafirilor, 6/2",57 м²,Oткрытое,,Агентство,Новострой,,
Продам,,1,104269676,,8,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,163 500 €,Eвроремонт,,https://999.md/ru/104269676?location=subcategory&index=316&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27",68 м²,Oткрытое,Нет,Агентство,Новострой,,
Продам,,1,103747265,,6,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2-х комнатная квартира,,141 900 €,Eвроремонт,,https://999.md/ru/103747265?location=subcategory&index=317&cardCategoryId=270&cardSubcategoryId=1404,8,Расположение,68 м²,,1,Агентство,Новострой,,
Продам,,1,103616767,,2,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1-комнатная квартира,,65 500 €,Eвроремонт,,https://999.md/ru/103616767?location=subcategory&index=318&cardCategoryId=270&cardSubcategoryId=1404,2,"Кишинёв мун., Дурлешты, Центр, str. Atelierilor , 17",32 м²,,,Агентство,Новострой,,
