Балкон / лоджия,Санузел,Состояние квартиры,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
,2,Eвроремонт,,,Агентство,104572699,https://999.md/ru/104572699?location=subcategory&index=2868&cardCategoryId=270&cardSubcategoryId=1404,8,,10,74 м²,2-х комнатная квартира,,Новострой,,,,175 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Burebista , 25"
Нет,1,Индивидуальный дизайн,,265 см,Частное лицо,102313707,https://999.md/ru/102313707?location=subcategory&index=2869&cardCategoryId=270&cardSubcategoryId=1404,1,Kотельцовый,2,31 м²,1-комнатная квартира,Oткрытое,Вторичный,,,30 м²,58 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Frumușica, 2"
,,,,,,101768182,https://999.md/ru/101768182?location=subcategory&index=2870&cardCategoryId=270&cardSubcategoryId=1404,5,,16,72 м²,2-х комнатная квартира,,Новострой,Horus,,,137 500 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Florilor, 28/2"
1,1,,,,Агентство,101477556,https://999.md/ru/101477556?location=subcategory&index=2871&cardCategoryId=270&cardSubcategoryId=1404,3,,9,76 м²,3-х комнатная квартира,,Новострой,,,,83 720 €,,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Расположение
1,1,Белый вариант,,,Агентство,103884660,https://999.md/ru/103884660?location=subcategory&index=2872&cardCategoryId=270&cardSubcategoryId=1404,10,Kирпичный,13,48 м²,1-комнатная квартира,Подземная,Новострой,,,,103 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 6"
,,Eвроремонт,,,Частное лицо,102726214,https://999.md/ru/102726214?location=subcategory&index=2873&cardCategoryId=270&cardSubcategoryId=1404,6,,9,40 м²,1-комнатная квартира,,Новострой,,,,127 998 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 3/A"
,1,Eвроремонт,,,Агентство,104582297,https://999.md/ru/104582297?location=subcategory&index=2874&cardCategoryId=270&cardSubcategoryId=1404,2,,12,37 м²,1-комнатная квартира,,Новострой,,,,87 900 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni , 136"
,1,Косметический pемонт,Мс (Молд. Серия),,Частное лицо,104612920,https://999.md/ru/104612920?location=subcategory&index=2875&cardCategoryId=270&cardSubcategoryId=1404,2,Панельный,10,49 м²,2-х комнатная квартира,,Вторичный,,,,86 000 €,Квартира без ливинга,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 16/1"
2,,Eвроремонт,,,Агентство,103621493,https://999.md/ru/103621493?location=subcategory&index=2876&cardCategoryId=270&cardSubcategoryId=1404,6,,10,45 м²,1-комнатная квартира,,Новострой,Varincom,,,114 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 13"
,,,,,Агентство,103392146,https://999.md/ru/103392146?location=subcategory&index=2877&cardCategoryId=270&cardSubcategoryId=1404,9,,9,93 м²,3-х комнатная квартира,,Новострой,,,,225 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13"
,1,,,,Агентство,103723243,https://999.md/ru/103723243?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg5NDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MjMyNDMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlMjAxMjEyLTFiNjYtNGE1NS1hZjUwLWI1YTQ2YzFhZjRmMCIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTk6Mjk6MDMuMzQ2NzkyOTMzWiJ9fQ.YiFbo913qT_vcvCToUCOwBPgp4nL9kyrpisJ5L6YRn0&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2878&cardCategoryId=270&cardSubcategoryId=1404,3,,12,43 м²,1-комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,127 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Cornesti, 13"
,,,,,Агентство,103635593,https://999.md/ru/103635593?location=subcategory&index=2879&cardCategoryId=270&cardSubcategoryId=1404,3,,4,60 м²,3-х комнатная квартира,,Вторичный,,,,109 900 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 4"
,2,Белый вариант,,,Агентство,104125912,https://999.md/ru/104125912?location=subcategory&index=2880&cardCategoryId=270&cardSubcategoryId=1404,16,,18,90 м²,3-х комнатная квартира,,Новострой,,,,151 504 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 96"
2,1,Косметический pемонт,Индивидуальная,280 см,Частное лицо,103138799,https://999.md/ru/103138799?location=subcategory&index=2881&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,2,78 м²,3-х комнатная квартира,Гараж,Вторичный,,,,38 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Дрокия,  Дрокия","Дрокия, Дрокия, Центр, ул. Григоре Гика-Водэ, 2/2"
,,,,,Агентство,104612909,https://999.md/ru/104612909?location=subcategory&index=2882&cardCategoryId=270&cardSubcategoryId=1404,4,,5,44 м²,2-х комнатная квартира,,Вторичный,,,,69 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 6"
,,Белый вариант,,,Застройщик,100452231,https://999.md/ru/100452231?location=subcategory&index=2883&cardCategoryId=270&cardSubcategoryId=1404,1,Kирпичный,10,83 м²,3-х комнатная квартира,,Новострой,,,,83 500 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Расположение
1,1,Белый вариант,,,Агентство,76849002,https://999.md/ru/76849002?location=subcategory&index=2884&cardCategoryId=270&cardSubcategoryId=1404,3,,9,60 м²,1-комнатная квартира,,Новострой,,,,60 000 €,,Продам,"1-комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, -"
,,,,,Агентство,104145783,https://999.md/ru/104145783?location=subcategory&index=2885&cardCategoryId=270&cardSubcategoryId=1404,3,,6,78 м²,2-х комнатная квартира,,Новострой,,,,114 405 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Центр, str. Durleşti, 1"
,,,,,Агентство,103776356,https://999.md/ru/103776356?location=subcategory&index=2886&cardCategoryId=270&cardSubcategoryId=1404,4,,5,63 м²,2-х комнатная квартира,,Новострой,,,,73 405 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Bisericii, ---"
,,,,,Агентство,104280562,https://999.md/ru/104280562?location=subcategory&index=2887&cardCategoryId=270&cardSubcategoryId=1404,2,,6,67 м²,3-х комнатная квартира,,Новострой,,,,93 800 €,,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, ---"
,,,,,Агентство,103827203,https://999.md/ru/103827203?location=subcategory&index=2888&cardCategoryId=270&cardSubcategoryId=1404,11,,13,82 м²,3-х комнатная квартира,,Новострой,,,,285 000 €,,Продам,"3-х комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Скулянка, ул. Каля Ешилор, --"
1,1,Белый вариант,,,Агентство,104029484,https://999.md/ru/104029484?location=subcategory&index=2889&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,12,36 м²,1-комнатная квартира,Подземная,Новострой,Sky House,,13 м²,46 010 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 8"
1,1,Белый вариант,,,Агентство,103624166,https://999.md/ru/103624166?location=subcategory&index=2890&cardCategoryId=270&cardSubcategoryId=1404,8,,9,45 м²,1-комнатная квартира,,Новострой,,,,54 500 €,,Продам,"1-комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр,  Ștefan cel Mare , 1"
1,2,Eвроремонт,,,Агентство,104392357,https://999.md/ru/104392357?location=subcategory&index=2891&cardCategoryId=270&cardSubcategoryId=1404,6,,9,75 м²,3-х комнатная квартира,,Вторичный,,,,116 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана,  str. Petru Zadnipru, 19"
1,1,Eвроремонт,,,Агентство,102282545,https://999.md/ru/102282545?location=subcategory&index=2892&cardCategoryId=270&cardSubcategoryId=1404,5,,7,70 м²,2-х комнатная квартира,Подземная,Новострой,,,,155 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str.Durlesti, --"
