Балкон / лоджия,Планировка,Ливинг,link,Площадь кухни,Застройщик,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
,,Квартира с ливингом,https://999.md/ru/104102933?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMDI5MzMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNDJmM2NhZTctMzE0Mi00OThiLWJlNWQtYTQzZGI4ODNiODBhIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjY4NTMyMjExNloifX0.JQyrG4o7zyZW7-seYRe78KuTACXBEXWtDW1g_mt_SBc&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,,,,2,,,600 €,4,100 м²,"Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 23",104102933,Вторичный,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,
1,Индивидуальная,,https://999.md/ru/104096753?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwOTY3NTMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNTU3ZjFmMGEtODFiNi00NDE1LWFhZWYtZjNjZjkwMmYyYTU3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjY4NTMzNTI4MVoifX0.bhedsC9kkvcs9MxANZgDeFz-9vht7YTIPb7mTIoEIt8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,9 м²,,,5,2,275 см,83 000 €,5,60 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 33/1",104096753,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Индивидуальный дизайн
,,Квартира с ливингом,https://999.md/ru/104065416?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjU0MTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiYzdmYzhkODYtNTkzMC00NDUwLTg1NGYtZWY0MzlkZjdiMmYwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODUzOTYzODJaIn19.6sop2jGYzJUbd3XOQ973uNnCZnbHaBcpcfIF7wemMjY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,,3,,270 см,134 999 €,10,66 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3",104065416,Новострой,Kирпичный,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
2,Мс (Молд. Серия),,https://999.md/ru/103881022?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4ODEwMjIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOGY1NzdhZjEtYWQ0NS00ZWRlLWEwMjUtYWU4OWY4ZGZkYzNlIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjY4NTQxMTY4WiJ9fQ.lRcJoKyjy5mnR-zQYwD9bmG9yCUhiC1akUtvME67f6Q&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,13 м²,,Oткрытое,8,2,,85 000 €,9,70 м²,"Кишинёв мун., Кодру, Центр, str. Costiujeni, 8/5",103881022,Вторичный,Панельный,57 м²,"3-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Продам,Частное лицо,3-х комнатная квартира,Косметический pемонт
,,,https://999.md/ru/102448359?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI0NDgzNTkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2UwMTBlM2ItMmUzMi00NTlkLTgxYjUtZTEwNzA0YjdmN2Q2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjY4NTQyNDg4OFoifX0.wDCRbDdszkc0Akh6ICNpsGb1gHHt3J7U4fPeBJLXTu8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,Inamstro,,4,,,82 800 €,12,46 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",102448359,Новострой,,46 м²,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,Комната,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/74848265?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3NDg0ODI2NSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmI3NDhhYTQtM2I5Zi00NDgwLWI1NjctOTVmOTJlYTViMDI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS42ODU0NTk0OFoifX0.HBkIsAKjQg_2xGNprHQm9n3P_h0EG5jeLrsdIpFt9Us&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,,,Oткрытое,2,2,270 см,106 500 €,9,88 м²,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/4",74848265,Новострой,Kомбинированный,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
2,,,https://999.md/ru/103430980?location=subcategory&index=2887,,,Подземная,8,3,,280 000 €,9,190 м²,"Кишинёв мун., Кишинёв, Буюканы,  bd. Alba Iulia , 128",103430980,Новострой,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
3,,,https://999.md/ru/102864304?location=subcategory&index=2888,,,,6,2,,130 000 €,9,117 м²,"Кишинёв мун., Дурлешты, Центр,  str. Nicolae Testemițanu, 61/C",102864304,Новострой,,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Агентство,3-х комнатная квартира,Белый вариант
,,Квартира с ливингом,https://999.md/ru/103769750?location=subcategory&index=2889,,,,10,,,167 000 €,11,72 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/3",103769750,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,102,,https://999.md/ru/104029387?location=subcategory&index=2890,,,Oткрытое,5,2,,67 000 €,5,49 м²,"Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, /",104029387,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Белый вариант
2,,Квартира с ливингом,https://999.md/ru/102181689?location=subcategory&index=2891,,Lagmar Impex,Подземная,5,2,,124 600 €,9,89 м²,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 14",102181689,Новострой,,,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
1,,,https://999.md/ru/89169071?location=subcategory&index=2892,,,,3,2,,58 000 €,5,58 м²,"Страшены, Кожушна, Центр, str. Valeriu Cupcea, 1",89169071,Новострой,,58 м²,"2-х комнатная квартира,  Центр,  Кожушна,  Страшены",Продам,Агентство,2-х комнатная квартира,Белый вариант
,,,https://999.md/ru/100936860?location=subcategory&index=2893,,,Oткрытое,4,,,53 000 €,5,25 м²,"Кишинёв мун., Кишинёв, Ботаника,  str. Independenței, 14/1",100936860,Вторичный,,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
2,143,,https://999.md/ru/103235134?location=subcategory&index=2894,,,,8,2,,99 500 €,9,70 м²,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/4",103235134,Вторичный,Панельный,,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Нуждается в ремонте
1,,Квартира с ливингом,https://999.md/ru/104056880?location=subcategory&index=2895,,Exfactor-grup,,6,2,,215 000 €,11,73 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28a",104056880,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Индивидуальный дизайн
1,,,https://999.md/ru/103374020?location=subcategory&index=2896,,,Подземная,3,1,,157 700 €,6,83 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Drumul Viilor, *",103374020,Новострой,,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/103084799?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwODQ3OTkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMTQyZWU2NTgtNjE4Ny00ODNhLWE0NmItYTVkZWEzZWYzOGM4IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxODo0MzoxOS4xMzIyMDg5OTJaIn19.Rd6_fOsofWdbxOu5mLt5AX_JLDj8Ay5XrfKmWM28id4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2897,,,,2,,,115 900 €,5,120 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 8",103084799,Вторичный,Kотельцовый,,"4-x комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,4-x комнатная квартира,Cерый вариант
,,,https://999.md/ru/102833072?location=subcategory&index=2898,,,,6,,,204 900 €,12,72 м²,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/A",102833072,Новострой,,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,
,,,https://999.md/ru/102908251?location=subcategory&index=2899,,Exfactor-grup,Oткрытое,8,2,,189 000 €,10,87 м²,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41",102908251,Новострой,,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Застройщик,3-х комнатная квартира,Белый вариант
,,,https://999.md/ru/101688770?location=subcategory&index=2900,,,Подземная,9,2,,81 915 €,9,63 м²,"Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 142",101688770,Новострой,,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
,,,https://999.md/ru/104116006?location=subcategory&index=2901,,,Oткрытое,3,1,,33 500 €,5,16 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 66/2",104116006,Вторичный,,,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,Комната,Eвроремонт
1,Индивидуальная,,https://999.md/ru/101496324?location=subcategory&index=2902,,,Гараж,2,3,,850 000 €,4,182 м²,"Кишинёв мун., Кишинёв, Центр, str. Universității, 25",101496324,Новострой,Kотельцовый,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Квартира с ливингом,https://999.md/ru/101684760?location=subcategory&index=2903,,,Oткрытое,1,2,,110 568 €,7,130 м²,Расположение,101684760,Новострой,,,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Белый вариант
Нет,Индивидуальная,Квартира с ливингом,https://999.md/ru/101972345?location=subcategory&index=2904,,,Oткрытое,6,2,,145 000 €,10,86 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, .",101972345,Новострой,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Белый вариант
1,,,https://999.md/ru/102677842?location=subcategory&index=2905,,,Подземная,10,1,,188 000 €,14,48 м²,"Кишинёв мун., Кишинёв, Центр, Bd. Ștefan cel Mare și Sfânt, 171/3",102677842,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/103676854?location=subcategory&index=2906,,,Oткрытое,1,1,,76 100 €,5,41 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 32",103676854,Вторичный,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Eвроремонт
,Индивидуальная,,https://999.md/ru/103542601?location=subcategory&index=2907,,,Oткрытое,3,1,,190 000 €,10,65 м²,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemitanu, .",103542601,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/103409889?location=subcategory&index=2908,,,Подземная,7,1,,79 900 €,9,57 м²,"Кишинёв мун., Кишинёв, Чокана, str. Bucovinei , 1",103409889,Новострой,Kирпичный,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Агентство,1-комнатная квартира,Белый вариант
1,Индивидуальная,,https://999.md/ru/103876735?location=subcategory&index=2909,,Dansicons,Oткрытое,7,1,,112 000 €,12,45 м²,"Кишинёв мун., Кишинёв, Центр, str. Gheorghe Asachi, 4",103876735,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,,Квартира без ливинга,https://999.md/ru/103368501?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMzNjg1MDEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMjJlMDZhOTItYzIzOS00NzFiLWEyOGItYTJiMzMwZjY0NTI2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjEzMjI2NzAxMVoifX0.ydUVOkf3QsShpqbIYg1l_XEbaiJl7LplA59PyYXsxEo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2910,,Ecovzor,Oткрытое,5,2,295 см,88 200 €,7,63 м²,"Кишинёв мун., Криково, Центр, str. Vasile Alescandri, 5",103368501,Новострой,Mонолитный,,"2-х комнатная квартира,  Центр,  Криково,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
1,,,https://999.md/ru/103480103?location=subcategory&index=2911,,,Oткрытое,1,1,,118 000 €,4,40 м²,"Кишинёв мун., Кишинёв, Центр, str. 31 August 1989, 105",103480103,Вторичный,Kотельцовый,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
2,Мс (Молд. Серия),,https://999.md/ru/102572202?location=subcategory&index=2912,,,Oткрытое,8,2,,94 500 €,9,70 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 17/4",102572202,Вторичный,Kомбинированный,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Косметический pемонт
1,Индивидуальная,Квартира с ливингом,https://999.md/ru/102314374?location=subcategory&index=2913,,,Подземная,6,2,,136 900 €,8,65 м²,"Кишинёв мун., Дурлешты, Центр, /, /",102314374,Новострой,,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/103553377?location=subcategory&index=2914,,,,4,1,,110 000 €,16,80 м²,"Кишинёв мун., Ставчены, Центр, ---, 20/2",103553377,Новострой,,,"2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",,Агентство,2-х комнатная квартира,
,,Квартира с ливингом,https://999.md/ru/103449031?location=subcategory&index=2915,,,,2,1,,129 900 €,5,72 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, ---",103449031,Вторичный,,,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,
,,,https://999.md/ru/103697080?location=subcategory&index=2916,,,,1,,,98 000 €,12,65 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Drumul Viilor, ---",103697080,Новострой,,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,
2,,Квартира с ливингом,https://999.md/ru/100141581?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDAxNDE1ODEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiZTU2ZGI1M2UtNzQ1OS00ZWE1LTlkYTgtMjBhNjJlMGViMTg1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE4OjQzOjE5LjEzMjMwOTc5MloifX0.ZaMr6CyjB2pvi9p1KrxDgdbj6_M6iZsuvKQjONocssA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2917,8 м²,,Oткрытое,5,1,260 см,480 €,5,62 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 4",100141581,Вторичный,Kотельцовый,54 м²,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,Косметический pемонт
1,,Квартира с ливингом,https://999.md/ru/101952663?location=subcategory&index=2918,,,,1,1,,116 320 €,6,84 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Bisericii, 1",101952663,Новострой,,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
,,,https://999.md/ru/103603659?location=subcategory&index=2919,,,,6,,,78 000 €,6,54 м²,"Кишинёв мун., Кишинёв, Рышкановка, ул. Алеку Руссо, 3/1",103603659,Вторичный,,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
2,,Квартира с ливингом,https://999.md/ru/103794179?location=subcategory&index=2920,,,,4,2,290 см,157 040 €,5,93 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 58/27",103794179,Новострой,,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
1,,,https://999.md/ru/103886847?location=subcategory&index=2921,,,,10,2,,139 900 €,11,92 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Sprîncenoaia, *",103886847,Новострой,,,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,Агентство,3-х комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/103794275?location=subcategory&index=2922,,,Подземная,2,1,290 см,157 050 €,5,93 м²,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 55",103794275,Новострой,,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/102641964?location=subcategory&index=2923,,,Гараж,10,1,,237 900 €,11,78 м²,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 74",102641964,Новострой,Mонолитный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/89495708?location=subcategory&index=2924,,,,1,,,215 000 €,12,86 м²,"Кишинёв мун., Кишинёв, Центр, str. Albișoara, 78/4",89495708,Новострой,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,
,,,https://999.md/ru/103944440?location=subcategory&index=2925,,,Oткрытое,5,1,,62 900 €,5,38 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 14/1",103944440,Вторичный,Kотельцовый,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/102865508?location=subcategory&index=2926,12 м²,Kirsan,,7,1,,76 560 €,8,44 м²,"Кишинёв мун., Кишинёв, Центр, ул. Пан Халиппа, 2",102865508,Новострой,Бетон,32 м²,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Частное лицо,1-комнатная квартира,Белый вариант
,,,https://999.md/ru/103376557?location=subcategory&index=2927,,Lagmar Impex,Oткрытое,4,1,,58 220 €,9,41 м²,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",103376557,Новострой,,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,1-комнатная квартира,Белый вариант
2,,Квартира с ливингом,https://999.md/ru/100137039?location=subcategory&index=2928,,,,1,2,,103 721 €,10,86 м²,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 14",100137039,Новострой,,,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Белый вариант
1,,Квартира с ливингом,https://999.md/ru/103742561?location=subcategory&index=2929,,Estate Invest Company,Oткрытое,2,1,290 см,179 000 €,8,60 м²,"Кишинёв мун., Кишинёв, Ботаника, ул. Ворничень, 3",103742561,Новострой,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Eвроремонт
2,,Квартира с ливингом,https://999.md/ru/103667306?location=subcategory&index=2930,,AMIC,Oткрытое,1,2,,149 800 €,8,82 м²,"Кишинёв мун., Кишинёв, Телецентр, str. Nicolae Testemițanu, 37",103667306,Новострой,Kотельцовый,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,Застройщик,2-х комнатная квартира,Eвроремонт
,,Квартира с ливингом,https://999.md/ru/103722518?location=subcategory&index=2931,,Inamstro,,3,1,290 см,140 000 €,13,48 м²,"Кишинёв мун., Кишинёв, Центр, ул. Каля Ешилор, 4",103722518,Новострой,Бетон,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,Застройщик,1-комнатная квартира,Eвроремонт
1,143,,https://999.md/ru/103594002?location=subcategory&index=2932,,,Oткрытое,5,2,,93 000 €,9,52 м²,"Кишинёв мун., Кишинёв, Центр, Albisoara, 76",103594002,Вторичный,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Косметический pемонт
2,,Квартира с ливингом,https://999.md/ru/102831939?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTQxOTksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzE5MzkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTg6NDM6MTkuMTMyMzQyMjg1WiJ9fQ.lzVKfeM9ZLvTSo79gu9xVPj203hHKzkCcylEpCQ3FL8&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2933,12 м²,Astercon,Гараж,2,2,286 см,103 397 €,6,77 м²,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",102831939,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,Белый вариант
1,143,,https://999.md/ru/103614410?location=subcategory&index=2934,,,,9,1,,99 900 €,10,52 м²,"Кишинёв мун., Кишинёв, Центр, bd. Dimitrie Cantemir, 3",103614410,Вторичный,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,Индивидуальная,,https://999.md/ru/101592471?location=subcategory&index=2935,,,Oткрытое,11,1,,116 000 €,12,61 м²,"Кишинёв мун., Кишинёв, Рышкановка, str-la 1 Florarii;str-la 1 Florării, .",101592471,Новострой,,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
