Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Площадь кухни,Застройщик,Жилая площадь,price,Ливинг,Тип,title,Адрес
,Белый вариант,,,,Агентство,104587965,https://999.md/ru/104587965?location=subcategory&index=2165&cardCategoryId=270&cardSubcategoryId=1404,,7,10,41 м²,1-комнатная квартира,,Новострой,,Varincom,,81 400 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 13"
2,Белый вариант,2,,280 см,Застройщик,100908548,https://999.md/ru/100908548?location=subcategory&index=2166&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,10,58 м²,1-комнатная квартира,Подземная,Новострой,,Braus Imobiliare,,81 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1"
1,Косметический pемонт,1,,,Агентство,102349075,https://999.md/ru/102349075?location=subcategory&index=2167&cardCategoryId=270&cardSubcategoryId=1404,,3,4,57 м²,3-х комнатная квартира,,Вторичный,,,,114 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, G. Coșbuc, 3"
,Белый вариант,1,,,Частное лицо,104584084,https://999.md/ru/104584084?location=subcategory&index=2168&cardCategoryId=270&cardSubcategoryId=1404,Бетон,8,10,41 м²,1-комнатная квартира,Подземная,Новострой,,Sky House,,65 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 11"
,Белый вариант,1,,290 см,Застройщик,100971368,https://999.md/ru/100971368?location=subcategory&index=2169&cardCategoryId=270&cardSubcategoryId=1404,,2,4,73 м²,2-х комнатная квартира,Подземная,Новострой,,,,83 559 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, str. Suceava, 5"
3,Eвроремонт,2,Индивидуальная,,Агентство,103999368,https://999.md/ru/103999368?location=subcategory&index=2170&cardCategoryId=270&cardSubcategoryId=1404,,1,10,140 м²,3-х комнатная квартира,Подземная,Новострой,,,,590 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Mihai Eminescu, , --"
1,Eвроремонт,1,,,Агентство,103012838,https://999.md/ru/103012838?location=subcategory&index=2171&cardCategoryId=270&cardSubcategoryId=1404,,2,9,48 м²,1-комнатная квартира,,Новострой,,,,125 000 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 9"
,,,,,Частное лицо,104379329,https://999.md/ru/104379329?location=subcategory&index=2172&cardCategoryId=270&cardSubcategoryId=1404,Бетон,9,9,17 м²,Комната,,Вторичный,,,13 м²,25 900 €,,Продам,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Voluntarilor, 16"
Нет,Eвроремонт,1,,,Агентство,103444495,https://999.md/ru/103444495?location=subcategory&index=2173&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,5,17 м²,Комната,Oткрытое,Вторичный,,,,33 500 €,,Продам,"Комната,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Maria Drăgan, 14/2"
,Eвроремонт,,,,Частное лицо,104602573,https://999.md/ru/104602573?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njc3MzUsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ2MDI1NzMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZGI1NTJiOGMtYzViNi00N2QwLWI1YTItNjAzNTIwM2RkODVkIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjA4OjU1Ljk4MDEzOTAyWiJ9fQ._sy3K2UneZJOj68V601Dqz504ctn4R1NzXRPtJdirRU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2174&cardCategoryId=270&cardSubcategoryId=1404,,3,21,66 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,163 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15"
1,Eвроремонт,2,Индивидуальная,,Агентство,104197674,https://999.md/ru/104197674?location=subcategory&index=2175&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,11,70 м²,2-х комнатная квартира,Oткрытое,Новострой,,Kirsan,,145 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Belgrad, 19"
1,Eвроремонт,1,Индивидуальная,,Агентство,104341708,https://999.md/ru/104341708?location=subcategory&index=2176&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,14,16,37 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,72 800 €,,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Liviu Deleanu, 7/1"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,103896557,https://999.md/ru/103896557?location=subcategory&index=2177&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,8,91 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,137 000 €,,Продам,"2-х комнатная квартира,  Центр,  Сынжера,  Кишинёв мун.","Кишинёв мун., Сынжера, Центр, 31 August 1989, 7"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,104572374,https://999.md/ru/104572374?location=subcategory&index=2178&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,10,80 м²,2-х комнатная квартира,,Новострой,,Dansicons,,209 500 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Nicolae Costin 48, 1"
2,Eвроремонт,2,Индивидуальная,,Агентство,103793098,https://999.md/ru/103793098?location=subcategory&index=2179&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,9,60 м²,2-х комнатная квартира,Oткрытое,Новострой,,Lagmar Impex,,129 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Bariera Orhei, 5/1"
,,,,,Агентство,104607413,https://999.md/ru/104607413?location=subcategory&index=2180&cardCategoryId=270&cardSubcategoryId=1404,,1,2,33 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,50 400 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Расположение
1,Eвроремонт,2,Варц (Варницкая),,Агентство,103472246,https://999.md/ru/103472246?location=subcategory&index=2181&cardCategoryId=270&cardSubcategoryId=1404,Панельный,2,9,90 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,136 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 25"
,Сдан в эксплуатацию,1,,,Агентство,104610742,https://999.md/ru/104610742?location=subcategory&index=2182&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,6,55 м²,2-х комнатная квартира,,Новострой,,,,113 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 87"
2,Без ремонта,2,135,,Агентство,104206643,https://999.md/ru/104206643?location=subcategory&index=2183&cardCategoryId=270&cardSubcategoryId=1404,Блочный,2,9,86 м²,4-x комнатная квартира,Oткрытое,Вторичный,,,,65 900 €,,Продам,"4-x комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, Ștefan cel Mare, 28/1"
Нет,Косметический pемонт,1,Индивидуальная,,Агентство,104572406,https://999.md/ru/104572406?location=subcategory&index=2184&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,11,17,44 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,70 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, p-ța Unirea Principatelor, 3"
,,,,,Агентство,104599984,https://999.md/ru/104599984?location=subcategory&index=2185&cardCategoryId=270&cardSubcategoryId=1404,,4,4,42 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,58 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, 68"
2,Eвроремонт,2,Индивидуальная,,Агентство,102809691,https://999.md/ru/102809691?location=subcategory&index=2186&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,13,72 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,179 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Alba-Iulia, 77/2"
1,,,,,Агентство,104568815,https://999.md/ru/104568815?location=subcategory&index=2187&cardCategoryId=270&cardSubcategoryId=1404,,7,9,40 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,83 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Petru Zadnipru, 4/1"
Нет,Eвроремонт,1,,,Агентство,104534581,https://999.md/ru/104534581?location=subcategory&index=2188&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,6,55 м²,2-х комнатная квартира,,Новострой,,,,148 500 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Primar Gherman Pântea, 142"
1,Белый вариант,1,Индивидуальная,,Агентство,101444715,https://999.md/ru/101444715?location=subcategory&index=2189&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,10,71 м²,2-х комнатная квартира,Oткрытое,Новострой,,Lagmar Impex,,106 500 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 1/1"
,Индивидуальный дизайн,,,,Агентство,103867236,https://999.md/ru/103867236?location=subcategory&index=2190&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,10,72 м²,2-х комнатная квартира,,Новострой,,Inamstro,,199 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/6"
