Количество комнат,link,Парковочное место,id,Количество этажей,title,Тип,Планировка,Жилая площадь,price,Балкон / лоджия,Высота потолков,Санузел,Ливинг,Этаж,Адрес,Состояние квартиры,Автор объявления,Тип здания,Общая площадь,Жилой фонд,Застройщик,Площадь кухни
1-комнатная квартира,https://999.md/ru/89243400,,89243400,14,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,60 500 €,Нет,,,,11,Расположение,Eвроремонт,Застройщик,,27 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/102948216,,102948216,9,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,,,65 050 €,,,,,6,"Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 18",,Агентство,,48 м²,Новострой,Varicom,
1-комнатная квартира,https://999.md/ru/103911121?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzgxNTUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MTExMjEiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6ImQ4MGQyMmM1LTA3NTQtNDgxYS05Y2IxLTM2N2YzNzFmYTMzNiIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMDc6MzU6NTUuNTA3MjQwMDk2WiJ9fQ.3KkElkh_cHfcTTYWP0IcrzPCXxTcRK7CoWAXzlDnT1U&adType=booster,,103911121,4,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,58 500 €,,,,,4,"Кишинёв мун., Кишинёв, Ботаника, str. Nicolae Titulescu, 20",,Агентство,,35 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/103738044?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzgxNTUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MzgwNDQiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiODVmZTRiMzQtYjgxMS00ZGQ5LTllMTgtZmIyZjMyOGFmYWUzIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQwNzozNTo1NS41MDcwNzU5NTZaIn19.20Yk59Z1JGpqoLKKFeDZbvCt2LTdU8xK8NdHVlnKyjI&adType=booster,,103738044,13,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,,,235 950 €,2,,2,Квартира с ливингом,13,"Кишинёв мун., Кишинёв, Старая Почта, Iazului , 38",Белый вариант,Застройщик,,143 м²,Новострой,Ecovzor,
2-х комнатная квартира,https://999.md/ru/102831793?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzgyNTksIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4MzE3OTMiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTcwIiwidCI6IjIwMjYtMDQtMDVUMDc6Mzc6MzkuMjc2MjA4MTkyWiJ9fQ.3A7XBzkLrcvYvAZuDALqUsNFx8lSb1YoY9mbFaEcNX4&adType=booster,Гараж,102831793,6,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Индивидуальная,,81 432 €,Нет,286 см,1,Квартира без ливинга,6,"Кишинёв мун., Дурлешты, Центр, str. Durlești, 8",Белый вариант,Застройщик,Ячеистый Бетон,56 м²,Новострой,Astercon,13 м²
1-комнатная квартира,https://999.md/ru/101838619,Oткрытое,101838619,10,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,86 500 €,1,,1,,8,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 2/4",Eвроремонт,Агентство,Ячеистый Бетон,42 м²,Новострой,Basconslux,
5-ти комн. кварт. и более,https://999.md/ru/103965504,,103965504,6,"5-ти комн. кварт. и более,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,975 000 €,2,,4 и более,,Пентхаус,"Кишинёв мун., Кишинёв, Центр, str. Mihai Eminescu, 41/1",Eвроремонт,Частное лицо,,324 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/101862650,,101862650,10,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,36 005 €,1,,1,,4,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,Застройщик,,38 м²,Новострой,Boiar House,
1-комнатная квартира,https://999.md/ru/103827990,,103827990,15,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,,,64 960 €,1,,1,Квартира без ливинга,13,"Кишинёв мун., Кишинёв, Старая Почта, str. Cucorilor, 82",,Агентство,,47 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/103987654,,103987654,3,"3-х комнатная квартира,  Центр,  Хынчешты,  Хынчешты",Продам,,,89 000 €,,,,,2,"Хынчешты, Хынчешты, Центр, Vieru, 18",Незавершенное cтроительство,Застройщик,,70 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103738517,Подземная,103738517,10,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,72 м²,139 900 €,,,1,Квартира с ливингом,7,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95",Eвроремонт,Застройщик,,72 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103805431,,103805431,11,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Продам,,12 м²,79 900 €,1,,1,Квартира с ливингом,3,"Кишинёв мун., Дурлешты, Окраина, str. Ialoveni, 136",,Агентство,Kирпичный,53 м²,Новострой,Estate Invest Company,16 м²
1-комнатная квартира,https://999.md/ru/103776707,,103776707,16,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,26 м²,74 900 €,1,,1,Квартира с ливингом,9,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1",,Агентство,Kирпичный,48 м²,Новострой,Lagmar Impex,11 м²
2-х комнатная квартира,https://999.md/ru/100684546,Подземная,100684546,10,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,,,108 600 €,1,,2,Квартира с ливингом,3,"Кишинёв мун., Дурлешты, Центр, Cartusa, 95",Белый вариант,Агентство,Kомбинированный,73 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/100908548,Подземная,100908548,10,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,,81 900 €,2,280 см,2,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1",Белый вариант,Застройщик,Kирпичный,58 м²,Новострой,Braus Imobiliare,
2-х комнатная квартира,https://999.md/ru/102962414,,102962414,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,97 700 €,1,,1,,1,"Кишинёв мун., Кишинёв, Рышкановка, str. Andrei Doga, 45/1",Eвроремонт,Частное лицо,,54 м²,Вторичный,,
2-х комнатная квартира,https://999.md/ru/102626067,Oткрытое,102626067,16,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,149 500 €,2,3000 см,1,,12,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 20/1",,Частное лицо,,71 м²,Новострой,Varicom,
2-х комнатная квартира,https://999.md/ru/102954162?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzgyNTksIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5NTQxNjIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMDc6Mzc6MzkuMjIwOTMyOTg3WiJ9fQ.7GI_YMN4tS4PrTbs5DIPAS7liD0JPWfD-zL8TaPm-i8&adType=booster,,102954162,9,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,87 010 €,,,2,,9,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/a",Незавершенное cтроительство,Застройщик,,79 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103900875,,103900875,5,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,,71 000 €,,,,,1,"Кишинёв мун., Кишинёв, Буюканы, str. Doina și Ion Aldea-Teodorovici, 8",Eвроремонт,Агентство,,30 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/88594209,Подземная,88594209,9,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,79 900 €,2,,2,Квартира с ливингом,8,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 62",Белый вариант,Застройщик,Kирпичный,51 м²,Новострой,Exfactor-grup,
1-комнатная квартира,https://999.md/ru/103716002?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg0MDUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3MTYwMDIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZThjZGI4NDMtMDg5OC00NzM4LWExZTgtOGZmMTQxODMwN2U5IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTA1VDA3OjQwOjA1LjU4MDcxNTc0MloifX0.cdLFMbCbcnPuyjX0OH6WxWuMkloZqdyGP5S-OSK6QdE&adType=booster,,103716002,12,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,48 000 €,1,,1,Квартира с ливингом,1,"Кишинёв мун., Кишинёв, Телецентр, str. Alexandru Lăpușneanu, 5",Белый вариант,Частное лицо,,48 м²,Новострой,Estate Invest Company,
2-х комнатная квартира,https://999.md/ru/103962952,Oткрытое,103962952,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,63 м²,125 000 €,,,1,Квартира с ливингом,4,Расположение,Eвроремонт,Агентство,,63 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103814550,,103814550,16,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,125 000 €,1,,1,,15,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 114/2",Eвроремонт,Агентство,,68 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg0MDUsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTcwIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDQtMDVUMDc6NDA6MDUuNTgwNzcxODQyWiJ9fQ._Rc8qrHI-KB14xOtNV4hbJHaZw6z1JYGznGEJycUwIs&adType=booster,,101794818,9,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,79 123 €83 440 €,,290 см,,Квартира с ливингом,5,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",Незавершенное cтроительство,Застройщик,,72 м²,Новострой,Solomon Construct Imobil,
1-комнатная квартира,https://999.md/ru/102789140,,102789140,18,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,69 000 €,,,,,9,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 90",,Застройщик,,42 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/102743513,,102743513,18,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,69 000 €,,,,,9,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 90",,Застройщик,,42 м²,Новострой,Sky House,
1-комнатная квартира,https://999.md/ru/103889363,,103889363,12,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,,,55 420 €,,,,Квартира с ливингом,8,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 11/1",Белый вариант,Агентство,Kирпичный,37 м²,Новострой,Lagmar Impex,
3-х комнатная квартира,https://999.md/ru/100908706,Подземная,100908706,10,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,,103 700 €,2,280 см,2,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1",Белый вариант,Застройщик,Kирпичный,74 м²,Новострой,Braus Imobiliare,
2-х комнатная квартира,https://999.md/ru/103260425,,103260425,13,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,,,136 000 €,1,,1,,12,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Белый вариант,Застройщик,,68 м²,Новострой,Exfactor-grup,
2-х комнатная квартира,https://999.md/ru/103815284,,103815284,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,101 900 €,1,,1,,2,"Кишинёв мун., Кишинёв, Ботаника, str. Căușeni, 3",Eвроремонт,Агентство,Kотельцовый,75 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103889423,,103889423,14,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,62 000 €,,,,Квартира с ливингом,7,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 18",Белый вариант,Агентство,Kирпичный,46 м²,Новострой,Lagmar Impex,
2-х комнатная квартира,https://999.md/ru/103814722,,103814722,16,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,108 900 €,1,,1,,9,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 114/2",Белый вариант,Агентство,,68 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/85456731,,85456731,12,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,130 500 €,,,,,5,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4",,Застройщик,,87 м²,Новострой,Solomon Construct Imobil,
2-х комнатная квартира,https://999.md/ru/100967185,Подземная,100967185,4,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,,,208 170 €,1,300 см,2,Квартира с ливингом,1,"Кишинёв мун., Кишинёв, Рышкановка, ул. Чиркулуй, 61",Белый вариант,Застройщик,Kирпичный,77 м²,Новострой,Braus Imobiliare,
2-х комнатная квартира,https://999.md/ru/103977995?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg1NjEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5Nzc5OTUiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiODBlOGYzMWMtYzhhYS00YjQxLWIzZjQtZTAwMWQ1YzQyMDUyIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQwNzo0Mjo0MS42Njg4NTMwMzlaIn19.5cgIKyFA-FAXXiNCUzCq4R_5_R8X1w6O6mZxBWmdJhA&adType=booster,,103977995,11,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,137 000 €,1,,2,,2,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 35/E",Eвроремонт,Частное лицо,,55 м²,Новострой,Solomon Construct Imobil,10 м²
2-х комнатная квартира,https://999.md/ru/102042829?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg1NjEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIwNDI4MjkiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiNzc2ODNmNjgtZDViNS00MjYwLWJiOGMtYzY4ZTUxNDU3YTgxIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjQyOjQxLjY2ODUyMDM2MloifX0.-38Z2BZfsk3X1W3Jr6QP79jHbJwhe2mjnKfij1WdG90&adType=booster,Подземная,102042829,14,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,,,179 900 €,,,1,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Центр, Nicolae Testimiteanu , 19",,Агентство,,64 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103685632?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg1NjEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2ODU2MzIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZjZiMjc3YzItZmMxMi00MTYwLThjYjMtMWZiMzFhOTllNWU5IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNVQwNzo0Mjo0MS42Njg1ODQyNjlaIn19.3ofVyMO_2Kr_oFNJsnllEF-27SlVrPRo3OfEoeCh17k&adType=booster,,103685632,16,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,77 999 €,,,,,9,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latina, 8",Сдан в эксплуатацию,Частное лицо,,53 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/89832857?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg1NjEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgzMjg1NyIsImkiOiI4OS4xNDkuOTEuMTcwIiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiY2QyNWU0OWQtMGI0OC00MTNmLTlhYjAtYWNlNGFjZDVmZDc5IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA1VDA3OjQyOjQxLjY2ODY1Mjg5NFoifX0.LAKZf7-fQQjcbAMD31-_TBaBZVWIr3cMeyiYpqJn9OQ&adType=booster,,89832857,10,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,,,100 300 €,2,,2,,9,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/B",Незавершенное cтроительство,Застройщик,,100 м²,Новострой,Boiar House,
2-х комнатная квартира,https://999.md/ru/103632117?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzNzg1NjEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2MzIxMTciLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOGI5OGZiMGQtNWJhNi00NzFhLWJiODctYjVmZDU0Y2M3NGFhIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJ0IjoiMjAyNi0wNC0wNVQwNzo0Mjo0MS42NjQwNjIzMTJaIn19.JVQ2lJJIX5lNnJtnZwzkFvPewJnWK7JvHCcLlzbFhOs&adType=booster,Подземная,103632117,9,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,99 800 €,Нет,,1,Квартира с ливингом,4,"Кишинёв мун., Кишинёв, Чокана, str. Vadul lui Vodă, 30",Белый вариант,Частное лицо,Kирпичный,62 м²,Новострой,Peak Development,
3-х комнатная квартира,https://999.md/ru/103653667,Подземная,103653667,10,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,,,77 000 €,,,,,5,Расположение,Белый вариант,Частное лицо,,89 м²,Новострой,Estate Invest Company,
1-комнатная квартира,https://999.md/ru/103888833,,103888833,9,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,,,59 000 €,1,,1,,7,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142",Незавершенное cтроительство,Частное лицо,Kирпичный,42 м²,Новострой,Lagmar Impex,
2-х комнатная квартира,https://999.md/ru/103907993,,103907993,9,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",Продам,,,127 500 €,,,,Квартира с ливингом,2,"Яловены, Яловены, Центр, str. Alexandru cel Bun, 2/8",Eвроремонт,Агентство,,60 м²,Новострой,,
1-комнатная квартира,https://999.md/ru/103582880,,103582880,9,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,109 000 €,,,,,9,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",Eвроремонт,Агентство,,43 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/101733628,Подземная,101733628,9,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,105 000 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kомбинированный,75 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/101733621,Подземная,101733621,9,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,102 200 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,73 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/101723594,Подземная,101723594,9,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,143 150 €,2,275 см,,Квартира с ливингом,9,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,103 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/101726117,Подземная,101726117,9,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,105 300 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,78 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/101733591,Подземная,101733591,9,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,134 000 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,100 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/101733576,Подземная,101733576,9,"3-х комнатная квартира,  Аэропорт,  Кишинёв,  Кишинёв мун.",Продам,,,116 100 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Аэропорт, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,90 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/101723580,Подземная,101723580,9,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,119 950 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,93 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/101733615,Подземная,101733615,9,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,93 800 €,2,275 см,,Квартира с ливингом,3,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,67 м²,Новострой,,
3-х комнатная квартира,https://999.md/ru/101723573,Подземная,101723573,9,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,152 900 €,2,275 см,,Квартира с ливингом,9,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,110 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/101723593,Подземная,101723593,9,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,91 800 €,2,275 см,,Квартира с ливингом,2,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 60/5",Белый вариант,Застройщик,Kирпичный,68 м²,Новострой,,
2-х комнатная квартира,https://999.md/ru/103830548,,103830548,5,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,64 940 €,1,,,,5,"Кишинёв мун., Кишинёв, Ботаника, şos. Munceşti, 806/2",,Частное лицо,,45 м²,Вторичный,,
1-комнатная квартира,https://999.md/ru/103564013,,103564013,18,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,,,72 000 €,,,1,Квартира с ливингом,7,"Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 20",Незавершенное cтроительство,Частное лицо,Kирпичный,40 м²,Новострой,Sky House,
2-х комнатная квартира,https://999.md/ru/101731463,,101731463,14,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Индивидуальная,,148 000 €,2,,2,,10,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Белый вариант,Застройщик,Kирпичный,73 м²,Новострой,Exfactor-grup,
1-комнатная квартира,https://999.md/ru/103979747,,103979747,5,"1-комнатная квартира,  Центр,  Дубоссары,  Дубоссары",Продам,,,22 000 €,,,,,2,Расположение,Cерый вариант,Частное лицо,Mонолитный,58 м²,Новострой,,
