Балкон / лоджия,Общая площадь,Тип,Жилой фонд,price,Жилая площадь,Автор объявления,id,Застройщик,title,link,Площадь кухни,Санузел,Высота потолков,Адрес,Планировка,Этаж,Количество этажей,Состояние квартиры,Ливинг,Тип здания,Парковочное место,Количество комнат
,48 м²,Продам,Новострой,86 400 €,,Застройщик,104158894,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104158894?location=subcategory&index=217&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 35",,9,15,,,,,1-комнатная квартира
,134 м²,Продам,Новострой,133 000 €,,Частное лицо,104155770,Estate Invest Company,"4-x комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/104155770?location=subcategory&index=218&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 2",,4,16,Незавершенное cтроительство,,,,4-x комнатная квартира
,40 м²,Продам,Новострой,52 000 €,,Застройщик,104158815,Estate Invest Company,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104158815?location=subcategory&index=219&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158",,5,9,Незавершенное cтроительство,,,,1-комнатная квартира
,50 м²,Продам,Новострой,65 000 €,50 м²,Частное лицо,104158646,Estate Invest Company,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104158646?location=subcategory&index=220&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158",,3,9,Незавершенное cтроительство,,,,1-комнатная квартира
Нет,147 м²,Продам,Новострой,176 400 €,120 м²,Застройщик,104155792,,"4-x комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.",https://999.md/ru/104155792?location=subcategory&index=221&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Гидигич, Центр, str. Ştefan cel Mare și Sfînt, 1/b",,10,10,Белый вариант,Квартира с ливингом,,,4-x комнатная квартира
,42 м²,Продам,Новострой,54 600 €,42 м²,Частное лицо,104158650,Estate Invest Company,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104158650?location=subcategory&index=222&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 158",,4,9,Незавершенное cтроительство,,,,1-комнатная квартира
2,90 м²,Продам,Новострой,139 900 €,,Агентство,104484281,Exfactor-grup,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104484281?location=subcategory&index=223&cardCategoryId=270&cardSubcategoryId=1404,,2,,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 57A",Индивидуальная,3,9,Белый вариант,Квартира с ливингом,Kирпичный,Oткрытое,3-х комнатная квартира
,46 м²,Продам,Вторичный,69 500 €,,Частное лицо,104452502,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104452502?location=subcategory&index=224&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Старая Почта, str. Doina, 104/2",,1,5,,,,,2-х комнатная квартира
2,166 м²,Продам,Новострой,581 000 €,99 м²,Агентство,102774741,,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/102774741?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjMwODcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI3NzQ3NDEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjUxZmI3MjA2LTRlZGQtNGMxYy04YTgxLWYyODFiNTczZjBlYiIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTc6NTE6MjcuNTc3OTQ2NTM2WiJ9fQ.pkg3nqexxEOzII2HNAE8ctXsR1UVpuU6p1VkxnsPXoI&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=225&cardCategoryId=270&cardSubcategoryId=1404,33 м²,3,,"Кишинёв мун., Кишинёв, Центр, ул. Сфатул Цэрий, 59",Индивидуальная,5,9,Индивидуальный дизайн,,,,4-x комнатная квартира
,60 м²,Продам,Новострой,180 000 €,60 м²,Застройщик,78419165,Inamstro,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",https://999.md/ru/78419165?location=subcategory&index=226&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Кишинёв, Рышкановка, str. Alecu Russo, 9/7",Индивидуальная,7,11,Белый вариант,,Kомбинированный,,2-х комнатная квартира
,37 м²,Продам,Вторичный,55 000 €,,Агентство,104563749,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104563749?location=subcategory&index=227&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Буюканы, Piața Unirii Principatelor, 3",Индивидуальная,8,16,Сдан в эксплуатацию,,Бетон,Oткрытое,1-комнатная квартира
1,57 м²,Продам,Новострой,87 999 €,,Застройщик,104465013,Sky House,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104465013?location=subcategory&index=228&cardCategoryId=270&cardSubcategoryId=1404,,2,280 см,"Кишинёв мун., Кишинёв, Ботаника, str. Băcioii Noi, 14/C",,6,12,Eвроремонт,Квартира с ливингом,Mонолитный,Oткрытое,2-х комнатная квартира
1,53 м²,Продам,Новострой,105 900 €,,Агентство,104466296,Estate Invest Company,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104466296?location=subcategory&index=229&cardCategoryId=270&cardSubcategoryId=1404,,1,,Расположение,Индивидуальная,7,12,Eвроремонт,Квартира с ливингом,Kирпичный,Oткрытое,1-комнатная квартира
1,42 м²,Продам,Новострой,95 900 €,,Агентство,104467943,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/104467943?location=subcategory&index=230&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, 2",Индивидуальная,5,7,Eвроремонт,Квартира с ливингом,,Oткрытое,1-комнатная квартира
1,43 м²,Продам,Новострой,79 990 €,,Застройщик,104575881,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/104575881?location=subcategory&index=231&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/7",,2,10,Eвроремонт,,Kомбинированный,Oткрытое,1-комнатная квартира
1,60 м²,Продам,Новострой,143 000 €,,Агентство,104576225,Sky House,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104576225?location=subcategory&index=232&cardCategoryId=270&cardSubcategoryId=1404,,1,,Расположение,Индивидуальная,6,10,Eвроремонт,Квартира без ливинга,,Oткрытое,2-х комнатная квартира
,74 м²,Продам,Новострой,159 000 €,,Агентство,104575503,Estate Invest Company,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104575503?location=subcategory&index=233&cardCategoryId=270&cardSubcategoryId=1404,,2,,Расположение,Индивидуальная,3,12,Eвроремонт,Квартира с ливингом,Kомбинированный,Oткрытое,2-х комнатная квартира
1,47 м²,Продам,Вторичный,93 000 €,,Агентство,104473870,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104473870?location=subcategory&index=234&cardCategoryId=270&cardSubcategoryId=1404,,1,,Расположение,Индивидуальная,5,5,Eвроремонт,Квартира с ливингом,Панельный,Oткрытое,2-х комнатная квартира
1,74 м²,Продам,Новострой,102 900 €,,Агентство,104474608,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/104474608?location=subcategory&index=235&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, 4",,6,8,Белый вариант,Квартира с ливингом,,Oткрытое,2-х комнатная квартира
,72 м²,Продам,Новострой,114 900 €,,Частное лицо,104468477,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104468477?location=subcategory&index=236&cardCategoryId=270&cardSubcategoryId=1404,,,,Расположение,,2,10,,Квартира с ливингом,,,2-х комнатная квартира
1,40 м²,Продам,Вторичный,75 000 €,,Агентство,104482948,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104482948?location=subcategory&index=237&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 44/2",,2,6,Косметический pемонт,Квартира без ливинга,,Oткрытое,1-комнатная квартира
,44 м²,Продам,Новострой,98 500 €,,Застройщик,104482374,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",https://999.md/ru/104482374?location=subcategory&index=238&cardCategoryId=270&cardSubcategoryId=1404,,,,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 88",,2,7,,,,,1-комнатная квартира
1,47 м²,Продам,Вторичный,99 500 €,,Агентство,104522277,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104522277?location=subcategory&index=239&cardCategoryId=270&cardSubcategoryId=1404,,1,,Расположение,,1,5,Eвроремонт,Квартира с ливингом,,Oткрытое,2-х комнатная квартира
,74 м²,,Новострой,175 000 €,,Агентство,104572872,Carpeni,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",https://999.md/ru/104572872?location=subcategory&index=240&cardCategoryId=270&cardSubcategoryId=1404,,1,,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",Индивидуальная,8,10,Eвроремонт,Квартира с ливингом,Kомбинированный,Oткрытое,2-х комнатная квартира
