Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Площадь кухни,Застройщик,Жилая площадь,price,Ливинг,Тип,title,Адрес
1,,1,,,Агентство,103791584,https://999.md/ru/103791584?location=subcategory&index=2556&cardCategoryId=270&cardSubcategoryId=1404,,6,14,88 м²,2-х комнатная квартира,,Новострой,,,,350 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Stefan cel Mare si Sfint, 169"
1,Eвроремонт,1,,,Агентство,89678897,https://999.md/ru/89678897?location=subcategory&index=2557&cardCategoryId=270&cardSubcategoryId=1404,,6,14,62 м²,2-х комнатная квартира,,Новострой,,,,275 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 169"
,,,,,Застройщик,103933247,https://999.md/ru/103933247?location=subcategory&index=2558&cardCategoryId=270&cardSubcategoryId=1404,,6,6,48 м²,Комната,,Новострой,,,,85 600 €,,Продам,"Комната,  Окраина,  Бачой,  Кишинёв мун.","Кишинёв мун., Бачой, Окраина, str. Dacia, 60"
1,Eвроремонт,1,,,Частное лицо,101958084,https://999.md/ru/101958084?location=subcategory&index=2559&cardCategoryId=270&cardSubcategoryId=1404,,2,2,70 м²,3-х комнатная квартира,,Вторичный,,,,54 000 €,,Продам,"3-х комнатная квартира,  Центр,  Дрокия,  Кишинёв мун.","Кишинёв мун., Дрокия, Центр, str. Mitropolit Dosoftei, 3"
1,Косметический pемонт,,Индивидуальная,2600 см,Частное лицо,104594054,https://999.md/ru/104594054?location=subcategory&index=2560&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,9,10,39 м²,1-комнатная квартира,,Вторичный,6 м²,,27 м²,36 800 €,Квартира без ливинга,Продам,"1-комнатная квартира,  Автовокзал,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Автовокзал, str. Ștefan cel Mare și Sfînt, 8/2"
1,Белый вариант,1,Индивидуальная,,Агентство,103952696,https://999.md/ru/103952696?location=subcategory&index=2561&cardCategoryId=270&cardSubcategoryId=1404,,13,17,54 м²,1-комнатная квартира,,Новострой,,,,120 142 €,,Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Pietrăriei, 56"
,,,,,Частное лицо,103281402,https://999.md/ru/103281402?location=subcategory&index=2562&cardCategoryId=270&cardSubcategoryId=1404,,5,9,87 м²,3-х комнатная квартира,,Новострой,,,,255 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 99/B"
,Eвроремонт,1,,,Агентство,104083878,https://999.md/ru/104083878?location=subcategory&index=2563&cardCategoryId=270&cardSubcategoryId=1404,,6,7,43 м²,2-х комнатная квартира,,Новострой,,,,99 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, -"
,Eвроремонт,2,,,Агентство,104007063,https://999.md/ru/104007063?location=subcategory&index=2564&cardCategoryId=270&cardSubcategoryId=1404,,1,7,74 м²,4-x комнатная квартира,,Новострой,,,,155 000 €,Квартира с ливингом,Продам,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, -"
,Eвроремонт,2,,,Агентство,104526524,https://999.md/ru/104526524?location=subcategory&index=2565&cardCategoryId=270&cardSubcategoryId=1404,,3,9,86 м²,3-х комнатная квартира,,Вторичный,,,,103 900 €,,Продам,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, -"
,Eвроремонт,2,,,Агентство,104541428,https://999.md/ru/104541428?location=subcategory&index=2566&cardCategoryId=270&cardSubcategoryId=1404,,2,9,37 м²,2-х комнатная квартира,,Вторичный,,,,69 900 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Independenței, -"
,Белый вариант,1,,,Частное лицо,104068758,https://999.md/ru/104068758?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njg0MjEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNjg3NTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiMjU2ZWEyNmQtY2VjNC00ODIyLWIxOGUtNmUyODAzMGYyMWUzIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE5OjIwOjIxLjgwMDgyODYzNloifX0.KG4TolNHlsqzdHQQtkUKpukZT0cLANahg7R1TIBJ1F4&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2567&cardCategoryId=270&cardSubcategoryId=1404,,11,16,52 м²,2-х комнатная квартира,,Новострой,,Inamstro,,85 000 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1"
1,Белый вариант,1,,,Застройщик,103906506,https://999.md/ru/103906506?location=subcategory&index=2568&cardCategoryId=270&cardSubcategoryId=1404,,5,8,60 м²,2-х комнатная квартира,Подземная,Новострой,,,,79 275 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Orheiului, 59"
Нет,Белый вариант,1,,300 см,Застройщик,103251350,https://999.md/ru/103251350?location=subcategory&index=2569&cardCategoryId=270&cardSubcategoryId=1404,,3,15,45 м²,1-комнатная квартира,Подземная,Новострой,,,45 м²,73 500 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Orheiului, 32"
1,Белый вариант,1,,,Застройщик,102964235,https://999.md/ru/102964235?location=subcategory&index=2570&cardCategoryId=270&cardSubcategoryId=1404,,8,16,45 м²,1-комнатная квартира,Подземная,Новострой,,Lagmar Impex,,66 700 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4"
1,Белый вариант,1,,300 см,Застройщик,102478947,https://999.md/ru/102478947?location=subcategory&index=2571&cardCategoryId=270&cardSubcategoryId=1404,,3,15,57 м²,2-х комнатная квартира,Подземная,Новострой,,,57 м²,93 900 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Orheiului, 32"
1,Белый вариант,1,,,Застройщик,103906429,https://999.md/ru/103906429?location=subcategory&index=2572&cardCategoryId=270&cardSubcategoryId=1404,,4,8,45 м²,1-комнатная квартира,Подземная,Новострой,,,,79 000 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Poștei, 2"
1,Белый вариант,2,,,Застройщик,103503175,https://999.md/ru/103503175?location=subcategory&index=2573&cardCategoryId=270&cardSubcategoryId=1404,,3,16,69 м²,2-х комнатная квартира,Подземная,Новострой,,Lagmar Impex,,70 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4"
,Eвроремонт,,,,Частное лицо,104419501,https://999.md/ru/104419501?location=subcategory&index=2574&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,7,67 м²,2-х комнатная квартира,,Вторичный,,,,255 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Nicolae Iorga, 9"
,,,,,Застройщик,104505246,https://999.md/ru/104505246?location=subcategory&index=2575&cardCategoryId=270&cardSubcategoryId=1404,,8,10,60 м²,3-х комнатная квартира,,Вторичный,,,,155 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Grigore Alexandrescu, 15"
1,Белый вариант,1,,,Агентство,103416836,https://999.md/ru/103416836?location=subcategory&index=2576&cardCategoryId=270&cardSubcategoryId=1404,,8,11,38 м²,1-комнатная квартира,,Новострой,,,,44 264 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, ул. Николае Димо, 101"
1,Белый вариант,1,,,Частное лицо,102708574,https://999.md/ru/102708574?location=subcategory&index=2577&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,14,18,44 м²,1-комнатная квартира,Подземная,Новострой,,,,70 416 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dimineții, 22"
,Белый вариант,,,,Агентство,102312114,https://999.md/ru/102312114?location=subcategory&index=2578&cardCategoryId=270&cardSubcategoryId=1404,,2,9,42 м²,1-комнатная квартира,,Новострой,,Lagmar Impex,,58 000 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142"
2,Eвроремонт,1,,270 см,Частное лицо,104496068,https://999.md/ru/104496068?location=subcategory&index=2579&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,5,46 м²,2-х комнатная квартира,,Вторичный,8 м²,,,52 000 €,,Продам,"2-х комнатная квартира,  Пэмынтены,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, Пэмынтены, str. Visarion Puiu, 24"
,,,,,Агентство,104444913,https://999.md/ru/104444913?location=subcategory&index=2580&cardCategoryId=270&cardSubcategoryId=1404,,2,5,56 м²,2-х комнатная квартира,,Вторичный,,,,124 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Mitropolit Bănulescu-Bodoni, 28/1"
