Тип здания,Высота потолков,link,Состояние квартиры,id,Количество комнат,Планировка,Жилой фонд,Количество этажей,Автор объявления,price,Адрес,Застройщик,Этаж,title,Балкон / лоджия,Общая площадь,Площадь кухни,Парковочное место,Жилая площадь,Санузел,Ливинг,Тип
,,https://999.md/ru/103813956?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM4MTM5NTYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcm8iLCJsIjoiMjc5M2U0MjAtMWQ4Ny00OWQ3LWFjOGItZjE3ZjQwN2E3Yzc3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToyMjoyMi4wMDQ3ODMxNTZaIn19.m9lOi-vnc8oeMRrsGpkTlxdue1helQvaI26wRBl0bjg&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=9,Косметический pемонт,103813956,2-х комнатная квартира,,Новострой,11,Частное лицо,137 000 €,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 35/E",,2,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",1,55 м²,,,,1,,Продам
,,https://999.md/ru/103749006?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3NDkwMDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcm8iLCJsIjoiNmJlOWZmY2UtODhjNC00MjU4LTg2YTYtMDA0ZmFiOGM0OGQ3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToyMjoyMi4wMDQ4MjE2MzhaIn19.MYLElE2tO3v9_pwR78bZ7kRAqFFICmhGEsBGdppgr00&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=10,Eвроремонт,103749006,2-х комнатная квартира,,Новострой,11,Агентство,192 000 €,"Кишинёв мун., Кишинёв, Ботаника, ул. Гренобле, 128/1",,10,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1,130 м²,,Oткрытое,,2,Квартира с ливингом,Продам
,,https://999.md/ru/104011021?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMTEwMjEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6IjAwNzEwZTk4LTNkZGEtNDYzYi05YzNiLTBlNzBhMjViNzAzYyIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTE6MjI6MjIuMDA0ODQ5MjQxWiJ9fQ.ZA-JIwojN0obxKZIRhXCr26w7Vi4dEtGVLY7K5FQyck&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=11,Eвроремонт,104011021,3-х комнатная квартира,,Новострой,6,Агентство,1 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Liviu Deleanu, 10",Inamstro,5,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1,70 м²,,Подземная,,1,,Сдаю помесячно
Mонолитный,,https://999.md/ru/102866534?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI4NjY1MzQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiNTEzMTk3MGItYmRiMy00NTgxLWFjMzMtMjg3MDU2OWJmNmRhIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDExOjIyOjIyLjAwNDUwMDA1NloifX0.6HpfY81NfjeyO2c-OKHg_fs__hBYQeXmNpKwaB7KP5c&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=1,Eвроремонт,102866534,4-x комнатная квартира,Индивидуальная,Новострой,11,Частное лицо,228 000 €,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 3/7",Eldorado Terra,3,"4-x комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2,97 м²,28 м²,Oткрытое,,2,Квартира с ливингом,Продам
,3 см,https://999.md/ru/101652246?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE2NTIyNDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcmVtaXVtIiwibCI6IjcxZjI3ZTJmLTdjZGEtNGRiMS1iMjNkLWUwZWE2OTRhOGI4ZSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTE6MjI6MjIuMDA0NTYwMzY1WiJ9fQ.mHhGmYOY_kuuHzMRAC8GlTobRtYx-0HpEFe6-th85pg&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=2,Eвроремонт,101652246,2-х комнатная квартира,,Новострой,16,Частное лицо,164 999 €,"Кишинёв мун., Кишинёв, Ботаника, ул. Грэдина Ботаникэ, 20/1",Varicom,14,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",2,85 м²,20 м²,Oткрытое,,1,Квартира с ливингом,Продам
,,https://999.md/ru/104102465?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQxMDI0NjUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiN2I0ZGVmNDctYjYyMi00MzBmLWFjMDctZDA2NGU5MGQzN2Q1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMToyMjoyMi4wMDQ1NzQwNjlaIn19.oCC31yHzzdNXb82-mXgD5QS90GTZmC1-_8E5B0edcU8&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=3,Eвроремонт,104102465,1-комнатная квартира,,Новострой,11,Частное лицо,98 999 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 259/5",,10,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,44 м²,,,,,,Продам
Kомбинированный,270 см,https://999.md/ru/74848265?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3NDg0ODI2NSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfZm9vdGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmI3NDhhYTQtM2I5Zi00NDgwLWI1NjctOTVmOTJlYTViMDI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMToyMjoyMi4wMDQ1OTkyNVoifX0.nMTi__OXHEyc70vkNCxRfhQQg7kS2ZJMsfylQIYYDaU&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=4,Белый вариант,74848265,3-х комнатная квартира,,Новострой,9,Застройщик,106 500 €,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/4",,2,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1,88 м²,,Oткрытое,,2,Квартира с ливингом,
,,https://999.md/ru/104084854?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODQ4NTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiMTQ1YzJhNWUtNTYwMy00NTkxLTg4YjktYTJhNDA2MGEyNGMzIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjIyOjIyLjAwNDY1NzAzNVoifX0.ZRfrLYuPnpNzIeVPlB_FbTIypLjOjOMdRvgEP16A4PI&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=5,Eвроремонт,104084854,1-комнатная квартира,,Новострой,12,Агентство,600 MDL,"Кишинёв мун., Кишинёв, Центр, Constatin Varnav , 20",,10,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,70 м²,,Oткрытое,,1,Квартира с ливингом,Сдаю посуточно
,,https://999.md/ru/104084444?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwODQ0NDQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYmRiZThhZDQtODliNi00OTk5LWEyZDUtMWMyZGU3YzVjZTc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToyMjoyMi4wMDQ2NzMzNTFaIn19.oDlqy311aCn0paeFGJUPf0k4J2T7bIFWdoLgYj2W8SQ&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=6,,104084444,2-х комнатная квартира,,Вторичный,5,Агентство,89 500 €,"Кишинёв мун., Кишинёв, Старая Почта, str. Gheorghe Madan, 46/3",,4,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,50 м²,,,,,,Продам
Kирпичный,,https://999.md/ru/103246088?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc3NDIsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMyNDYwODgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiMmI3MjU4OGYtMzBhZi00OWIzLWE2ZTUtZjcyNjExZGFiYzRjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjIyOjIyLjAwNDY5MDA3M1oifX0.A5oSFniv4QDlvLRrmR8fkDAafFCGtJrvIb7UsFYBdDY&placement=ADS_LIST_FOOTER_REDESIGN&adType=booster&location=subcategory&index=7,Eвроремонт,103246088,1-комнатная квартира,,Новострой,14,Агентство,799 MDL,"Кишинёв мун., Кишинёв, Ботаника, str. Constantin Vârnav, 20/2",,9,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1,55 м²,,,,1,,Сдаю посуточно
,,https://999.md/ru/102479131?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI0NzkxMzEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiYjY1MzIyYzMtZDBjNC00OTk1LTkzMWEtNmNmMTcyMDI4OWMwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDExOjIzOjQwLjY0NjIzNTY4OFoifX0.LqyeKxqXy4SgAUOdc-EhBtEXY_xWEAyiZIjfYA5tf3A&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,Индивидуальный дизайн,102479131,2-х комнатная квартира,,Новострой,11,Частное лицо,2 000 €,"Кишинёв мун., Кишинёв, Центр, str. Mihai Eminescu, 76",Inamstro,9,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Нет,95 м²,,,,1,Квартира с ливингом,Сдаю помесячно
Бетон,,https://999.md/ru/100831798?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA4MzE3OTgiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiY2E3MmFjNWEtOWQ4ZS00OTE2LWEyOTAtZTNjOTYzZmU5MTcxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjIzOjQwLjY0NjMwMDI4M1oifX0.wphxY3yydqXfD8oXiG8kx2Irpa3dxm_bQF7Idv8I64g&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,Eвроремонт,100831798,2-х комнатная квартира,,Новострой,12,Частное лицо,550 €,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 61/3",Astercon,6,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1,67 м²,12 м²,Oткрытое,67 м²,1,Квартира с ливингом,
,,https://999.md/ru/104035307?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMzUzMDciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiOWNhMDc4ZjEtNDUyMy00OWM5LWE0OGEtZDdjZmE2Y2ZlYzI4IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjIzOjQwLjY0NTYzMTk4NloifX0.EKqbQPAf9mSD5owoSWPPz5SvN7ndATreOrUWqy9UPLE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=1,,104035307,2-х комнатная квартира,,Новострой,13,Агентство,1 499 €,"Кишинёв мун., Кишинёв, Центр, str. Ciuflea, 1",,7,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,105 м²,,,,,Квартира с ливингом,Сдаю помесячно
,,https://999.md/ru/103794442?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3OTQ0NDIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcm8iLCJsIjoiNmJlOWZmY2UtODhjNC00MjU4LTg2YTYtMDA0ZmFiOGM0OGQ3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxMToyMzo0MC42NDU2ODY2MDlaIn19.UiQz87wON3lGMUwVRd-nzxneTp-hFcEbqDCNDsHU9KA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=2,Eвроремонт,103794442,2-х комнатная квартира,Индивидуальная,Вторичный,16,Агентство,95 000 €,"Кишинёв мун., Кишинёв, Ботаника, бул. Траян, 23/1",,2,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1,60 м²,,Oткрытое,,1,,Продам
Ячеистый Бетон,280 см,https://999.md/ru/103944962?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NDQ5NjIiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiZWJhNTk0MzUtMjc4Mi0xMWUyLWFjYjQtMDAyNTkwMjg5MzgyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMToyMzo0MC42NDU3NTY3MzdaIn19.Sqa_pniyY4MZm_J11b8bEQUgkzKgmpAISSWgSWtIG3I&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=3,Eвроремонт,103944962,1-комнатная квартира,,Новострой,13,Частное лицо,148 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Bucuriei, 10",,7,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1,62 м²,,Oткрытое,,1,Квартира с ливингом,Продам
Kотельцовый,280 см,https://999.md/ru/76772892?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MjAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI3Njc3Mjg5MiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiJlZDQwMmYyZS1kM2QxLTQ5NTUtOGYyZC1jZjlmNDQ4ZmE2M2YiLCJlIjoiODkuMTQ5LjkzLjEzOSIsInQiOiIyMDI2LTA0LTIwVDExOjIzOjQwLjY0NTgyOTQxNVoifX0.PRvP1t2JVEbx6F0kVz39W89GBWXS9q3Z7IrQtrKs48E&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=4,Eвроремонт,76772892,1-комнатная квартира,Индивидуальная,Новострой,10,Застройщик,800 MDL,"Кишинёв мун., Кишинёв, Центр, Lev Tolstoi, 24/1",,9,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,45 м²,20 м²,Oткрытое,20 м²,1,,Сдаю посуточно
,,https://999.md/ru/102448359?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI0NDgzNTkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiM2UwMTBlM2ItMmUzMi00NTlkLTgxYjUtZTEwNzA0YjdmN2Q2IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDExOjIzOjQwLjY0NTk2MTU1M1oifX0.7PvI-RgV0CXMdbRwXvalKGb1oGnMO-NAF8176na_Kug&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=5,Белый вариант,102448359,Комната,,Новострой,12,Частное лицо,82 800 €,"Кишинёв мун., Кишинёв, Ботаника, str. Grădina Botanică, 18/1",Inamstro,4,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",,46 м²,,,46 м²,,,Продам
,,https://999.md/ru/102633669?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI2MzM2NjkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWEzNmFhMWYtNmNhYi00MDkwLWE1ZTctOTUwZjdjMTkyNGJjIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjIzOjQwLjY0NTk4NzI0NVoifX0.Hr6KaQEbQjTNBgLxFnUvbogFPYE50t2bz8sFU4LhhIQ&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=6,Eвроремонт,102633669,4-x комнатная квартира,,Вторичный,10,Частное лицо,106 000 €,"Бельцы мун., Бельцы, Центр, str. Alexandr Pușkin, 10",,6,"4-x комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",2,100 м²,15 м²,,,2,,Продам
Kомбинированный,270 см,https://999.md/ru/81834115?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4MTgzNDExNSIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmI3NDhhYTQtM2I5Zi00NDgwLWI1NjctOTVmOTJlYTViMDI1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMToyMzo0MC42NDYwNjE2NFoifX0.6S5bxg62afMFd-8KM-k4ew_u8laFQbgltTuXNkCqHYE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=7,Белый вариант,81834115,4-x комнатная квартира,,Новострой,9,Застройщик,160 000 €,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 95/4",,8,"4-x комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",2,146 м²,,Oткрытое,,2,Квартира с ливингом,Продам
,,https://999.md/ru/84766953?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4NDc2Njk1MyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiZmNjMGMzOTItYjk1Yi00MmY0LTgxNDItMjE0MTRjYjRhNDQyIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxMToyMzo0MC42NDYwODM3MloifX0.qfRQ9_21vzHRxkIrypWZ07gQ2Ge_a6y5fyQXJWP3qRE&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,Eвроремонт,84766953,2-х комнатная квартира,,Новострой,13,Частное лицо,1 300 €,"Кишинёв мун., Кишинёв, Центр, str. Melestiu, 26/5",,6,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1,98 м²,,Подземная,89 м²,2,Квартира с ливингом,Сдаю помесячно
Kомбинированный,,https://999.md/ru/102892288?location=subcategory&index=404,Белый вариант,102892288,1-комнатная квартира,,Новострой,14,Агентство,81 400 €,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 33",Dansicons,3,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,44 м²,,Подземная,44 м²,1,Квартира с ливингом,
,,https://999.md/ru/102893942?location=subcategory&index=405,Eвроремонт,102893942,2-х комнатная квартира,Индивидуальная,Новострой,6,Агентство,120 000 €,Расположение,,2,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1,60 м²,,Oткрытое,,1,Квартира с ливингом,Продам
Блочный,280 см,https://999.md/ru/102910132?location=subcategory&index=406,Незавершенное cтроительство,102910132,2-х комнатная квартира,Индивидуальная,Новострой,18,Застройщик,114 600 €,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 139/a",Pamir Construct,7,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1,60 м²,11 м²,Подземная,39 м²,1,Квартира с ливингом,Продам
,,https://999.md/ru/86855603?location=subcategory&index=407,Eвроремонт,86855603,2-х комнатная квартира,Индивидуальная,Новострой,7,Агентство,146 000 €,"Кишинёв мун., Кишинёв, Буюканы, str. Durlești, .",,2,"2-х комнатная квартира, 75 м², Буюканы, Кишинёв",Нет,75 м²,,Oткрытое,,1,,
,,https://999.md/ru/101697689?location=subcategory&index=408,Eвроремонт,101697689,2-х комнатная квартира,Индивидуальная,Новострой,9,Агентство,103 000 €,Расположение,,9,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",1,76 м²,,Oткрытое,,2,Квартира с ливингом,
,,https://999.md/ru/101366343?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY2ODc4MjAsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDEzNjYzNDMiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiOGQwZDllOWQtMDVkNS00NDRkLTg2NGQtNmVmNWViZmIxNjkwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDExOjIzOjQwLjM4MDk0MDk1NVoifX0.FG94G4AV-kHOOmLbvTRFJVe2Oxkbd4sK4UfGn7ALOEM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=409,Индивидуальный дизайн,101366343,2-х комнатная квартира,,Новострой,15,Частное лицо,550 €,"Кишинёв мун., Кишинёв, Старая Почта, str. Bariera Orhei, 5/1",,1,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,70 м²,,,,,,Сдаю помесячно
Kомбинированный,,https://999.md/ru/100234512?location=subcategory&index=410,Белый вариант,100234512,1-комнатная квартира,Индивидуальная,Новострой,8,Застройщик,56 400 €,"Яловены, Яловены, Центр, str. Nicolae Testemiţanu, 1",Poliprim Grup,4,"1-комнатная квартира,  Центр,  Яловены,  Яловены",1,47 м²,,,,1,,Продам
