Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
1,Eвроремонт,1,,,Агентство,104581666,https://999.md/ru/104581666?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1ODE2NjYiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNmJlOWZmY2UtODhjNC00MjU4LTg2YTYtMDA0ZmFiOGM0OGQ3IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTozODoyMy4wOTYxMTMxOTJaIn19.MUUhcBA6NFxtF3K5hSmTunN7-H1JHHlI8WivS0aHmhQ&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3180&cardCategoryId=270&cardSubcategoryId=1404,,3,15,53 м²,1-комнатная квартира,Oткрытое,Новострой,,,100 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Albisoara, 80/7","1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
2,,4 и более,,,,103273759,https://999.md/ru/103273759?location=subcategory&index=3181&cardCategoryId=270&cardSubcategoryId=1404,,Пентхаус,20,188 м²,3-х комнатная квартира,Гараж,Новострой,,,880 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Bogdan Petriceicu Hașdeu, 20","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,,1,,,Агентство,103824384,https://999.md/ru/103824384?location=subcategory&index=3182&cardCategoryId=270&cardSubcategoryId=1404,,6,12,54 м²,3-х комнатная квартира,,Новострой,,,147 500 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ștefan Neaga, 67","3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103962359,https://999.md/ru/103962359?location=subcategory&index=3183&cardCategoryId=270&cardSubcategoryId=1404,,4,5,92 м²,3-х комнатная квартира,,Новострой,,,184 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, Bulevardul Europei, --","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Незавершенное cтроительство,2,,,Агентство,103436570,https://999.md/ru/103436570?location=subcategory&index=3184&cardCategoryId=270&cardSubcategoryId=1404,,8,18,86 м²,3-х комнатная квартира,,Новострой,Lagmar Impex,,113 450 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Старая Почта, ул. Чеукарь, .","3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,Незавершенное cтроительство,1,3 см,Индивидуальная,Частное лицо,102795242,https://999.md/ru/102795242?location=subcategory&index=3185&cardCategoryId=270&cardSubcategoryId=1404,Блочный,7,12,76 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,76 м²,169 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 12a","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,,Частное лицо,104534576,https://999.md/ru/104534576?location=subcategory&index=3186&cardCategoryId=270&cardSubcategoryId=1404,,3,5,49 м²,2-х комнатная квартира,,Вторичный,,,96 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Calea Ieșilor, 19","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,2,,,Агентство,100770448,https://999.md/ru/100770448?location=subcategory&index=3187&cardCategoryId=270&cardSubcategoryId=1404,,1,4,54 м²,2-х комнатная квартира,Oткрытое,Новострой,,,105 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Дурлешты, Центр, ул. Кэприана, 0","2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,100926770,https://999.md/ru/100926770?location=subcategory&index=3188&cardCategoryId=270&cardSubcategoryId=1404,,3,8,63 м²,2-х комнатная квартира,Oткрытое,Новострой,,,139 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, ул. Николай Димо, 88","2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,,Частное лицо,104030444,https://999.md/ru/104030444?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk1MDMsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMzA0NDQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiM2JjNTM2M2YtNzU5ZC00NThiLThiOWYtYWI3YTg2MDVjNWExIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTozODoyMy4wOTYyMDQ5NjJaIn19.VNddPJush-djhpZcN9dlut0JaEIL35PqYIMkmgziB3E&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3189&cardCategoryId=270&cardSubcategoryId=1404,,9,9,33 м²,1-комнатная квартира,,Вторичный,,,450 MDL,Квартира без ливинга,Сдаю посуточно,"Бельцы мун., Бельцы, 10 квартал, bd. Larisa, 8","1-комнатная квартира,  10 квартал,  Бельцы,  Бельцы мун.",
Нет,Белый вариант,1,,Индивидуальная,Агентство,101061591,https://999.md/ru/101061591?location=subcategory&index=3190&cardCategoryId=270&cardSubcategoryId=1404,,1,14,80 м²,2-х комнатная квартира,Oткрытое,Новострой,,,128 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, bd. Renașterii Naționale, 0","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,100468828,https://999.md/ru/100468828?location=subcategory&index=3191&cardCategoryId=270&cardSubcategoryId=1404,,10,10,46 м²,1-комнатная квартира,,Новострой,,,118 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str Nicolae Dimo , 13/1","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103720639,https://999.md/ru/103720639?location=subcategory&index=3192&cardCategoryId=270&cardSubcategoryId=1404,,3,5,68 м²,2-х комнатная квартира,,Новострой,,,146 900 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, пр-т Алба-Юлия, 17/A","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103421770,https://999.md/ru/103421770?location=subcategory&index=3193&cardCategoryId=270&cardSubcategoryId=1404,,13,14,70 м²,2-х комнатная квартира,,Новострой,,,199 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28/C","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,101563403,https://999.md/ru/101563403?location=subcategory&index=3194&cardCategoryId=270&cardSubcategoryId=1404,,1,9,55 м²,2-х комнатная квартира,,Новострой,,,109 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Testemițanu, 61","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
2,Белый вариант,1,,,Агентство,101820235,https://999.md/ru/101820235?location=subcategory&index=3195&cardCategoryId=270&cardSubcategoryId=1404,,3,11,43 м²,1-комнатная квартира,Подземная,Новострой,,,45 000 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str.Cartusa , --","1-комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104605426,https://999.md/ru/104605426?location=subcategory&index=3196&cardCategoryId=270&cardSubcategoryId=1404,,5,10,50 м²,1-комнатная квартира,,Новострой,,,71 775 €,,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 11/1","1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,2,3 см,Индивидуальная,Частное лицо,103363007,https://999.md/ru/103363007?location=subcategory&index=3197&cardCategoryId=270&cardSubcategoryId=1404,,9,15,84 м²,2-х комнатная квартира,,Новострой,Eldorado Terra,,249 950 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, бд. Дечебал, 6/4","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",25 м²
1,Eвроремонт,1,,,Агентство,103622786,https://999.md/ru/103622786?location=subcategory&index=3198&cardCategoryId=270&cardSubcategoryId=1404,,4,11,98 м²,3-х комнатная квартира,Подземная,Новострой,,,227 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str.Mircea cel Batran, --","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,,Агентство,103964750,https://999.md/ru/103964750?location=subcategory&index=3199&cardCategoryId=270&cardSubcategoryId=1404,,4,13,60 м²,1-комнатная квартира,Подземная,Новострой,,,233 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, Moscova , --","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,Индивидуальная,Частное лицо,100993023,https://999.md/ru/100993023?location=subcategory&index=3200&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,5,14,75 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,35 м²,145 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, Vasile Lupu, 28B","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",11 м²
1,Косметический pемонт,1,123 см,Хрущевка,Частное лицо,104565813,https://999.md/ru/104565813?location=subcategory&index=3201&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,4,39 м²,2-х комнатная квартира,Oткрытое,Вторичный,,39 м²,38 500 €,Квартира без ливинга,Продам,"Бельцы мун., Бельцы, Северный Вокзал, ул. Киев, 52","2-х комнатная квартира,  Северный Вокзал,  Бельцы,  Бельцы мун.",
Нет,Eвроремонт,1,265 см,Индивидуальная,Частное лицо,104443865,https://999.md/ru/104443865?location=subcategory&index=3202&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,13,52 м²,1-комнатная квартира,,Новострой,Exfactor-grup,18 м²,153 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",11 м²
1,Косметический pемонт,1,,,Агентство,104393201,https://999.md/ru/104393201?location=subcategory&index=3203&cardCategoryId=270&cardSubcategoryId=1404,,4,9,43 м²,1-комнатная квартира,Подземная,Новострой,,,99 900 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Alexandru Donici, -","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104563594,https://999.md/ru/104563594?location=subcategory&index=3204&cardCategoryId=270&cardSubcategoryId=1404,,4,5,39 м²,1-комнатная квартира,,Новострой,,,47 500 €,,Продам,"Бельцы мун., Бельцы, Центр, str. Ivan Krîlov, --","1-комнатная квартира,  Центр,  Бельцы,  Бельцы мун.",
