Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
,,,,,Застройщик,88033150,https://999.md/ru/88033150?location=subcategory&index=3491&cardCategoryId=270&cardSubcategoryId=1404,,4,10,81 м²,3-х комнатная квартира,,Новострой,Lagmar Impex,,97 200 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, 142","3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,104592243,https://999.md/ru/104592243?location=subcategory&index=3492&cardCategoryId=270&cardSubcategoryId=1404,,3,10,90 м²,3-х комнатная квартира,,Новострой,,,239 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renașterii Naționale, 4","3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,,1,,,Застройщик,101904298,https://999.md/ru/101904298?location=subcategory&index=3493&cardCategoryId=270&cardSubcategoryId=1404,,6,6,23 м²,1-комнатная квартира,,Вторичный,,,34 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Constantin Brâncuşi, 148","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Без ремонта,3,,4 см,Агентство,104285792,https://999.md/ru/104285792?location=subcategory&index=3494&cardCategoryId=270&cardSubcategoryId=1404,,1,1,101 м²,5-ти комн. кварт. и более,Oткрытое,Вторичный,,101 м²,365 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 29","5-ти комн. кварт. и более,  Центр,  Кишинёв,  Кишинёв мун.",
3,Eвроремонт,1,,,Агентство,104526136,https://999.md/ru/104526136?location=subcategory&index=3495&cardCategoryId=270&cardSubcategoryId=1404,,2,9,93 м²,2-х комнатная квартира,,Вторичный,,,139 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Igor Vieru, 1","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104581031,https://999.md/ru/104581031?location=subcategory&index=3496&cardCategoryId=270&cardSubcategoryId=1404,,8,15,50 м²,2-х комнатная квартира,,Новострой,,,114 900 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Matei Basarab, 1/3","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104542412,https://999.md/ru/104542412?location=subcategory&index=3497&cardCategoryId=270&cardSubcategoryId=1404,,6,10,42 м²,1-комнатная квартира,,Новострой,,,85 000 €,Квартира с ливингом,Продам,Расположение,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
,,2,,,Агентство,104140756,https://999.md/ru/104140756?location=subcategory&index=3498&cardCategoryId=270&cardSubcategoryId=1404,,10,10,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,110 000 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 19/1","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,,1,,,Агентство,103995739,https://999.md/ru/103995739?location=subcategory&index=3499&cardCategoryId=270&cardSubcategoryId=1404,,5,5,46 м²,2-х комнатная квартира,Гараж,Вторичный,,,69 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Neculce, 14","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,2,,,Агентство,104316495,https://999.md/ru/104316495?location=subcategory&index=3500&cardCategoryId=270&cardSubcategoryId=1404,,7,10,50 м²,2-х комнатная квартира,,Вторичный,,,112 900 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 34/1","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Нет,Сдан в эксплуатацию,2,,27 см,Частное лицо,103541220,https://999.md/ru/103541220?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NzAwNzIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM1NDEyMjAiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMTU2ZTFkMjMtYWM2Yy00NzhmLThhYmItY2M1OTYzMjAxYTc1IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo0Nzo1Mi44NDI5MTAxMVoifX0.XOIyOdVvFcPmn9NcptlLrE5I2ih4I2CSwATly5K_I-E&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3501&cardCategoryId=270&cardSubcategoryId=1404,Блочный,4,7,72 м²,2-х комнатная квартира,,Новострой,Solomon Construct Imobil,72 м²,190 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spatarul, 63","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,,2,,,Агентство,104455465,https://999.md/ru/104455465?location=subcategory&index=3502&cardCategoryId=270&cardSubcategoryId=1404,,5,5,55 м²,2-х комнатная квартира,,Вторичный,,,70 000 €,,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 2/1","2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,,1,,,Агентство,103709317,https://999.md/ru/103709317?location=subcategory&index=3503&cardCategoryId=270&cardSubcategoryId=1404,,11,14,70 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,205 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
2,,2,,,Агентство,104252357,https://999.md/ru/104252357?location=subcategory&index=3504&cardCategoryId=270&cardSubcategoryId=1404,,10,10,113 м²,3-х комнатная квартира,,Новострой,Exfactor-grup,,179 000 €,Квартира с ливингом,Продам,"Оргеев, Оргеев, Центр, str. 1 Mai, 13","3-х комнатная квартира,  Центр,  Оргеев,  Оргеев",
,,,,,Агентство,102805138,https://999.md/ru/102805138?location=subcategory&index=3505&cardCategoryId=270&cardSubcategoryId=1404,,1,10,91 м²,3-х комнатная квартира,,Новострой,Exfactor-grup,,229 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104588728,https://999.md/ru/104588728?location=subcategory&index=3506&cardCategoryId=270&cardSubcategoryId=1404,,10,14,70 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,205 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,,2,135,,Агентство,104204719,https://999.md/ru/104204719?location=subcategory&index=3507&cardCategoryId=270&cardSubcategoryId=1404,,2,9,55 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,118 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15/2","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,,2,,,Агентство,104222475,https://999.md/ru/104222475?location=subcategory&index=3508&cardCategoryId=270&cardSubcategoryId=1404,,6,9,50 м²,2-х комнатная квартира,,Вторичный,,,117 500 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Albișoara, 10","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,,2,,,Агентство,103594214,https://999.md/ru/103594214?location=subcategory&index=3509&cardCategoryId=270&cardSubcategoryId=1404,,5,18,62 м²,2-х комнатная квартира,,Вторичный,,,86 900 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 92/1","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Косметический pемонт,1,,,Частное лицо,85378913,https://999.md/ru/85378913?location=subcategory&index=3510&cardCategoryId=270&cardSubcategoryId=1404,Бетон,6,9,22 м²,Комната,,Вторичный,,18 м²,35 000 €,,Продам,Расположение,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,320 см,Агентство,100985881,https://999.md/ru/100985881?location=subcategory&index=3511&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,9,104 м²,2-х комнатная квартира,Подземная,Новострой,Inamstro,,265 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Центр, str. Avram Iancu, 32","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
Нет,Косметический pемонт,1,,250 см,Частное лицо,104105831,https://999.md/ru/104105831?location=subcategory&index=3512&cardCategoryId=270&cardSubcategoryId=1404,,5,5,36 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,31 000 €,Квартира без ливинга,Продам,"Бельцы мун., Бельцы, 6 квартал, str. Boris Glavan, 13","2-х комнатная квартира,  6 квартал,  Бельцы,  Бельцы мун.",
,Белый вариант,,,,Агентство,103674803,https://999.md/ru/103674803?location=subcategory&index=3513&cardCategoryId=270&cardSubcategoryId=1404,,2,10,44 м²,1-комнатная квартира,,Новострой,Inamstro,,88 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 6","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,280 см,Застройщик,104540669,https://999.md/ru/104540669?location=subcategory&index=3514&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,11,71 м²,2-х комнатная квартира,Oткрытое,Новострой,Solomon Construct Imobil,70 м²,135 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/4","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1 м²
,Нуждается в ремонте,,,,Частное лицо,104569634,https://999.md/ru/104569634?location=subcategory&index=3515&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,1,68 м²,3-х комнатная квартира,Гараж,Вторичный,,,79 900 €,,Продам,Расположение,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,,1,,,Частное лицо,79234408,https://999.md/ru/79234408?location=subcategory&index=3516&cardCategoryId=270&cardSubcategoryId=1404,,3,4,44 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,72 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Pandurilor, 51","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
