Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
Нет,Eвроремонт,1,Индивидуальная,,Агентство,103870876,https://999.md/ru/103870876?location=subcategory&index=1229&cardCategoryId=270&cardSubcategoryId=1404,4,Kомбинированный,7,45 м²,1-комнатная квартира,Oткрытое,Новострой,Astercon,,,95 900 €,,Продам,"1-комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Центр, Durlești, 10 F1"
2,Незавершенное cтроительство,1,Индивидуальная,,Агентство,103006757,https://999.md/ru/103006757?location=subcategory&index=1230&cardCategoryId=270&cardSubcategoryId=1404,3,Kомбинированный,10,52 м²,1-комнатная квартира,Oткрытое,Вторичный,Exfactor-grup,,,84 900 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Dacia, 62/G"
1,Белый вариант,2,Индивидуальная,,Агентство,104415599,https://999.md/ru/104415599?location=subcategory&index=1231&cardCategoryId=270&cardSubcategoryId=1404,7,Kотельцовый,9,73 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,,135 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13"
1,Белый вариант,1,Индивидуальная,,Агентство,104101279,https://999.md/ru/104101279?location=subcategory&index=1232&cardCategoryId=270&cardSubcategoryId=1404,6,,18,44 м²,1-комнатная квартира,Oткрытое,Новострой,Horus,,,83 600 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1/10"
1,Eвроремонт,1,Индивидуальная,,Агентство,102800207,https://999.md/ru/102800207?location=subcategory&index=1233&cardCategoryId=270&cardSubcategoryId=1404,1,Kирпичный,10,86 м²,3-х комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,179 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Ion Buzdugan, 11"
1,Косметический pемонт,2,102,,Агентство,103929688,https://999.md/ru/103929688?location=subcategory&index=1234&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,5,53 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,78 500 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Grenoble, 130/1"
2,Eвроремонт,2,Индивидуальная,,Агентство,102623726,https://999.md/ru/102623726?location=subcategory&index=1235&cardCategoryId=270&cardSubcategoryId=1404,8,Kомбинированный,10,99 м²,2-х комнатная квартира,Подземная,Новострой,,,,164 900 €,,Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, Nicolae Testemițanu, 37"
2,Косметический pемонт,2,Мс (Молд. Серия),,Агентство,103727402,https://999.md/ru/103727402?location=subcategory&index=1236&cardCategoryId=270&cardSubcategoryId=1404,3,Панельный,9,39 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,59 500 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1/3"
,Индивидуальный дизайн,1,,,Частное лицо,60992536,https://999.md/ru/60992536?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjYxOTksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI2MDk5MjUzNiIsImkiOiI4OS4xNDkuOTEuMTYyIiwicyI6ImRlc2t0b3BfcmVkZXNpZ24iLCJwIjoiYWRzX2xpc3RfaW5saW5lIiwieCI6IiIsImwiOiJhMTlmNzk3Yi1mMjE5LTQ2YmYtOWU2ZS03OWY2YTBmNDJjYzgiLCJlIjoiODkuMTQ5LjkxLjE2MiIsInQiOiIyMDI2LTA2LTE0VDE4OjQzOjE5LjI4MjI0NDQxOVoifX0.tJI0_wbPRSNFsIywz4_W1DkGxd23BKNXjJxn9kv6Cxc&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1237&cardCategoryId=270&cardSubcategoryId=1404,1,Kотельцовый,1,25 м²,1-комнатная квартира,Oткрытое,Новострой,,,,700 MDL,,Сдаю посуточно,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Расположение
1,Белый вариант,1,Индивидуальная,,Агентство,103696997,https://999.md/ru/103696997?location=subcategory&index=1238&cardCategoryId=270&cardSubcategoryId=1404,9,Ячеистый Бетон,17,63 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,118 650 €,,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, gradina botanica, 18/1"
1,Eвроремонт,1,Индивидуальная,,Агентство,103135717,https://999.md/ru/103135717?location=subcategory&index=1239&cardCategoryId=270&cardSubcategoryId=1404,3,Kирпичный,11,88 м²,2-х комнатная квартира,Oткрытое,Новострой,Inamstro,,,219 000 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Ioana Radu, 27/2"
1,Eвроремонт,1,Индивидуальная,,Агентство,100665050,https://999.md/ru/100665050?location=subcategory&index=1240&cardCategoryId=270&cardSubcategoryId=1404,10,Kомбинированный,12,47 м²,1-комнатная квартира,Oткрытое,Новострой,Varincom,,,118 350 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Strada Nicolae Dimo, -"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,103910391,https://999.md/ru/103910391?location=subcategory&index=1241&cardCategoryId=270&cardSubcategoryId=1404,2,Kомбинированный,10,48 м²,1-комнатная квартира,Oткрытое,Новострой,,,,81 900 €,,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Cartușa, 95/4"
1,Белый вариант,2,Индивидуальная,,Агентство,104568304,https://999.md/ru/104568304?location=subcategory&index=1242&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,9,68 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,,127 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 9"
1,Eвроремонт,1,Индивидуальная,,Агентство,102479876,https://999.md/ru/102479876?location=subcategory&index=1243&cardCategoryId=270&cardSubcategoryId=1404,5,Kомбинированный,7,55 м²,2-х комнатная квартира,,Новострой,Braus Imobiliare,,,149 900 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Carierei, 32"
1,Косметический pемонт,1,Индивидуальная,,Агентство,103679019,https://999.md/ru/103679019?location=subcategory&index=1244&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,3,45 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,64 900 €,,Продам,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Окраина, Cartușa, 44"
Нет,Eвроремонт,1,Индивидуальная,,Агентство,104308488,https://999.md/ru/104308488?location=subcategory&index=1245&cardCategoryId=270&cardSubcategoryId=1404,1,Kирпичный,9,62 м²,2-х комнатная квартира,Oткрытое,Новострой,Sahin Construction,,,159 900 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Moara Roșie, 20"
2,Eвроремонт,1,Индивидуальная,,Агентство,104541918,https://999.md/ru/104541918?location=subcategory&index=1246&cardCategoryId=270&cardSubcategoryId=1404,2,Kомбинированный,10,52 м²,1-комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,,127 500 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Dacia, 62/C"
1,Белый вариант,2,Индивидуальная,,Агентство,102050455,https://999.md/ru/102050455?location=subcategory&index=1247&cardCategoryId=270&cardSubcategoryId=1404,2,Kомбинированный,10,68 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,93 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, B-04"
1,Косметический pемонт,1,,,Агентство,104565524,https://999.md/ru/104565524?location=subcategory&index=1248&cardCategoryId=270&cardSubcategoryId=1404,2,Kотельцовый,5,19 м²,Комната,Oткрытое,Вторичный,,,,21 500 €,,Продам,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, str. Salcâmilor, 22/5"
1,Белый вариант,1,Индивидуальная,,Агентство,104240606,https://999.md/ru/104240606?location=subcategory&index=1249&cardCategoryId=270&cardSubcategoryId=1404,11,Ячеистый Бетон,14,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,14 м²,51 м²,126 750 €,,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Nicolae Testemițanu, 19/A"
1,Eвроремонт,1,,,Агентство,104590054,https://999.md/ru/104590054?location=subcategory&index=1250&cardCategoryId=270&cardSubcategoryId=1404,8,Ячеистый Бетон,9,67 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,129 900 €,,Продам,"2-х комнатная квартира,  Центр,  Гидигич,  Кишинёв мун.","Кишинёв мун., Гидигич, Центр, str. Ștefan cel Mare și Sfînt, 1/B"
Нет,Косметический pемонт,1,Хрущевка,,Агентство,104581795,https://999.md/ru/104581795?location=subcategory&index=1251&cardCategoryId=270&cardSubcategoryId=1404,1,Kотельцовый,5,45 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,67 900 €,,Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ion Creangă, 70"
1,Белый вариант,2,Индивидуальная,,Агентство,103567025,https://999.md/ru/103567025?location=subcategory&index=1252&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,10,60 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,70 000 €,,Продам,"2-х комнатная квартира,  Центр,  Яловены,  Яловены","Яловены, Яловены, Центр, Bul. Stefan cel Mare și Sfint, 1"
1,Белый вариант,2,Индивидуальная,,Агентство,101800822,https://999.md/ru/101800822?location=subcategory&index=1253&cardCategoryId=270&cardSubcategoryId=1404,3,Kирпичный,9,69 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,126 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 5/9"
Нет,Незавершенное cтроительство,2,Индивидуальная,,Агентство,102180295,https://999.md/ru/102180295?location=subcategory&index=1254&cardCategoryId=270&cardSubcategoryId=1404,4,Kомбинированный,16,50 м²,1-комнатная квартира,Подземная,Новострой,Lagmar Impex,,,77 100 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Calea Mosilor, 4"
