Балкон / лоджия,Санузел,Состояние квартиры,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Площадь кухни,Жилая площадь,price,Ливинг,Тип,title,Адрес
2,3,Eвроремонт,,Индивидуальная,Агентство,102366963,https://999.md/ru/102366963?location=subcategory&index=3334&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,4,100 м²,3-х комнатная квартира,Гараж,Вторичный,,,,114 900 €,,Продам,"3-х комнатная квартира,  Окраина,  Яловены,  Яловены","Яловены, Яловены, Окраина, Moldova, 1"
Нет,1,Белый вариант,,Индивидуальная,Агентство,101914623,https://999.md/ru/101914623?location=subcategory&index=3335&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,7,10,60 м²,1-комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,79 900 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Bucovinei, 2"
1,2,Косметический pемонт,,Индивидуальная,Агентство,104376576,https://999.md/ru/104376576?location=subcategory&index=3336&cardCategoryId=270&cardSubcategoryId=1404,Панельный,7,11,70 м²,3-х комнатная квартира,Oткрытое,Вторичный,,,,159 900 €,,Продам,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 1/1"
2,2,Белый вариант,,Индивидуальная,Агентство,104002236,https://999.md/ru/104002236?location=subcategory&index=3337&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,10,62 м²,2-х комнатная квартира,Подземная,Новострой,,,,108 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Vadul  lui Voda, 33"
2,2,Косметический pемонт,,Индивидуальная,Агентство,102323688,https://999.md/ru/102323688?location=subcategory&index=3338&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,4,8,103 м²,3-х комнатная квартира,Oткрытое,Новострой,Gonvaro-Con,,,160 000 €,,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, Alba Iulia, 85/5"
1,1,Косметический pемонт,,Хрущевка,Агентство,103356674,https://999.md/ru/103356674?location=subcategory&index=3339&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,34 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,68 000 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Alecu Russo, 3/2"
3,3,Косметический pемонт,,Индивидуальная,Агентство,103562385,https://999.md/ru/103562385?location=subcategory&index=3340&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,9,10,100 м²,3-х комнатная квартира,Oткрытое,Новострой,Interactiv,,,206 000 €,,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, Alexandru cel Bun, 108"
Нет,1,Eвроремонт,,Индивидуальная,Агентство,104486610,https://999.md/ru/104486610?location=subcategory&index=3341&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,8,10,47 м²,1-комнатная квартира,Oткрытое,Новострой,Estate Invest Company,,,104 000 €,,Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 136/A"
2,2,Незавершенное cтроительство,,Индивидуальная,Агентство,102951033,https://999.md/ru/102951033?location=subcategory&index=3342&cardCategoryId=270&cardSubcategoryId=1404,Ячеистый Бетон,3,8,94 м²,3-х комнатная квартира,Подземная,Новострой,Erinvest,,,98 700 €,,Продам,"3-х комнатная квартира,  Окраина,  Яловены,  Яловены","Яловены, Яловены, Окраина, Alexandru cel bun, 2/8"
Нет,,Без ремонта,,Индивидуальная,Агентство,104376438,https://999.md/ru/104376438?location=subcategory&index=3343&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,2,2,43 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,39 900 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Uzinelor, 19"
Нет,1,Eвроремонт,,,Агентство,103893626,https://999.md/ru/103893626?location=subcategory&index=3344&cardCategoryId=270&cardSubcategoryId=1404,Панельный,9,9,23 м²,Комната,Oткрытое,Вторичный,,,,40 900 €,,Продам,"Комната,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Burebista, 36/2"
1,2,Незавершенное cтроительство,,Индивидуальная,Агентство,101110003,https://999.md/ru/101110003?location=subcategory&index=3345&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,14,64 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,98 000 €,,Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1\8"
1,1,Eвроремонт,,Индивидуальная,Агентство,103131155,https://999.md/ru/103131155?location=subcategory&index=3346&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,17,17,60 м²,1-комнатная квартира,Oткрытое,Новострой,Eldorado Terra,,,169 900 €,,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, Bogdan Voievod 1, 1 c"
,,,,,Агентство,104410694,https://999.md/ru/104410694?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0Njk3NzcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MTA2OTQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiMDE5YzdkN2MtNTYxYS00ZGIwLWE2ZjktZWYyN2MwNGUyMzkwIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxOTo0Mjo1Ny4zMTExODc1NjRaIn19.oqtvOybSreS_QUIuIyiPYtPE-X00rloNLxPUYacpP4o&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=3347&cardCategoryId=270&cardSubcategoryId=1404,,6,7,144 м²,3-х комнатная квартира,,Новострой,,,,525 000 €,Квартира с ливингом,Продам,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 5"
1,2,Незавершенное cтроительство,,Индивидуальная,Агентство,100875444,https://999.md/ru/100875444?location=subcategory&index=3348&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,1,10,65 м²,2-х комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,,79 900 €,,Продам,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 1/1"
Нет,2,Eвроремонт,,135,Агентство,103058392,https://999.md/ru/103058392?location=subcategory&index=3349&cardCategoryId=270&cardSubcategoryId=1404,Панельный,9,9,14 м²,1-комнатная квартира,Oткрытое,Вторичный,,,,29 000 €,,Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Igor Vieru, 19/1"
1,1,Eвроремонт,,143,Агентство,103358280,https://999.md/ru/103358280?location=subcategory&index=3350&cardCategoryId=270&cardSubcategoryId=1404,Панельный,3,9,60 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,105 000 €,,Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Чокана, Mihail Sadoveanu, 6"
Нет,1,Eвроремонт,,,Агентство,103818302,https://999.md/ru/103818302?location=subcategory&index=3351&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,10,71 м²,2-х комнатная квартира,Oткрытое,Новострой,,,,149 900 €,,Продам,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.","Кишинёв мун., Дурлешты, Центр, Cartusa, 95/3"
1,1,Eвроремонт,,Индивидуальная,Агентство,103623138,https://999.md/ru/103623138?location=subcategory&index=3352&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,1,16,54 м²,1-комнатная квартира,Oткрытое,Новострой,,,,87 700 €,,Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, Burebista, 114/2"
1,1,Индивидуальный дизайн,270 см,Индивидуальная,Частное лицо,88056767,https://999.md/ru/88056767?location=subcategory&index=3353&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,6,7,76 м²,2-х комнатная квартира,Oткрытое,Вторичный,Vlaviocons,9 м²,,145 000 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 59"
2,1,Индивидуальный дизайн,,,,102169605,https://999.md/ru/102169605?location=subcategory&index=3354&cardCategoryId=270&cardSubcategoryId=1404,,9,9,74 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,,115 000 €,,Продам,"2-х комнатная квартира,  Центр,  Кагул,  Кагул","Кагул, Кагул, Центр, str. Ştefan cel Mare şi Sfînt, 39"
1,1,Eвроремонт,270 см,,Частное лицо,102710474,https://999.md/ru/102710474?location=subcategory&index=3355&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,5,7,67 м²,2-х комнатная квартира,,Новострой,Astercon,14 м²,,148 000 €,,Продам,"2-х комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.","Кишинёв мун., Думбрава, Центр, -, -"
2,1,Нуждается в ремонте,,,Частное лицо,104005203,https://999.md/ru/104005203?location=subcategory&index=3356&cardCategoryId=270&cardSubcategoryId=1404,Бетон,2,9,86 м²,4-x комнатная квартира,Oткрытое,Вторичный,,,,65 000 €,,Продам,"4-x комнатная квартира,  Центр,  Страшены,  Страшены","Страшены, Страшены, Центр, str. Ştefan cel Mare și Sfînt, 28/1"
1,1,Белый вариант,,Индивидуальная,Частное лицо,101382738,https://999.md/ru/101382738?location=subcategory&index=3357&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,9,10,60 м²,1-комнатная квартира,Oткрытое,Новострой,,,60 м²,77 900 €,Квартира с ливингом,Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Рышкановка, str. Braniștii, 5/3"
1,2,Белый вариант,285 см,Индивидуальная,Застройщик,101818625,https://999.md/ru/101818625?location=subcategory&index=3358&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,2,12,82 м²,2-х комнатная квартира,Подземная,Новострой,Inamstro,20 м²,60 м²,193 500 €,Квартира с ливингом,Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Центр, str. Ghenadie Iablocikin, 2/2"
,,,,,Застройщик,103791166,https://999.md/ru/103791166?location=subcategory&index=3359&cardCategoryId=270&cardSubcategoryId=1404,,6,9,43 м²,1-комнатная квартира,,Вторичный,,13 м²,19 м²,64 999 €,,Продам,"1-комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.","Бельцы мун., Бельцы, БАМ, ул. Иван Конев, 16"
1,2,Eвроремонт,3 см,Индивидуальная,Агентство,104340068,https://999.md/ru/104340068?location=subcategory&index=3360&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,4,5,140 м²,3-х комнатная квартира,Гараж,Новострой,,,,280 000 €,Квартира без ливинга,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.","Кишинёв мун., Кишинёв, Буюканы, str. Ștefan Neaga, 16"
