Балкон / лоджия,Санузел,Состояние квартиры,Высота потолков,Планировка,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
1,1,Белый вариант,,,Агентство,103792841,https://999.md/ru/103792841?location=subcategory&index=1855&cardCategoryId=270&cardSubcategoryId=1404,4,,7,44 м²,1-комнатная квартира,Подземная,Новострой,,,78 500 €,,Продам,"Кишинёв мун., Дурлешты, Центр, Mihai Viteazul , 4","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,2,Косметический pемонт,,,Агентство,102864134,https://999.md/ru/102864134?location=subcategory&index=1856&cardCategoryId=270&cardSubcategoryId=1404,3,,9,55 м²,2-х комнатная квартира,,Вторичный,,,79 900 €,,Продам,"Кишинёв мун., Кишинёв, Чокана,  str. Ginta Latină, 5","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,3,Eвроремонт,,,Агентство,103346960,https://999.md/ru/103346960?location=subcategory&index=1857&cardCategoryId=270&cardSubcategoryId=1404,6,,7,144 м²,3-х комнатная квартира,Oткрытое,Новострой,,,525 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Moara Rosie, *","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,,,,,Застройщик,103933336,https://999.md/ru/103933336?location=subcategory&index=1858&cardCategoryId=270&cardSubcategoryId=1404,1,,5,40 м²,1-комнатная квартира,,Новострой,,,71 500 €,,Продам,"Кишинёв мун., Бачой, Окраина, str. Dacia, 60","1-комнатная квартира,  Окраина,  Бачой,  Кишинёв мун.",
2,4 и более,Eвроремонт,,,Частное лицо,103965504,https://999.md/ru/103965504?location=subcategory&index=1859&cardCategoryId=270&cardSubcategoryId=1404,Пентхаус,,6,324 м²,5-ти комн. кварт. и более,,Новострой,,,975 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Mihai Eminescu, 41/1","5-ти комн. кварт. и более,  Центр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104431476,https://999.md/ru/104431476?location=subcategory&index=1860&cardCategoryId=270&cardSubcategoryId=1404,6,,14,54 м²,2-х комнатная квартира,,Новострой,,,73 200 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Calea Moșilor, 4","2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,2,Индивидуальный дизайн,330 см,Индивидуальная,Частное лицо,102908521,https://999.md/ru/102908521?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjcxODIsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDI5MDg1MjEiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiYjgxOTk5YWItZWM0OC00MzRlLTk3MDEtNzQ3ZGUwY2U4YzJkIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxODo1OTo0Mi43NTMxNzk5NTRaIn19.wWKyIkREoxMa63I9JqQVovIvgDFSQabpmMIiHx0ZtwM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1861&cardCategoryId=270&cardSubcategoryId=1404,10,Mонолитный,11,197 м²,3-х комнатная квартира,Гараж,Новострой,,,395 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Tudor Strișcă, 8/7","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,Белый вариант,,,Агентство,103447826,https://999.md/ru/103447826?location=subcategory&index=1862&cardCategoryId=270&cardSubcategoryId=1404,5,,12,89 м²,3-х комнатная квартира,,Новострой,,,90 690 €,,Продам,Расположение,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,,Белый вариант,,,Частное лицо,101676572,https://999.md/ru/101676572?location=subcategory&index=1863&cardCategoryId=270&cardSubcategoryId=1404,6,,9,83 м²,3-х комнатная квартира,,Новострой,,,145 000 €,,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Ion Dumeniuc, 6","3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,1,Белый вариант,,Индивидуальная,Застройщик,100018646,https://999.md/ru/100018646?location=subcategory&index=1864&cardCategoryId=270&cardSubcategoryId=1404,1,,6,106 м²,2-х комнатная квартира,Подземная,Новострой,Dansicons,62 м²,89 555 €,Квартира с ливингом,Продам,"Оргеев, Оргеев, Центр, str. Constantin Negruzzi, 91/L","2-х комнатная квартира,  Центр,  Оргеев,  Оргеев",
2,2,Белый вариант,280 см,,Застройщик,100908706,https://999.md/ru/100908706?location=subcategory&index=1865&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,10,74 м²,3-х комнатная квартира,Подземная,Новострой,Braus Imobiliare,,103 700 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1","3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,1,Белый вариант,,,Агентство,86022326,https://999.md/ru/86022326?location=subcategory&index=1866&cardCategoryId=270&cardSubcategoryId=1404,4,,7,69 м²,3-х комнатная квартира,,Новострой,,,61 424 €,,Продам,"Криуляны, Криуляны, Центр, bd. Biruinței, 0","3-х комнатная квартира,  Центр,  Криуляны,  Криуляны",
,1,Eвроремонт,,,Агентство,102190193,https://999.md/ru/102190193?location=subcategory&index=1867&cardCategoryId=270&cardSubcategoryId=1404,12,,12,50 м²,2-х комнатная квартира,,Новострой,,,147 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 0","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104514572,https://999.md/ru/104514572?location=subcategory&index=1868&cardCategoryId=270&cardSubcategoryId=1404,3,Kирпичный,8,68 м²,2-х комнатная квартира,,Новострой,,,141 200 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Lipcani, 2","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",18 м²
Нет,1,Индивидуальный дизайн,270 см,,Частное лицо,104492416,https://999.md/ru/104492416?location=subcategory&index=1869&cardCategoryId=270&cardSubcategoryId=1404,2,Kирпичный,11,54 м²,1-комнатная квартира,,Новострой,Estate Invest Company,,105 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 136/B","1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,2,Белый вариант,260 см,,Застройщик,100951572,https://999.md/ru/100951572?location=subcategory&index=1870&cardCategoryId=270&cardSubcategoryId=1404,4,Kирпичный,4,179 м²,3-х комнатная квартира,Подземная,Новострой,Braus Imobiliare,,295 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Старая Почта, ул. Грэтиешть, 54","3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,,Агентство,104504726,https://999.md/ru/104504726?location=subcategory&index=1871&cardCategoryId=270&cardSubcategoryId=1404,9,,12,57 м²,2-х комнатная квартира,,Новострой,,,185 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, Alecu Russo, 9\8","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,2,Eвроремонт,,Индивидуальная,Агентство,104028054,https://999.md/ru/104028054?location=subcategory&index=1872&cardCategoryId=270&cardSubcategoryId=1404,6,,12,76 м²,2-х комнатная квартира,Подземная,Новострой,,,187 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, Alba Iulia, Buiucani, **","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,1,Eвроремонт,,,Частное лицо,104187540,https://999.md/ru/104187540?location=subcategory&index=1873&cardCategoryId=270&cardSubcategoryId=1404,11,,12,64 м²,2-х комнатная квартира,,Новострой,Astercon,,156 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 61/4","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,Нуждается в ремонте,,,Агентство,104614883,https://999.md/ru/104614883?location=subcategory&index=1874&cardCategoryId=270&cardSubcategoryId=1404,2,,5,26 м²,Комната,,Вторичный,,,32 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str-la Muncești 2, 4","Комната,  Ботаника,  Кишинёв,  Кишинёв мун.",
,1,Eвроремонт,,,Агентство,104253367,https://999.md/ru/104253367?location=subcategory&index=1875&cardCategoryId=270&cardSubcategoryId=1404,9,Kомбинированный,10,33 м²,1-комнатная квартира,Oткрытое,Новострой,,,82 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника,  șos. Muncești, 316","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,2,Белый вариант,300 см,,Застройщик,100967155,https://999.md/ru/100967155?location=subcategory&index=1876&cardCategoryId=270&cardSubcategoryId=1404,1,Kирпичный,4,97 м²,3-х комнатная квартира,Подземная,Новострой,Braus Imobiliare,,263 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, ул. Чиркулуй, 61","3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
3,2,Белый вариант,,,Агентство,104010477,https://999.md/ru/104010477?location=subcategory&index=1877&cardCategoryId=270&cardSubcategoryId=1404,8,,8,118 м²,4-x комнатная квартира,,Новострой,,,205 000 €,Квартира с ливингом,Продам,"Яловены, Яловены, Центр, str. Moldova, ----","4-x комнатная квартира,  Центр,  Яловены,  Яловены",
2,1,Eвроремонт,,,Агентство,104299735,https://999.md/ru/104299735?location=subcategory&index=1878&cardCategoryId=270&cardSubcategoryId=1404,1,,5,64 м²,3-х комнатная квартира,,Вторичный,,,117 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, Ioana Radu, 24","3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
