Тип участка,Площадь земли,Тип,Застройщик,Санузел,Состояние дома,id,Ливинг,Этаж,title,Количество комнат,Высота потолков,price,Состояние квартиры,Тип здания,link,Количество этажей,Адрес,Тип помещения,Площадь участка,Общая площадь,Парковочное место,Этажность,Балкон / лоджия,Балкон,Площадь кухни,Автор объявления,Водопровод,Жилой фонд,Состояние помещения,Газификация,Канализация,Планировка,Жилая площадь
Садовый участок,10 сотки,Продам,,,,102956657,,,"Садовый участок, Чореску, 10 сот.",,,24 000 €,,,https://999.md/ru/102956657?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE2MDQ3NDAsIkMiOnsiciI6MSwiYiI6MTYwLCJjIjoyNzAsInoiOjE0MDcsImEiOiIxMDI5NTY2NTciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNDdlODFiMDgtNmFlNS00ZjBmLTgyOWUtYjkzZTUwNGJmMDE2IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE2VDA5OjEyOjIwLjA0NDMwOTY4NloifX0.TDi06zZvGc7_1mg7Y6pWIz37B0ipaSoQXN2GSR4-B70&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=16907&cardCategoryId=270&cardSubcategoryId=1407,,"Кишинёв мун., Чореску, Окраина, str. Salcîmilor",,,,,,,,,Частное лицо,,,,,,,
,,Продам,,1,,104535525,,9,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,45 000 €,Eвроремонт,,https://999.md/ru/104535525?location=subcategory&index=16908&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 26/1",,,20 м²,,,1,,,Агентство,,Вторичный,,,,,
,,Продам,,,,104511560,,7,"4-x комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",4-x комнатная квартира,,240 000 €,,,https://999.md/ru/104511560?location=subcategory&index=16909&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 10",,,104 м²,,,,,,Частное лицо,,Новострой,,,,,
,,Продам,Varincom,,,104535519,,4,"1-комнатная квартира,  Центр,  Криково,  Кишинёв мун.",1-комнатная квартира,,57 000 €,,,https://999.md/ru/104535519?location=subcategory&index=16910&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Криково, Центр, şos. Chişinăului, 68",,,43 м²,,,,,,Частное лицо,,Новострой,,,,,
,,Продам,,,,104507607,Квартира с ливингом,7,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,240 000 €,Eвроремонт,,https://999.md/ru/104507607?location=subcategory&index=16911&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 10",,,104 м²,,,,,,Частное лицо,,Новострой,,,,,
,,Продам,,,,104535451,Квартира с ливингом,6,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,99 700 €,Eвроремонт,,https://999.md/ru/104535451?location=subcategory&index=16912&cardCategoryId=270&cardSubcategoryId=1404,6,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 11/3",,,65 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,Inamstro,1,,104100103,Квартира с ливингом,4,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,182 000 €,Белый вариант,,https://999.md/ru/104100103?location=subcategory&index=16913&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/5",,,80 м²,Подземная,,,,,Агентство,,Новострой,,,,,
,,Продам,Pamir Construct,,,104535399,,2,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,90 000 €,Eвроремонт,,https://999.md/ru/104535399?location=subcategory&index=16914&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Центр, str. Ialoveni, 100/3",,,46 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,Estate Invest Company,1,,103306151,Квартира с ливингом,3,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",1-комнатная квартира,,89 500 €,Eвроремонт,Kирпичный,https://999.md/ru/103306151?location=subcategory&index=16915&cardCategoryId=270&cardSubcategoryId=1404,11,"Кишинёв мун., Дурлешты, Окраина, Ialoveni, 136",,,54 м²,Oткрытое,,,,,Агентство,,Новострой,,,,,
,,Продам,Sky House,,,104535346,Квартира с ливингом,1,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,74 900 €,Белый вариант,,https://999.md/ru/104535346?location=subcategory&index=16916&cardCategoryId=270&cardSubcategoryId=1404,18,"Кишинёв мун., Кишинёв, Ботаника, str. Cetatea Albă, 11",,,48 м²,,,,,,Застройщик,,Новострой,,,,,
,,Продам,,,,43913464,,2,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,,144 000 €,Белый вариант,,https://999.md/ru/43913464?location=subcategory&index=16917&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Luca Caragiale, 24",,,80 м²,Подземная,,,,,Застройщик,,Новострой,,,,,
,,Продам,,,,88246227,Квартира с ливингом,3,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,127 500 €,,,https://999.md/ru/88246227?location=subcategory&index=16918&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Центр, str. Ismail, 28",,,51 м²,,,,,,Застройщик,,Новострой,,,,,
,,Продам,,1,Евроремонт,104339453,,,"Дом,  54 м²,  Суручены",2,,69 900 €,,,https://999.md/ru/104339453?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE2MDQ3NDAsIkMiOnsiciI6MSwiYiI6NzAwLCJjIjoyNzAsInoiOjE0MDYsImEiOiIxMDQzMzk0NTMiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiYjMzODYxODYtODRjMS00N2I4LWIwMDUtNThkNTJkYTIwNmU0IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJ0IjoiMjAyNi0wNi0xNlQwOToxMjoyMC4wNDQ0MDQ4MDNaIn19.T7BRxLnhlzSxwbzBFvW32Cr2EarukRwqNnLLp1i8x-Q&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=16919&cardCategoryId=270&cardSubcategoryId=1406,,"Яловены, Суручены, Окраина, -, -",,,54 м²,,1 этажный,,,,Застройщик,Есть водопровод,,,Газифицирован,Есть канализация,,54 м²
,,Продам,Eurostil Construct,2,,104535324,Квартира с ливингом,9,"3-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",3-х комнатная квартира,4500 см,185 000 €,Белый вариант,Kирпичный,https://999.md/ru/104535324?location=subcategory&index=16920&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 16/A",,,92 м²,Гараж,,2,,15 м²,Частное лицо,,Новострой,,,,,70 м²
,,Продам,,,,104485288,Квартира с ливингом,12,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,210 000 €,Eвроремонт,,https://999.md/ru/104485288?location=subcategory&index=16921&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Центр, str. Ion Nistor, 2",,,77 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,,1,,104206351,,9,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,109 000 €,Eвроремонт,,https://999.md/ru/104206351?location=subcategory&index=16922&cardCategoryId=270&cardSubcategoryId=1404,10,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",,,43 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,,1,,104193063,,5,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,62 900 €,Eвроремонт,,https://999.md/ru/104193063?location=subcategory&index=16923&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Телецентр, str. Lech Kaczynski, 10/2",,,30 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,,,104178157,Квартира с ливингом,2,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,109 900 €,,,https://999.md/ru/104178157?location=subcategory&index=16924&cardCategoryId=270&cardSubcategoryId=1404,7,"Кишинёв мун., Кишинёв, Буюканы, str-la Tudor Vladimirescu, 52",,,53 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,,,,104145874,,4,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,112 500 €,Eвроремонт,,https://999.md/ru/104145874?location=subcategory&index=16925&cardCategoryId=270&cardSubcategoryId=1404,9,"Кишинёв мун., Кишинёв, Буюканы, str. Onisifor Ghibu, 2",,,55 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,1,,103974753,,5,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,79 900 €,Eвроремонт,,https://999.md/ru/103974753?location=subcategory&index=16926&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 13/4a",,,42 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,,,103966764,Квартира с ливингом,1,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,69 900 €,Нуждается в ремонте,,https://999.md/ru/103966764?location=subcategory&index=16927&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Рышкановка, str. Dumitru Rîșcanu, 20/2",,,54 м²,,,2,,,Агентство,,Вторичный,,,,,
,,Продам,,1,,103953327,,1,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,68 000 €,Eвроремонт,,https://999.md/ru/103953327?location=subcategory&index=16928&cardCategoryId=270&cardSubcategoryId=1404,5,"Кишинёв мун., Кишинёв, Буюканы, str. Doina și Ion Aldea-Teodorovici, 8",,,30 м²,,,,,,Агентство,,Вторичный,,,,,
,,Продам,,1,,104535284,Квартира с ливингом,6,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1-комнатная квартира,,99 900 €,Eвроремонт,,https://999.md/ru/104535284?location=subcategory&index=16929&cardCategoryId=270&cardSubcategoryId=1404,8,"Кишинёв мун., Дурлешты, Центр, str. Regele Carol, 5",,,47 м²,,,1,,,Агентство,,Новострой,,,,,
,,Продам,Lagmar Impex,1,,104533866,Квартира с ливингом,1,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,,62 400 €,Белый вариант,Kомбинированный,https://999.md/ru/104533866?location=subcategory&index=16930&cardCategoryId=270&cardSubcategoryId=1404,15,"Кишинёв мун., Кишинёв, Старая Почта, str. Ceucari, 11/1",,,48 м²,Подземная,,1,,,Застройщик,,Новострой,,,,Индивидуальная,
,,Продам,Exfactor-grup,,,104509250,,8,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",2-х комнатная квартира,,190 000 €,,,https://999.md/ru/104509250?location=subcategory&index=16931&cardCategoryId=270&cardSubcategoryId=1404,13,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",,,70 м²,,,,,,Агентство,,Новострой,,,,,
,,Продам,Braus Imobiliare,1,,104535249,Квартира с ливингом,10,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",1-комнатная квартира,280 см,49 020 €,Белый вариант,Kирпичный,https://999.md/ru/104535249?location=subcategory&index=16932&cardCategoryId=270&cardSubcategoryId=1404,20,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 59",,,38 м²,,,1,,,Частное лицо,,Новострой,,,,,
