Жилая площадь,Высота потолков,id,Жилой фонд,Ливинг,title,Тип,link,Адрес,Парковочное место,Тип здания,Этаж,Застройщик,Общая площадь,Планировка,Санузел,Состояние квартиры,Автор объявления,Балкон / лоджия,Площадь кухни,price,Количество этажей,Количество комнат
,,103845264,Новострой,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103845264,"Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 5",,,1,,59 м²,,1,Eвроремонт,Агентство,,,147 900 €,9,2-х комнатная квартира
,,103827440,Вторичный,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103827440,"Кишинёв мун., Кишинёв, Телецентр, str. Vasile Cheltuială, 9/2",,,2,,25 м²,,1,Eвроремонт,Агентство,,,36 900 €,7,1-комнатная квартира
,,103766542,Вторичный,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103766542,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 12/1",,,6,,53 м²,,1,Белый вариант,Агентство,,,44 000 €,6,2-х комнатная квартира
,,103745169,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103745169,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/2",,,10,,140 м²,,2,Eвроремонт,Агентство,,,219 900 €,10,2-х комнатная квартира
,,103744973,Вторичный,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103744973,"Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 74/1",,,5,,61 м²,,2,Eвроремонт,Агентство,,,87 500 €,5,2-х комнатная квартира
,,103613185,Вторичный,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103613185,"Кишинёв мун., Кишинёв, Ботаника, str. Minsk, 26/2",,,3,,45 м²,,1,Eвроремонт,Агентство,,,92 900 €,4,2-х комнатная квартира
,,103974772,Новострой,Квартира без ливинга,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103974772,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 13",Oткрытое,,9,,7 м²,Индивидуальная,,Сдан в эксплуатацию,Частное лицо,,,13 500 €,10,1-комнатная квартира
,,103986462,Новострой,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103986462,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 259/13",,,12,,48 м²,,,,Частное лицо,,,215 000 €,13,1-комнатная квартира
,,102367462,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/102367462,Расположение,Oткрытое,Kирпичный,2,Exfactor-grup,74 м²,Индивидуальная,1,Eвроремонт,Агентство,1,,179 000 €,10,2-х комнатная квартира
,,103350301,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103350301,"Кишинёв мун., Кишинёв, Рышкановка, str. Kiev, 6/1",Oткрытое,,9,,65 м²,,1,Eвроремонт,Агентство,1,,160 000 €,12,2-х комнатная квартира
,,103986440,Новострой,Квартира с ливингом,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103986440,"Кишинёв мун., Кишинёв, Буюканы, str. Durleşti, 10/B",Подземная,Kотельцовый,5,Astercon,77 м²,Индивидуальная,2,Eвроремонт,Частное лицо,1,,159 000 €,7,3-х комнатная квартира
,,85456246,Новострой,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/85456246,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/2",,,4,Solomon Construct Imobil,92 м²,,,,Застройщик,,,138 000 €,12,2-х комнатная квартира
160 м²,3 см,102399862,Новострой,Квартира с ливингом,"4-x комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/102399862,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/7",,,10,Inamstro,300 м²,,2,Индивидуальный дизайн,Агентство,4 и более,35 м²,450 000 €,10,4-x комнатная квартира
,,103489509,Вторичный,Квартира без ливинга,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103489509,"Кишинёв мун., Кишинёв, Рышкановка, ул. Флорилор, 2",Oткрытое,Ячеистый Бетон,9,,35 м²,Мс (Молд. Серия),1,Косметический pемонт,Агентство,Нет,,56 900 €,10,1-комнатная квартира
,,103647002,Новострой,Квартира с ливингом,"1-комнатная квартира,  Центр,  Буджак,  Комрат",Продам,https://999.md/ru/103647002?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM2NDcwMDIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiZWQ0ZjU0NDAtZmQ5OS00N2EzLWFmZWQtM2Q2MGMyYjkwYWJmIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA0VDIwOjU5OjA2LjA3NTAwNDk1WiJ9fQ.BKbkZUmmRXRvKuLZ5E9btgby7U9NoOn6pp2P2NWhe1U&adType=booster,"Комрат, Буджак, Центр, str. Pavlov, 5",,,5,,40 м²,,,Белый вариант,Частное лицо,,,20 000 €,5,1-комнатная квартира
77 м²,3 см,103006282,Новострой,Квартира с ливингом,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103006282?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMwMDYyODIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiN2RhMzBiYzUtODVmOC00OTg0LWE1MzAtM2NhOWZjYzQ2NjkzIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNFQyMDo1OTowNi4wNzUwMjg1OTJaIn19.KyTgEzXZryt1LoS_8nParTXo5cHGD8KgyBIxzN99hYI&adType=booster,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 16",,Бетон,11,Inamstro,77 м²,Индивидуальная,2,Белый вариант,Частное лицо,1,,158 000 €,15,2-х комнатная квартира
,,103962174,Вторичный,,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103962174?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NjIxNzQiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYWQwZjZhYjYtNTllYy00MGYxLWIyZTItMmJlMmY2YTExNzAwIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0wNFQyMDo1OTowNi4wNzQ3MDIxMDVaIn19.q8KD0B5Jd5nLWYJdVJ6Z1_HRPfvJYhu4zmPkenOfLho&adType=booster,"Кишинёв мун., Кишинёв, Рышкановка, str. Nicolae Dimo, 29/3",Oткрытое,Kотельцовый,2,,62 м²,,1,,Застройщик,1,,83 900 €,5,3-х комнатная квартира
,,103122667,Новострой,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,https://999.md/ru/103122667?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDMxMjI2NjciLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiJwcm8iLCJsIjoiZjFkMDkxYWYtZWZhYy00NWJmLWE4YjktNzQzY2ExMjdhNzE4IiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA0VDIwOjU5OjA2LjA3NDc1Nzk0MloifX0.S3na-5V7PWgPtvtoqlGyNGUjRXVYSULVpG5j2m_grSs&adType=booster,"Кишинёв мун., Кишинёв, Центр, str. Ialoveni, 100/3",Подземная,,2,Pamir Construct,46 м²,,1,Eвроремонт,Частное лицо,2,,101 000 €,9,1-комнатная квартира
,,103412382,Вторичный,,"4-x комнатная квартира,  БАМ,  Бельцы,  Бельцы мун.",Продам,https://999.md/ru/103412382?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzUzMzk5NDYsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM0MTIzODIiLCJpIjoiODkuMTQ5LjkxLjE3MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2Zvb3RlciIsIngiOiIiLCJsIjoiYTI0YmU5YWUtMmUwMi00MWVjLThiNTYtMTZiNTExYTRmMzEwIiwiZSI6Ijg5LjE0OS45MS4xNzAiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTA0VDIwOjU5OjA2LjA3NDk0NzMxWiJ9fQ.NCR-rtBiuKMWAj6fHs8g4UN_bVvPWo9JWdG7acDcXcE&adType=booster,Расположение,Oткрытое,,3,,85 м²,,1,,Частное лицо,2,,75 000 €,5,4-x комнатная квартира
