Балкон / лоджия,Планировка,Застройщик,link,Ливинг,Площадь кухни,Парковочное место,Этаж,Санузел,Высота потолков,price,Количество этажей,Общая площадь,Адрес,id,Жилой фонд,Тип здания,Жилая площадь,title,Тип,Автор объявления,Количество комнат,Состояние квартиры
,,Carpeni,https://999.md/ru/88806232?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4ODgwNjIzMiIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6IiIsImwiOiI5ODg1ODZiNi04NTU1LTQwZWUtOWIwOC0zZmM0MDIyMzA4MTMiLCJlIjoiODkuMTQ5LjkzLjEzOSIsImciOiJsaXRlIiwidCI6IjIwMjYtMDQtMjBUMTc6NTM6MTEuNjA3MTYxMzQ3WiJ9fQ.tF5jD6BWo58bX7AquQJ7UTfF0ZIigOTBRA-hk1Rl0N8&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=8,,,Oткрытое,4,1,,700 MDL,10,45 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Petru Ungureanu, 1a",88806232,Новострой,,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Сдаю посуточно,Частное лицо,1-комнатная квартира,Eвроремонт
1,,,https://999.md/ru/103932291?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5MzIyOTEiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiOWEzMGM2NzAtYWVjMS00NTg3LTlmMzUtOWIzYzNiNWVkOGUwIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNzIyNzc4WiJ9fQ.ghWk0sfmFnclgM2ZBDLlL0xezOb3YH4OpcJsdHxwW5Y&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=9,,,Подземная,3,1,,82 000 €,4,51 м²,"Кишинёв мун., Кодру, Центр, Stra-la1 schinoasa deal, 21",103932291,Новострой,,,"2-х комнатная квартира,  Центр,  Кодру,  Кишинёв мун.",Продам,Частное лицо,2-х комнатная квартира,
2,,Boiar House,https://999.md/ru/89832857?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiI4OTgzMjg1NyIsImkiOiI4OS4xNDkuOTMuMTM5IiwicyI6ImRlc2t0b3AiLCJwIjoiYWRzX2xpc3RfaGVhZGVyIiwieCI6InByZW1pdW0iLCJsIjoiY2QyNWU0OWQtMGI0OC00MTNmLTlhYjAtYWNlNGFjZDVmZDc5IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNzI0MzI2NFoifX0.GkXxJQsWzs-zKYjdtxcfWuYnBKfTfoIqJ7Pbclo9oaA&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=10,,,,9,2,,100 300 €,10,100 м²,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24/B",89832857,Новострой,,,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Продам,Застройщик,3-х комнатная квартира,Незавершенное cтроительство
,,,https://999.md/ru/104053677?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwNTM2NzciLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiIiLCJsIjoiODQzZWZmOWMtOGFhMS00NWE3LTg4NGQtZGVmMmNiY2UwMGRmIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjYwNzI3MTA5NVoifX0.phCgiISwE7oqMH2mqHZEnJrzidsTfmQ66BcQBtfza8w&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=11,,,,4,,,400 €,6,45 м²,"Кишинёв мун., Кишинёв, Ботаника, str. Trandafirilor, 33/1",104053677,Вторичный,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,2-х комнатная квартира,
2,,,https://999.md/ru/102185385?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIxODUzODUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2hlYWRlciIsIngiOiJwcmVtaXVtIiwibCI6Ijk5MmI1MmFiLWZlY2ItNGJlYy1hNTYwLTJlZDU0MmUwZmVlOSIsImUiOiI4OS4xNDkuOTMuMTM5IiwidCI6IjIwMjYtMDQtMjBUMTc6NTM6MTEuNjA3MjgzODM0WiJ9fQ.p68PW3_nupMWl20EOmKA-noJovpZ5kvx66cuHMot5oY&placement=ADS_LIST_HEADER_REDESIGN&adType=booster&location=subcategory&index=12,Квартира с ливингом,,Oткрытое,7,1,,850 €,10,95 м²,"Кишинёв мун., Кишинёв, Центр, str. Gheorghe Cașu, 30/C",102185385,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,,2-х комнатная квартира,
1,Индивидуальная,Interactiv,https://999.md/ru/103501638?location=subcategory&index=2185,,,Oткрытое,2,2,,180 000 €,10,74 м²,"Кишинёв мун., Кишинёв, Центр, Alexandru cel Bun, 108",103501638,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103833739?location=subcategory&index=2186,,,Oткрытое,6,2,,108 290 €,8,84 м²,"Яловены, Яловены, Окраина, Basarabia, 9",103833739,Новострой,Kирпичный,,"2-х комнатная квартира,  Окраина,  Яловены,  Яловены",Продам,Агентство,2-х комнатная квартира,Белый вариант
Нет,Индивидуальная,,https://999.md/ru/103836871?location=subcategory&index=2187,,,Oткрытое,2,1,,88 000 €,9,50 м²,"Кишинёв мун., Кишинёв, Ботаника, dacia, 58",103836871,Новострой,Kирпичный,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Белый вариант
1,Индивидуальная,Lagmar Impex,https://999.md/ru/101444730?location=subcategory&index=2188,,,Oткрытое,3,1,,65 900 €,10,44 м²,"Кишинёв мун., Кишинёв, Старая Почта, Ceucari, 1/1",101444730,Новострой,Kирпичный,,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Белый вариант
2,Индивидуальная,AMIC,https://999.md/ru/102913405?location=subcategory&index=2189,,,Oткрытое,6,1,,79 900 €,6,51 м²,"Кишинёв мун., Кишинёв, Телецентр, Malina Mica, 20",102913405,Новострой,Kотельцовый,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Exfactor-grup,https://999.md/ru/103444624?location=subcategory&index=2190,,,Oткрытое,1,2,,92 000 €,10,55 м²,"Кишинёв мун., Кишинёв, Старая Почта, Vasile Badiu, 8/3",103444624,Новострой,Kомбинированный,,"1-комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Индивидуальная,Astercon,https://999.md/ru/101010965?location=subcategory&index=2191,,,Oткрытое,7,1,,67 000 €,7,41 м²,"Кишинёв мун., Думбрава, Центр, Durlești, 10",101010965,Новострой,Kотельцовый,,"1-комнатная квартира,  Центр,  Думбрава,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Белый вариант
,,,https://999.md/ru/104016619?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQwMTY2MTkiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiNmE2ZTVkMjQtMjNjMC00MGQwLWEyOTYtNzUyMjQ3NzE1ZDg3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1MzoxMS4zNjA4MTA1NzdaIn19.nkOe2A8VEdryqm7qd63FHWiS3kxSzZYxRMDUZZGN9Gs&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2192,Квартира с ливингом,,,18,,,95 000 €,19,72 м²,"Кишинёв мун., Кишинёв, Центр, str. Albisoara, 82/4",104016619,Вторичный,,,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Застройщик,2-х комнатная квартира,
2,143,,https://999.md/ru/103243879?location=subcategory&index=2193,,,Гараж,9,2,,78 000 €,9,75 м²,"Кишинёв мун., Сынжера, Окраина, Ion Creanga, 11/1",103243879,Вторичный,Панельный,,"3-х комнатная квартира,  Окраина,  Сынжера,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Nicons,https://999.md/ru/101924102?location=subcategory&index=2194,,,Oткрытое,1,1,,86 900 €,10,50 м²,"Кишинёв мун., Дурлешты, Центр, Cartusa, 99/7",101924102,Новострой,Kомбинированный,,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Варц (Варницкая),,https://999.md/ru/103472246?location=subcategory&index=2195,,,Oткрытое,2,2,,134 900 €,9,90 м²,"Кишинёв мун., Кишинёв, Чокана, Bulevardul Mircea cel Bătrân, 25",103472246,Вторичный,Панельный,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Eвроремонт
1,,AMIC,https://999.md/ru/102496485?location=subcategory&index=2196,,,Oткрытое,1,2,,181 900 €,10,101 м²,"Кишинёв мун., Кишинёв, Рышкановка, Andrei Doga, 28/5",102496485,Новострой,Kомбинированный,,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Eвроремонт
Нет,Индивидуальная,Estate Invest Company,https://999.md/ru/103613536?location=subcategory&index=2197,,,Oткрытое,2,2,,148 000 €,12,74 м²,"Кишинёв мун., Кишинёв, Телецентр, Ialoveni, 136/B",103613536,Новострой,Kирпичный,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/102809603?location=subcategory&index=2198,,,Oткрытое,6,2,,194 000 €,13,76 м²,"Кишинёв мун., Кишинёв, Буюканы, Alba-Iulia, 77/2",102809603,Новострой,Kомбинированный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Брж (Брежневка),,https://999.md/ru/103670514?location=subcategory&index=2199,,,Oткрытое,5,1,,76 500 €,5,40 м²,"Кишинёв мун., Кишинёв, Рышкановка, Miron Costin, 22",103670514,Вторичный,Kотельцовый,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
2,102,,https://999.md/ru/103865489?location=subcategory&index=2200,,,Oткрытое,5,2,,82 900 €,5,57 м²,"Кишинёв мун., Кишинёв, Рышкановка, Bulevardul Moscova, 20/4",103865489,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Без ремонта
1,Индивидуальная,,https://999.md/ru/103496389?location=subcategory&index=2201,,,Oткрытое,3,1,,99 000 €,6,54 м²,"Кишинёв мун., Кишинёв, Чокана, Ion Dumeniuc, 4",103496389,Новострой,Kомбинированный,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Брж (Брежневка),,https://999.md/ru/103953445?location=subcategory&index=2202,,,Oткрытое,5,2,,64 900 €,5,65 м²,"Кишинёв мун., Кишинёв, Ботаника, Sarmizegetusa, 37/4",103953445,Вторичный,Kотельцовый,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Без ремонта
1,,Comalion & Co,https://999.md/ru/103948145?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM5NDgxNDUiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZGIwMzFiMWYtZTc4NC00NGJlLWFhMGYtZDYyYjYwY2Q0N2M1IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJ0IjoiMjAyNi0wNC0yMFQxNzo1MzoxMS4zNjA5MDIyNDVaIn19.daAEwuc15fUadkCmmUlbgbmOAIdO9jMy0mJ28BpHqYQ&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2203,Квартира с ливингом,,,14,1,,134 550 €,14,69 м²,"Кишинёв мун., Кишинёв, Буюканы, str. Ghioceilor, 2/1",103948145,Вторичный,,69 м²,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
2,Мс (Молд. Серия),,https://999.md/ru/103837626?location=subcategory&index=2204,,,Oткрытое,9,1,,125 000 €,9,76 м²,"Кишинёв мун., Кишинёв, Ботаника, Bulevardul Dacia, 38/8",103837626,Вторичный,Панельный,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Eвроремонт
1,,,https://999.md/ru/103431462?location=subcategory&index=2205,,,Oткрытое,3,1,,35 900 €,6,23 м²,"Кишинёв мун., Кишинёв, Буюканы, Suceava, 119",103431462,Вторичный,Kотельцовый,,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,Комната,Косметический pемонт
1,Индивидуальная,,https://999.md/ru/102811174?location=subcategory&index=2206,,,Oткрытое,11,2,,69 000 €,16,39 м²,"Кишинёв мун., Кишинёв, Центр, Ismail, 96",102811174,Вторичный,Mонолитный,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Косметический pемонт
1,Индивидуальная,Exfactor-grup,https://999.md/ru/103929962?location=subcategory&index=2207,,,Oткрытое,4,1,,172 900 €,10,72 м²,"Кишинёв мун., Кишинёв, Буюканы, Ion Buzdugan, 13",103929962,Новострой,Kирпичный,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,,,https://999.md/ru/103812778?location=subcategory&index=2208,,,,5,1,,38 900 €,5,20 м²,"Кишинёв мун., Кишинёв, Буюканы, Ion Pelivan, 34/1",103812778,Вторичный,Kотельцовый,,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103237791?location=subcategory&index=2209,,,Oткрытое,7,2,,172 000 €,13,85 м²,"Кишинёв мун., Кишинёв, Ботаника, Grenoble, 257",103237791,Новострой,Ячеистый Бетон,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
Нет,,,https://999.md/ru/103447371?location=subcategory&index=2210,,,Oткрытое,4,1,,42 900 €,5,24 м²,"Кишинёв мун., Кишинёв, Чокана, Maria Drăgan, 2/1",103447371,Вторичный,Kотельцовый,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
2,Индивидуальная,Varicom,https://999.md/ru/103321011?location=subcategory&index=2211,,,Oткрытое,8,1,,220 000 €,17,84 м²,"Кишинёв мун., Кишинёв, Рышкановка, Bulevardul Renașterii Naționale, 6",103321011,Новострой,,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Exfactor-grup,https://999.md/ru/103929423?location=subcategory&index=2212,,,Oткрытое,7,1,,185 000 €,17,79 м²,"Кишинёв мун., Кишинёв, Телецентр, Pietrarilor, 10/5",103929423,Новострой,Kирпичный,,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Boiar House,https://999.md/ru/102752970?location=subcategory&index=2213,,,Oткрытое,8,1,,95 900 €,8,77 м²,"Кишинёв мун., Дурлешты, Центр, Nicolae Dimo, 24 A",102752970,Новострой,Kомбинированный,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Белый вариант
1,Индивидуальная,,https://999.md/ru/103543126?location=subcategory&index=2214,,,Oткрытое,5,1,,63 000 €,5,46 м²,"Яловены, Яловены, Центр, Alexandru cel Bun, 38",103543126,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Хрущевка,,https://999.md/ru/103012868?location=subcategory&index=2215,,,Oткрытое,5,1,,81 900 €,5,46 м²,"Кишинёв мун., Кишинёв, Ботаника, Teilor, 9/3",103012868,Вторичный,Панельный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
,,,https://999.md/ru/101739814?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3Mzk4MTQiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiN2MxZjBkMjctOWFiMC00NTI3LTkwODYtNjk0MWJjZTdmMzUxIiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA0LTIwVDE3OjUzOjExLjM2MDkzMTg1MVoifX0.K1CYXbLFKVkOSCHgnqwjrsSEL8agPGtP9X1kwB0OMK0&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2216,,,,4,,,500 €,9,73 м²,"Кишинёв мун., Кишинёв, Чокана, ул. Николае Милеску-Спэтарул, 9/2",101739814,Вторичный,,,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Сдаю помесячно,Частное лицо,3-х комнатная квартира,
Нет,,,https://999.md/ru/103826583?location=subcategory&index=2217,,,,1,1,,119 990 €,1,89 м²,"Кишинёв мун., Кишинёв, Центр, Bucuresti, 15",103826583,Вторичный,,,"3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Косметический pемонт
1,,Estate Invest Company,https://999.md/ru/103178762?location=subcategory&index=2218,,,Oткрытое,2,1,,105 000 €,10,49 м²,"Кишинёв мун., Дурлешты, Окраина, Ialoveni, 136",103178762,Новострой,Kирпичный,,"1-комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
3,Индивидуальная,Nicons,https://999.md/ru/100605760?location=subcategory&index=2219,,,Oткрытое,3,2,,85 500 €,11,77 м²,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/7",100605760,Новострой,Бетон,,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Продам,Агентство,3-х комнатная квартира,Незавершенное cтроительство
1,Индивидуальная,,https://999.md/ru/102295750?location=subcategory&index=2220,,,Oткрытое,8,1,,121 000 €,11,64 м²,"Кишинёв мун., Кишинёв, Буюканы, Alba Iulia, 87",102295750,Новострой,Kотельцовый,,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103971638?location=subcategory&index=2221,,,Oткрытое,4,2,,114 900 €,10,66 м²,"Кишинёв мун., Кишинёв, Чокана, Milescu Spataru, 57A",103971638,Новострой,Kирпичный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Незавершенное cтроительство
2,Индивидуальная,Exfactor-grup,https://999.md/ru/103755363?location=subcategory&index=2222,,,,4,2,,126 900 €,10,70 м²,"Кишинёв мун., Кишинёв, Чокана, Nicolae Milescu Spătarul, 57/A",103755363,Новострой,Kомбинированный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Белый вариант
1,Хрущевка,,https://999.md/ru/103805892?location=subcategory&index=2223,,,Oткрытое,4,1,,83 000 €,4,45 м²,"Кишинёв мун., Кишинёв, Рышкановка, Nicolae Dimo, 18",103805892,Вторичный,Kотельцовый,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,Брж (Брежневка),,https://999.md/ru/103682005?location=subcategory&index=2224,,,Oткрытое,4,1,,72 900 €,5,36 м²,"Кишинёв мун., Кишинёв, Рышкановка, Florilor, 16/1",103682005,Вторичный,Kотельцовый,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103623138?location=subcategory&index=2225,,,Oткрытое,1,1,,85 700 €,16,54 м²,"Кишинёв мун., Кишинёв, Ботаника, Burebista, 114/2",103623138,Новострой,Kомбинированный,,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Eвроремонт
Нет,Индивидуальная,,https://999.md/ru/103207727?location=subcategory&index=2226,,,Oткрытое,2,2,,119 900 €,6,61 м²,"Кишинёв мун., Дурлешты, Окраина, Cartusa, 97",103207727,Новострой,Kотельцовый,,"2-х комнатная квартира,  Окраина,  Дурлешты,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,Sky House,https://999.md/ru/101913783?location=subcategory&index=2227,,,Oткрытое,10,1,,159 900 €,10,76 м²,"Кишинёв мун., Кишинёв, Ботаника, Grenoble, 120/8",101913783,Новострой,Kомбинированный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,,,https://999.md/ru/103749006?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3NzY3MTExOTEsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDM3NDkwMDYiLCJpIjoiODkuMTQ5LjkzLjEzOSIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNmJlOWZmY2UtODhjNC00MjU4LTg2YTYtMDA0ZmFiOGM0OGQ3IiwiZSI6Ijg5LjE0OS45My4xMzkiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNC0yMFQxNzo1MzoxMS4zNjA5ODI0MThaIn19.zQiv6hymPP9QspnvdN685jP3un0nedTGv4We5m458QY&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=2228,Квартира с ливингом,,Oткрытое,10,2,,192 000 €,11,130 м²,"Кишинёв мун., Кишинёв, Ботаника, ул. Гренобле, 128/1",103749006,Новострой,,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Индивидуальная,,https://999.md/ru/103291771?location=subcategory&index=2229,,,Oткрытое,2,1,,81 000 €,9,49 м²,"Кишинёв мун., Кишинёв, Рышкановка, Tudor Vladimirescu, 1\8",103291771,Новострой,Kирпичный,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Продам,Агентство,1-комнатная квартира,Незавершенное cтроительство
1,Индивидуальная,Sky House,https://999.md/ru/103804403?location=subcategory&index=2230,,,Oткрытое,9,1,,169 900 €,10,77 м²,"Кишинёв мун., Кишинёв, Рышкановка, Andrei Doga, 26\D",103804403,Новострой,Kомбинированный,,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Индивидуальный дизайн
2,Индивидуальная,,https://999.md/ru/104008911?location=subcategory&index=2231,,,Oткрытое,13,2,,215 900 €,13,126 м²,"Кишинёв мун., Кишинёв, Старая Почта, Iazului, 38",104008911,Новострой,Kирпичный,,"2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",,Агентство,2-х комнатная квартира,Белый вариант
1,Индивидуальная,Estate Invest Company,https://999.md/ru/100619555?location=subcategory&index=2232,,,Oткрытое,5,2,,97 440 €,6,67 м²,"Кишинёв мун., Думбрава, Окраина, Durlesti, 11",100619555,Новострой,Kирпичный,,"2-х комнатная квартира,  Окраина,  Думбрава,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Незавершенное cтроительство
1,Индивидуальная,Braus Imobiliare,https://999.md/ru/103533738?location=subcategory&index=2233,,,,12,2,,162 900 €,22,70 м²,"Кишинёв мун., Кишинёв, Чокана, Mircea cel batran, 15",103533738,Новострой,Kирпичный,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
1,Хрущевка,,https://999.md/ru/103893412?location=subcategory&index=2234,,,Oткрытое,5,1,,89 900 €,5,49 м²,"Кишинёв мун., Кишинёв, Ботаника, Hristo Botev, 21",103893412,Вторичный,Панельный,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Продам,Агентство,2-х комнатная квартира,Eвроремонт
