Площадь кухни,Общая площадь,Автор объявления,Жилой фонд,Жилая площадь,Высота потолков,link,Этаж,Количество комнат,id,Санузел,Балкон / лоджия,Тип,Ливинг,Количество этажей,title,Застройщик,Планировка,Состояние квартиры,Адрес,Парковочное место,price,Тип здания
,72 м²,Застройщик,Новострой,,290 см,https://999.md/ru/101794818?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTcwOTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDE3OTQ4MTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImNkMjVlNDlkLTBiNDgtNDEzZi05YWIwLWFjZTRhY2Q1ZmQ3OSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InR1cmJvIiwidCI6IjIwMjYtMDYtMTRUMTY6MTE6MzguNzk2NzAwNjg2WiJ9fQ.cWwMmDg-y5gNY3jizoFgbdUk6cAJ_3cRH7hfKMxT2gU&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=138&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,101794818,,,Продам,Квартира с ливингом,9,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",Solomon Construct Imobil,,Незавершенное cтроительство,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,76 965 €,
,55 м²,Застройщик,Вторичный,,,https://999.md/ru/104563750?location=subcategory&index=139&cardCategoryId=270&cardSubcategoryId=1404,9,2-х комнатная квартира,104563750,2,2,Продам,,9,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,Варц (Варницкая),Косметический pемонт,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 27/2",Oткрытое,74 900 €,Панельный
,46 м²,Застройщик,Новострой,46 м²,,https://999.md/ru/104567374?location=subcategory&index=140&cardCategoryId=270&cardSubcategoryId=1404,6,1-комнатная квартира,104567374,,,Продам,,9,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Inamstro,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 7a",,105 800 €,Mонолитный
,62 м²,Агентство,Новострой,,,https://999.md/ru/104563586?location=subcategory&index=141&cardCategoryId=270&cardSubcategoryId=1404,5,1-комнатная квартира,104563586,,,Продам,Квартира с ливингом,10,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Буюканы, bd. Alba-Iulia, 89",,118 500 €,
,40 м²,Частное лицо,Вторичный,40 м²,,https://999.md/ru/104563214?location=subcategory&index=142&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,104563214,1,,Продам,Квартира без ливинга,3,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев",,Брж (Брежневка),Без ремонта,"Оргеев, Оргеев, Центр, str. Unirii, 144",,45 000 €,Kотельцовый
,96 м²,Частное лицо,Новострой,,,https://999.md/ru/104328930?location=subcategory&index=143&cardCategoryId=270&cardSubcategoryId=1404,Пентхаус,2-х комнатная квартира,104328930,2,1,Продам,Квартира с ливингом,8,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Индивидуальный дизайн,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24",Подземная,179 900 €,
,105 м²,Застройщик,Новострой,,,https://999.md/ru/104569422?location=subcategory&index=144&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,104569422,,1,Продам,Квартира с ливингом,8,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Центр, str. Alessandro Bernardazzi, 79",,569 000 €,
,100 м²,Застройщик,Новострой,100 м²,,https://999.md/ru/104566925?location=subcategory&index=145&cardCategoryId=270&cardSubcategoryId=1404,8,3-х комнатная квартира,104566925,2,2,Продам,,16,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",Inamstro,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 11",,160 000 €,Mонолитный
,109 м²,Агентство,Новострой,,,https://999.md/ru/103885314?location=subcategory&index=146&cardCategoryId=270&cardSubcategoryId=1404,8,3-х комнатная квартира,103885314,1,1,Продам,,8,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Дурлешты, Центр, str. Regina Elisabeta, *",Подземная,117 000 €,
,75 м²,Агентство,Новострой,,,https://999.md/ru/88742653?location=subcategory&index=147&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,88742653,1,,Продам,Квартира с ливингом,14,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Inamstro,Индивидуальная,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Calea Ieșilor, 6",Подземная,236 900 €,Kирпичный
,45 м²,Застройщик,Новострой,44 м²,270 см,https://999.md/ru/102029944?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTcwOTgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDIwMjk5NDQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcm8iLCJsIjoiNGM0NTRhYWQtMjE0OC00ZTMwLWEzYjQtZDU4YjFkYTRhNTliIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoidHVyYm8iLCJ0IjoiMjAyNi0wNi0xNFQxNjoxMTozOC43OTY4MTQxMjhaIn19.rWRfo9wM_UlTfPQDnM_4u3KF1arh-T_HsHz3cQ6_cTM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=148&cardCategoryId=270&cardSubcategoryId=1404,8,Комната,102029944,1,1,Продам,Квартира с ливингом,10,"Комната,  Буюканы,  Кишинёв,  Кишинёв мун.",Rodaris Pro,Индивидуальная,Белый вариант,"Кишинёв мун., Кишинёв, Буюканы, str. Tudor Vladimirescu, 19",Подземная,74 250 €,Ячеистый Бетон
,70 м²,Агентство,Новострой,,,https://999.md/ru/104481254?location=subcategory&index=149&cardCategoryId=270&cardSubcategoryId=1404,9,2-х комнатная квартира,104481254,1,,Продам,Квартира с ливингом,10,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, str. Burebista, 25",,169 900 €,
,70 м²,Агентство,Новострой,,,https://999.md/ru/104536488?location=subcategory&index=150&cardCategoryId=270&cardSubcategoryId=1404,4,2-х комнатная квартира,104536488,2,Нет,Продам,,9,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Grigore Alexandrescu, **",Подземная,349 900 €,
,55 м²,Частное лицо,Вторичный,,,https://999.md/ru/104231735?location=subcategory&index=151&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104231735,,,,,5,"2-х комнатная квартира,  Центр,  Оргеев,  Оргеев",,,,"Оргеев, Оргеев, Центр, str. Iona Iachir, 13",,65 000 €,
,68 м²,Агентство,Новострой,,,https://999.md/ru/103886789?location=subcategory&index=152&cardCategoryId=270&cardSubcategoryId=1404,7,2-х комнатная квартира,103886789,1,1,Продам,,12,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Дурлешты, Центр, Str. Regina Elisabeta, **",Подземная,68 110 €,
,50 м²,Агентство,Новострой,,,https://999.md/ru/104253907?location=subcategory&index=153&cardCategoryId=270&cardSubcategoryId=1404,6,1-комнатная квартира,104253907,,1,Продам,Квартира с ливингом,9,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Lagmar Impex,,Белый вариант,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 7",,74 325 €,
,56 м²,Застройщик,Новострой,,,https://999.md/ru/104536165?location=subcategory&index=154&cardCategoryId=270&cardSubcategoryId=1404,6,2-х комнатная квартира,104536165,,1,Продам,Квартира с ливингом,7,"2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Ставчены, Центр, str. Pacii, *",Подземная,73 060 €,Kирпичный
,79 м²,Агентство,Новострой,,,https://999.md/ru/104526643?location=subcategory&index=155&cardCategoryId=270&cardSubcategoryId=1404,9,2-х комнатная квартира,104526643,,,Продам,Квартира с ливингом,12,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Exfactor-grup,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 17",,189 900 €,
,48 м²,Агентство,Новострой,,,https://999.md/ru/104468384?location=subcategory&index=156&cardCategoryId=270&cardSubcategoryId=1404,6,1-комнатная квартира,104468384,,,Продам,Квартира с ливингом,20,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 15",,122 800 €,
,91 м²,Агентство,Новострой,,,https://999.md/ru/103967046?location=subcategory&index=157&cardCategoryId=270&cardSubcategoryId=1404,1,3-х комнатная квартира,103967046,,,Продам,Квартира с ливингом,14,"3-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Exfactor-grup,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/A",,229 000 €,
,67 м²,Агентство,Новострой,,,https://999.md/ru/103956272?location=subcategory&index=158&cardCategoryId=270&cardSubcategoryId=1404,10,2-х комнатная квартира,103956272,,,Продам,Квартира с ливингом,12,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",Exfactor-grup,,Eвроремонт,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/A",,199 900 €,
,86 м²,Агентство,Новострой,,,https://999.md/ru/103954971?location=subcategory&index=159&cardCategoryId=270&cardSubcategoryId=1404,1,3-х комнатная квартира,103954971,,,Продам,Квартира с ливингом,10,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",Exfactor-grup,,Eвроремонт,"Кишинёв мун., Кишинёв, Буюканы, str. Ion Buzdugan, 11",,179 000 €,
,64 м²,Застройщик,Новострой,,,https://999.md/ru/101878901?location=subcategory&index=160&cardCategoryId=270&cardSubcategoryId=1404,6,2-х комнатная квартира,101878901,,,Продам,Квартира с ливингом,10,"2-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",Solomon Construct Imobil,,,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,70 400 €,Бетон
,74 м²,Застройщик,Новострой,,,https://999.md/ru/87750190?location=subcategory&index=161&cardCategoryId=270&cardSubcategoryId=1404,1,3-х комнатная квартира,87750190,1,1,Продам,Квартира с ливингом,5,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",A-casa,,Белый вариант,"Кишинёв мун., Кишинёв, Буюканы, str. Gheorghe Codreanu, 77",Подземная,105 820 €,Mонолитный
,107 м²,Агентство,Новострой,,,https://999.md/ru/100759483?location=subcategory&index=162&cardCategoryId=270&cardSubcategoryId=1404,9,3-х комнатная квартира,100759483,2,1,Продам,Квартира с ливингом,10,"3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Рышкановка, str. Tudor Vladimirescu, 1/8",Oткрытое,175 500 €,
