Площадь кухни,Общая площадь,Автор объявления,Жилой фонд,Жилая площадь,Высота потолков,link,Этаж,Количество комнат,id,Санузел,Балкон / лоджия,Тип,Количество этажей,Ливинг,title,Застройщик,Планировка,Состояние квартиры,Адрес,Парковочное место,price,Тип здания
,46 м²,Застройщик,Новострой,46 м²,,https://999.md/ru/104567374?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTY5MTcsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1NjczNzQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6IjU0YzM2M2ZhLTk0MDgtNDc1OS04NjY1LTc4NDNhMjNiMTMwYSIsImUiOiI4OS4xNDkuOTEuMTYyIiwiZyI6InBsdXMiLCJ0IjoiMjAyNi0wNi0xNFQxNjowODozNy41MTMxMjcyOTJaIn19.P668oh0b2U074l1m_AHtCY_xPfMEgPFZpwRRWqYkQRo&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=60&cardCategoryId=270&cardSubcategoryId=1404,6,1-комнатная квартира,104567374,,,Продам,9,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",Inamstro,Индивидуальная,Незавершенное cтроительство,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 7a",,105 800 €,Mонолитный
,53 м²,Агентство,Вторичный,,,https://999.md/ru/103679077?location=subcategory&index=61&cardCategoryId=270&cardSubcategoryId=1404,1,2-х комнатная квартира,103679077,2,1,Продам,9,Квартира без ливинга,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,143,Косметический pемонт,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Batran, 22/1",Oткрытое,89 500 €,
,100 м²,Агентство,Новострой,,,https://999.md/ru/104594490?location=subcategory&index=62&cardCategoryId=270&cardSubcategoryId=1404,10,2-х комнатная квартира,104594490,2,2,Продам,12,Квартира с ливингом,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, bd. Ştefan cel Mare şi Sfânt, 141",,360 000 €,
,51 м²,Застройщик,Новострой,,290 см,https://999.md/ru/87676914?location=subcategory&index=63&cardCategoryId=270&cardSubcategoryId=1404,1,1-комнатная квартира,87676914,1,1,Продам,9,Квартира с ливингом,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",Lagmar Impex,Индивидуальная,Белый вариант,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Moșilor, 4",Подземная,77 900 €,Kомбинированный
,28 м²,Частное лицо,Вторичный,,,https://999.md/ru/103889848?location=subcategory&index=64&cardCategoryId=270&cardSubcategoryId=1404,1,1-комнатная квартира,103889848,1,,Продам,1,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Косметический pемонт,"Кишинёв мун., Кишинёв, Центр, str. Bogdan Petriceicu Hașdeu, 26",,44 500 €,
,28 м²,Частное лицо,Вторичный,,,https://999.md/ru/104616166?location=subcategory&index=65&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104616166,,,,5,,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Чокана, str. Maria Drăgan, 18/1",,46 900 €,
,77 м²,Агентство,Новострой,,,https://999.md/ru/103366549?location=subcategory&index=66&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,103366549,,,Продам,6,Квартира с ливингом,"2-х комнатная квартира,  Окраина,  Оргеев,  Оргеев",,,Eвроремонт,"Оргеев, Оргеев, Окраина, str. Nistreană, 2",,135 000 €,
,65 м²,Агентство,Новострой,,,https://999.md/ru/102962314?location=subcategory&index=67&cardCategoryId=270&cardSubcategoryId=1404,2,3-х комнатная квартира,102962314,1,1,Продам,9,,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, Str. Băcioii Noi, 14",,117 000 €,
11 м²,63 м²,Застройщик,Новострой,,275 см,https://999.md/ru/100621297?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NTY5MTcsIkMiOnsiciI6MSwiYiI6MTIwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDA2MjEyOTciLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTY6MDg6MzcuNTEzMjM5MDI2WiJ9fQ.n3BDhJuKIawjzAFhYDp0EYlVaOlsEHY4mGls_-XO4XM&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=68&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,100621297,2,1,Продам,5,Квартира без ливинга,"2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",Astercon,,Белый вариант,"Кишинёв мун., Ставчены, Центр, Grătiești , 10",Гараж,97 790 €,Ячеистый Бетон
,58 м²,Агентство,Новострой,,,https://999.md/ru/104092863?location=subcategory&index=69&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104092863,1,1,,7,Квартира с ливингом,"2-х комнатная квартира,  Окраина,  Яловены,  Яловены",,,Eвроремонт,"Яловены, Яловены, Окраина, str. Moldova, 2/1",,122 000 €,
,65 м²,Агентство,Новострой,,,https://999.md/ru/104300592?location=subcategory&index=70&cardCategoryId=270&cardSubcategoryId=1404,5,2-х комнатная квартира,104300592,1,1,Продам,10,Квартира с ливингом,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",Pamir Construct,,Eвроремонт,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 100/3",Oткрытое,123 000 €,
,31 м²,Агентство,Новострой,,,https://999.md/ru/103958640?location=subcategory&index=71&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,103958640,1,,Продам,9,,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Центр, str. Ialoveni, 98/1",Подземная,79 500 €,
,47 м²,Агентство,Новострой,,,https://999.md/ru/103221669?location=subcategory&index=72&cardCategoryId=270&cardSubcategoryId=1404,10,1-комнатная квартира,103221669,,1,Продам,10,Квартира с ливингом,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 43/B",Подземная,118 900 €,
,46 м²,Агентство,Новострой,,,https://999.md/ru/104201180?location=subcategory&index=73&cardCategoryId=270&cardSubcategoryId=1404,4,1-комнатная квартира,104201180,,,,8,,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,,"Кишинёв мун., Дурлешты, Центр, Regina Elisabeta, 1",,73 000 €,
,38 м²,Частное лицо,Вторичный,28 м²,,https://999.md/ru/104321664?location=subcategory&index=74&cardCategoryId=270&cardSubcategoryId=1404,4,1-комнатная квартира,104321664,1,1,Продам,5,,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Рышкановка, str. Miron Costin, 11/2",,59 900 €,
,70 м²,Застройщик,Новострой,,,https://999.md/ru/103242695?location=subcategory&index=75&cardCategoryId=270&cardSubcategoryId=1404,8,3-х комнатная квартира,103242695,2,1,Продам,9,Квартира с ливингом,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, ..",Подземная,103 005 €,
,57 м²,Застройщик,Новострой,,,https://999.md/ru/103242930?location=subcategory&index=76&cardCategoryId=270&cardSubcategoryId=1404,1,2-х комнатная квартира,103242930,1,1,,9,,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, ..",Подземная,62 315 €,
,36 м²,Агентство,Вторичный,,,https://999.md/ru/104147495?location=subcategory&index=77&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,104147495,,,Продам,9,,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, ---",,65 900 €,
,64 м²,Агентство,Новострой,,,https://999.md/ru/102517625?location=subcategory&index=78&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,102517625,2,,Продам,12,,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 1/2",,118 000 €,
,67 м²,Агентство,Новострой,,,https://999.md/ru/104415839?location=subcategory&index=79&cardCategoryId=270&cardSubcategoryId=1404,2,2-х комнатная квартира,104415839,1,2,Продам,11,Квартира с ливингом,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Кишинёв, Ботаника, Jubiliară, 39/1.",,162 000 €,
,67 м²,Застройщик,Новострой,,,https://999.md/ru/104463372?location=subcategory&index=80&cardCategoryId=270&cardSubcategoryId=1404,3,1-комнатная квартира,104463372,,1,Продам,6,Квартира с ливингом,"1-комнатная квартира,  Центр,  Оргеев,  Оргеев",,,Eвроремонт,"Оргеев, Оргеев, Центр, str. Nistreană, 2",Подземная,97 150 €,
,47 м²,Агентство,Новострой,,,https://999.md/ru/104180264?location=subcategory&index=81&cardCategoryId=270&cardSubcategoryId=1404,7,1-комнатная квартира,104180264,,,Продам,13,,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, ---",,55 930 €,
,76 м²,Застройщик,Новострой,,,https://999.md/ru/101878983?location=subcategory&index=82&cardCategoryId=270&cardSubcategoryId=1404,5,3-х комнатная квартира,101878983,,,Продам,10,Квартира с ливингом,"3-х комнатная квартира,  Дурлешты,  Кишинёв,  Кишинёв мун.",,,,"Кишинёв мун., Дурлешты, Центр, str. Nicolae Dimo, 24a",,83 600 €,
,63 м²,Частное лицо,Вторичный,,270 см,https://999.md/ru/104509798?location=subcategory&index=83&cardCategoryId=270&cardSubcategoryId=1404,1,2-х комнатная квартира,104509798,1,1,Продам,10,Квартира с ливингом,"2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",,,Eвроремонт,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 75/1",,129 990 €,
,47 м²,Агентство,Новострой,,,https://999.md/ru/103933948?location=subcategory&index=84&cardCategoryId=270&cardSubcategoryId=1404,3,2-х комнатная квартира,103933948,1,1,,4,Квартира с ливингом,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",,,Белый вариант,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, -",,71 900 €,
