Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Адрес,Тип,title,Площадь кухни
1,Eвроремонт,1,,,Агентство,104616762,https://999.md/ru/104616762?location=subcategory&index=761&cardCategoryId=270&cardSubcategoryId=1404,,8,15,50 м²,2-х комнатная квартира,Oткрытое,Новострой,,,114 900 €,,"Кишинёв мун., Кишинёв, Рышкановка, str. Matei Basarab, 1/3",Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,,Агентство,103713525,https://999.md/ru/103713525?location=subcategory&index=762&cardCategoryId=270&cardSubcategoryId=1404,,5,9,49 м²,1-комнатная квартира,Oткрытое,Новострой,,,72 600 €,Квартира с ливингом,Расположение,Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,,,,,Застройщик,87039989,https://999.md/ru/87039989?location=subcategory&index=763&cardCategoryId=270&cardSubcategoryId=1404,,3,8,68 м²,2-х комнатная квартира,,Новострой,,,102 000 €,,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 98/1",Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,,Индивидуальная,Агентство,103358825,https://999.md/ru/103358825?location=subcategory&index=764&cardCategoryId=270&cardSubcategoryId=1404,,1,10,42 м²,1-комнатная квартира,,Новострой,,,92 000 €,,"Кишинёв мун., Кишинёв, Буюканы, str. Tudor Vladimirescu, 75/1",Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,2600 см,Гостинка,Частное лицо,104330272,https://999.md/ru/104330272?location=subcategory&index=765&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,22 м²,1-комнатная квартира,Oткрытое,Вторичный,,15 м²,45 500 €,,"Кишинёв мун., Кишинёв, Рышкановка, str. Braniștii, 15",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",5 м²
,Eвроремонт,,,,Агентство,104578061,https://999.md/ru/104578061?location=subcategory&index=766&cardCategoryId=270&cardSubcategoryId=1404,,3,9,50 м²,2-х комнатная квартира,,Вторичный,,,110 000 €,,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 38",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
Нет,Косметический pемонт,2,,143,Агентство,104176302,https://999.md/ru/104176302?location=subcategory&index=767&cardCategoryId=270&cardSubcategoryId=1404,,1,9,34 м²,1-комнатная квартира,Oткрытое,Вторичный,,,59 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 6",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,,2,,,Агентство,102517625,https://999.md/ru/102517625?location=subcategory&index=768&cardCategoryId=270&cardSubcategoryId=1404,,2,12,64 м²,2-х комнатная квартира,,Новострой,,,118 000 €,,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, 1/2",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104135795,https://999.md/ru/104135795?location=subcategory&index=769&cardCategoryId=270&cardSubcategoryId=1404,,3,5,49 м²,2-х комнатная квартира,,Вторичный,,,105 900 €,,"Кишинёв мун., Кишинёв, Ботаника,  Cuza Vodă, 16/2",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,1,,,Частное лицо,104452133,https://999.md/ru/104452133?location=subcategory&index=770&cardCategoryId=270&cardSubcategoryId=1404,,3,5,52 м²,2-х комнатная квартира,Oткрытое,Вторичный,,48 м²,84 800 €,,"Кишинёв мун., Кишинёв, Ботаника, str. Independenței, 9/4",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Сдан в эксплуатацию,1,1 см,Мс (Молд. Серия),Частное лицо,104410274,https://999.md/ru/104410274?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU0NzksIkMiOnsiciI6MSwiYiI6MTQwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ0MTAyNzQiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiODYyOTg5OTQtOTJjZS00OTcwLTk1ZGMtYWIxZDk1YTg0Y2ExIiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoibGl0ZSIsInQiOiIyMDI2LTA2LTE0VDE4OjMxOjE5LjM5OTM2NTU1MVoifX0.LcxHI0cZVhc11CqiW5oQlICNkghlVZ17LNPxnm5KAa0&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=771&cardCategoryId=270&cardSubcategoryId=1404,Блочный,2,9,47 м²,1-комнатная квартира,Oткрытое,Новострой,Nicons,1 м²,470 €,Квартира с ливингом,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 16",Сдаю помесячно,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",1 м²
,Eвроремонт,1,2500 см,Гостинка,Застройщик,104305809,https://999.md/ru/104305809?location=subcategory&index=772&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,23 м²,1-комнатная квартира,Oткрытое,Вторичный,,15 м²,48 900 €,,"Кишинёв мун., Кишинёв, Телецентр, str. Leh Kaczynski, 10/3",Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",5 м²
,Нуждается в ремонте,1,,,Застройщик,104616742,https://999.md/ru/104616742?location=subcategory&index=773&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,7,9,35 м²,1-комнатная квартира,,Вторичный,,35 м²,59 900 €,,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 20",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Индивидуальный дизайн,2,,,Частное лицо,104578888,https://999.md/ru/104578888?location=subcategory&index=774&cardCategoryId=270&cardSubcategoryId=1404,,4,9,93 м²,3-х комнатная квартира,,Новострой,Dansicons,,279 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, bd. Decebal, 99/G",Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104616736,https://999.md/ru/104616736?location=subcategory&index=775&cardCategoryId=270&cardSubcategoryId=1404,,2,9,50 м²,1-комнатная квартира,Oткрытое,Новострой,Exfactor-grup,,120 000 €,,"Кишинёв мун., Кишинёв, Ботаника, str. Valea Crucii, 9/1",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,280 см,,Частное лицо,104182736,https://999.md/ru/104182736?location=subcategory&index=776&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,10,37 м²,1-комнатная квартира,Подземная,Новострой,Poliprim Grup,,41 200 €,Квартира без ливинга,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, 99/6",Продам,"1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,104565155,https://999.md/ru/104565155?location=subcategory&index=777&cardCategoryId=270&cardSubcategoryId=1404,,1,10,60 м²,2-х комнатная квартира,,Новострой,,,115 000 €,,"Кишинёв мун., Кишинёв, Ботаника, str. Așhabad, 127/5",Продам,"2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,2,,,Агентство,104509274,https://999.md/ru/104509274?location=subcategory&index=778&cardCategoryId=270&cardSubcategoryId=1404,Kомбинированный,5,9,28 м²,1-комнатная квартира,,Вторичный,,20 м²,42 900 €,,"Кишинёв мун., Кишинёв, Центр, bd. Decebal, 1",Продам,"1-комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
3,Eвроремонт,2,,102,Агентство,104451658,https://999.md/ru/104451658?location=subcategory&index=779&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,3,5,73 м²,3-х комнатная квартира,,Вторичный,,,115 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Старая Почта, str-la Studenților, 12",Продам,"3-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,,Агентство,104364605,https://999.md/ru/104364605?location=subcategory&index=780&cardCategoryId=270&cardSubcategoryId=1404,,1,9,45 м²,2-х комнатная квартира,,Вторичный,,,74 900 €,,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, 96",Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104193159,https://999.md/ru/104193159?location=subcategory&index=781&cardCategoryId=270&cardSubcategoryId=1404,,16,16,17 м²,1-комнатная квартира,,Вторичный,,,19 900 €,,"Кишинёв мун., Кишинёв, Скулянка, str. Calea Ieșilor, 16/1",Продам,"1-комнатная квартира,  Скулянка,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,280 см,,Застройщик,100908352,https://999.md/ru/100908352?location=subcategory&index=782&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,4,10,49 м²,1-комнатная квартира,Подземная,Новострой,Braus Imobiliare,,68 700 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Телецентр, sos. Hincesti, 140/1",Продам,"1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,275 см,,Агентство,102175844,https://999.md/ru/102175844?location=subcategory&index=783&cardCategoryId=270&cardSubcategoryId=1404,,1,9,51 м²,2-х комнатная квартира,Oткрытое,Вторичный,,30 м²,84 500 €,,"Кишинёв мун., Кишинёв, Телецентр, str. Pietrarilor, 4",Продам,"2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",7 м²
1,Белый вариант,1,,,Агентство,86747132,https://999.md/ru/86747132?location=subcategory&index=784&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,6,9,65 м²,2-х комнатная квартира,Oткрытое,Новострой,,,73 600 €,,Расположение,Продам,"2-х комнатная квартира,  Центр,  Кишинёв мун.",
,Eвроремонт,2,,,Агентство,85910297,https://999.md/ru/85910297?location=subcategory&index=785&cardCategoryId=270&cardSubcategoryId=1404,,10,11,89 м²,2-х комнатная квартира,Oткрытое,Новострой,,,280 000 €,,"Кишинёв мун., Кишинёв, Центр, str. Lev Tolstoi, 24",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
2,Eвроремонт,2,,,Агентство,100444999,https://999.md/ru/100444999?location=subcategory&index=786&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,7,7,85 м²,2-х комнатная квартира,,Вторичный,,,255 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, str. Moara Roșie, 20",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
