Балкон / лоджия,Состояние квартиры,Санузел,Планировка,Высота потолков,Автор объявления,id,link,Тип здания,Этаж,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Адрес,Тип,title,Площадь кухни
,,,,,Агентство,104430426,https://999.md/ru/104430426?location=subcategory&index=996&cardCategoryId=270&cardSubcategoryId=1404,,3,5,185 м²,3-х комнатная квартира,,Новострой,,,420 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Ștefan Neaga, 20A",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104421573,https://999.md/ru/104421573?location=subcategory&index=997&cardCategoryId=270&cardSubcategoryId=1404,,3,12,43 м²,1-комнатная квартира,,Новострой,Lagmar Impex,,127 500 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Рышкановка, str. Cornești, 7",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104410584,https://999.md/ru/104410584?location=subcategory&index=998&cardCategoryId=270&cardSubcategoryId=1404,,8,12,80 м²,2-х комнатная квартира,,Новострой,Eldorado Terra,,167 500 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Чокана, str. Ginta Latină, 12/12",Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104410553,https://999.md/ru/104410553?location=subcategory&index=999&cardCategoryId=270&cardSubcategoryId=1404,,4,14,72 м²,2-х комнатная квартира,,Новострой,Exfactor-grup,,189 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104338399,https://999.md/ru/104338399?location=subcategory&index=1000&cardCategoryId=270&cardSubcategoryId=1404,,6,10,70 м²,2-х комнатная квартира,,Новострой,,,179 500 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Ioana Radu, 27/1",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104257547,https://999.md/ru/104257547?location=subcategory&index=1001&cardCategoryId=270&cardSubcategoryId=1404,,7,13,90 м²,3-х комнатная квартира,,Новострой,Exfactor-grup,,227 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103954905,https://999.md/ru/103954905?location=subcategory&index=1002&cardCategoryId=270&cardSubcategoryId=1404,,12,14,76 м²,2-х комнатная квартира,,Новострой,Lagmar Impex,,257 900 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 17/6",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,Индивидуальная,275 см,Застройщик,104593998,https://999.md/ru/104593998?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU4NDksIkMiOnsiciI6MSwiYiI6MTAwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQ1OTM5OTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiJwcmVtaXVtIiwibCI6ImFlOTQxZTRiLTE4MGUtNGVjYS1hOTE2LTNhZWVhMmNiMzBmMSIsImUiOiI4OS4xNDkuOTEuMTYyIiwidCI6IjIwMjYtMDYtMTRUMTg6Mzc6MjkuMTcyNjAxMjMzWiJ9fQ.fHuRryaKYA0OdeQAZD3mzTfxbvu65-_CpCb5geulyPA&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1003&cardCategoryId=270&cardSubcategoryId=1404,Kотельцовый,1,9,106 м²,3-х комнатная квартира,Гараж,Новострой,Astercon,,154 000 €,,"Кишинёв мун., Дурлешты, Центр, str. Durleşti, 10/A",Продам,"3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",19 м²
,,,,,Агентство,103863806,https://999.md/ru/103863806?location=subcategory&index=1004&cardCategoryId=270&cardSubcategoryId=1404,,6,11,54 м²,2-х комнатная квартира,,Новострой,Inamstro,,147 500 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Ștefan Neaga, 67",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103732834,https://999.md/ru/103732834?location=subcategory&index=1005&cardCategoryId=270&cardSubcategoryId=1404,,11,14,65 м²,2-х комнатная квартира,,Новострой,Lagmar Impex,,126 750 €,,"Кишинёв мун., Кишинёв, Центр, str. Nicolae Testemițanu, 19",Продам,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103682454,https://999.md/ru/103682454?location=subcategory&index=1006&cardCategoryId=270&cardSubcategoryId=1404,,2,12,87 м²,3-х комнатная квартира,,Новострой,Exfactor-grup,,219 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, 28",Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,103681247,https://999.md/ru/103681247?location=subcategory&index=1007&cardCategoryId=270&cardSubcategoryId=1404,,3,7,64 м²,2-х комнатная квартира,,Новострой,Maxmod Imobil,,167 500 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Буюканы, str. Vissarion Belinski, 71",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,104446005,https://999.md/ru/104446005?location=subcategory&index=1008&cardCategoryId=270&cardSubcategoryId=1404,,5,16,46 м²,1-комнатная квартира,,Новострой,,,71 300 €,,"Кишинёв мун., Кишинёв, Рышкановка, str. Calea Mosilor, 4",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,1,,,Частное лицо,86045767,https://999.md/ru/86045767?location=subcategory&index=1009&cardCategoryId=270&cardSubcategoryId=1404,Блочный,4,5,13 м²,1-комнатная квартира,,Вторичный,,13 м²,21 000 €,,Расположение,Продам,"1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,,,Мс (Молд. Серия),,Частное лицо,104616564,https://999.md/ru/104616564?location=subcategory&index=1010&cardCategoryId=270&cardSubcategoryId=1404,,8,10,49 м²,2-х комнатная квартира,,Вторичный,,,84 000 €,,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, 1",Продам,"2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,,,,Застройщик,104536224,https://999.md/ru/104536224?location=subcategory&index=1011&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,2,6,63 м²,2-х комнатная квартира,Подземная,Новострой,,,82 160 €,Квартира с ливингом,"Кишинёв мун., Ставчены, Центр, str. Pacii, *",Продам,"2-х комнатная квартира,  Центр,  Ставчены,  Кишинёв мун.",
,Белый вариант,,Индивидуальная,,Агентство,103945300,https://999.md/ru/103945300?location=subcategory&index=1012&cardCategoryId=270&cardSubcategoryId=1404,,6,6,110 м²,3-х комнатная квартира,,Новострой,,,169 900 €,,Расположение,Продам,"3-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Белый вариант,2,,,Агентство,104616543,https://999.md/ru/104616543?location=subcategory&index=1013&cardCategoryId=270&cardSubcategoryId=1404,,6,10,80 м²,3-х комнатная квартира,Oткрытое,Новострой,,80 м²,115 000 €,Квартира с ливингом,"Кишинёв мун., Кишинёв, Ботаника, str. Bacioii Noi, 14/5",Продам,"3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104534598,https://999.md/ru/104534598?location=subcategory&index=1014&cardCategoryId=270&cardSubcategoryId=1404,,5,5,40 м²,1-комнатная квартира,,Вторичный,,,74 000 €,,"Кишинёв мун., Кишинёв, Ботаника, bd. Dacia, 6",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,,Малосемейная,,Агентство,103595624,https://999.md/ru/103595624?location=subcategory&index=1015&cardCategoryId=270&cardSubcategoryId=1404,,2,5,26 м²,1-комнатная квартира,,Вторичный,,,44 500 €,,"Кишинёв мун., Кишинёв, Ботаника, Independenței , 10/1",Продам,"1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,,,,Застройщик,104499913,https://999.md/ru/104499913?location=subcategory&index=1016&cardCategoryId=270&cardSubcategoryId=1404,,3,11,43 м²,1-комнатная квартира,Oткрытое,Новострой,Lagmar Impex,,128 000 €,Квартира без ливинга,"Кишинёв мун., Кишинёв, Рышкановка, ул. Богдан Воевод, 2B",Продам,"1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,Индивидуальная,,Агентство,103733072,https://999.md/ru/103733072?location=subcategory&index=1017&cardCategoryId=270&cardSubcategoryId=1404,Kирпичный,9,9,74 м²,2-х комнатная квартира,,Новострой,,,204 900 €,,"Кишинёв мун., Кишинёв, Буюканы, Ion Buzdugan, 11",Продам,"2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
,Нуждается в ремонте,,,,Частное лицо,104563322,https://999.md/ru/104563322?location=subcategory&index=1018&cardCategoryId=270&cardSubcategoryId=1404,,4,5,45 м²,2-х комнатная квартира,,Вторичный,,,84 000 €,,"Кишинёв мун., Кишинёв, Рышкановка, bd. Moscova, 1",Продам,"2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104606519,https://999.md/ru/104606519?location=subcategory&index=1019&cardCategoryId=270&cardSubcategoryId=1404,,7,13,39 м²,1-комнатная квартира,,Новострой,,,95 000 €,Квартира без ливинга,"Кишинёв мун., Кишинёв, Чокана, str. Mihail Sadoveanu, 24/6",Продам,"1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,290 см,Застройщик,103814267,https://999.md/ru/103814267?location=subcategory&index=1020&cardCategoryId=270&cardSubcategoryId=1404,,6,7,91 м²,3-х комнатная квартира,Подземная,Новострой,,,121 942 €,Квартира с ливингом,"Яловены, Яловены, Центр, str. Alexandru cel Bun, 13/N",Продам,"3-х комнатная квартира,  Центр,  Яловены,  Яловены",16 м²
