Балкон / лоджия,Состояние квартиры,Санузел,Высота потолков,Планировка,Автор объявления,id,link,Этаж,Тип здания,Количество этажей,Общая площадь,Количество комнат,Парковочное место,Жилой фонд,Застройщик,Жилая площадь,price,Ливинг,Тип,Адрес,title,Площадь кухни
2,Eвроремонт,1,,,Агентство,104415839,https://999.md/ru/104415839?location=subcategory&index=1074&cardCategoryId=270&cardSubcategoryId=1404,2,,11,67 м²,2-х комнатная квартира,,Новострой,,,162 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, Jubiliară, 39/1.","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,,,,Застройщик,104463372,https://999.md/ru/104463372?location=subcategory&index=1075&cardCategoryId=270&cardSubcategoryId=1404,3,,6,67 м²,1-комнатная квартира,Подземная,Новострой,,,97 150 €,Квартира с ливингом,Продам,"Оргеев, Оргеев, Центр, str. Nistreană, 2","1-комнатная квартира,  Центр,  Оргеев,  Оргеев",
,,,,,Агентство,104180264,https://999.md/ru/104180264?location=subcategory&index=1076&cardCategoryId=270&cardSubcategoryId=1404,7,,13,47 м²,1-комнатная квартира,,Новострой,,,55 930 €,,Продам,"Кишинёв мун., Кишинёв, Телецентр, str. Ialoveni, ---","1-комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,270 см,,Частное лицо,104509798,https://999.md/ru/104509798?location=subcategory&index=1077&cardCategoryId=270&cardSubcategoryId=1404,1,,10,63 м²,2-х комнатная квартира,,Вторичный,,,129 990 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Tudor Vladimirescu, 75/1","2-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,103933948,https://999.md/ru/103933948?location=subcategory&index=1078&cardCategoryId=270&cardSubcategoryId=1404,3,,4,47 м²,2-х комнатная квартира,,Новострой,,,71 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Телецентр, șos. Hâncești, -","2-х комнатная квартира,  Телецентр,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,,,,Агентство,104122261,https://999.md/ru/104122261?location=subcategory&index=1079&cardCategoryId=270&cardSubcategoryId=1404,13,,13,40 м²,1-комнатная квартира,Oткрытое,Новострой,Loid,,99 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, bd. Cuza Vodă, -","1-комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,2,,,Агентство,104484688,https://999.md/ru/104484688?location=subcategory&index=1080&cardCategoryId=270&cardSubcategoryId=1404,10,,10,100 м²,2-х комнатная квартира,,Новострой,,,199 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 45","2-х комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104118101,https://999.md/ru/104118101?location=subcategory&index=1081&cardCategoryId=270&cardSubcategoryId=1404,2,,7,58 м²,2-х комнатная квартира,,Новострой,,,122 000 €,Квартира с ливингом,Продам,Расположение,"2-х комнатная квартира,  Центр,  Яловены,  Яловены",
1,Белый вариант,1,,,Агентство,104536493,https://999.md/ru/104536493?location=subcategory&index=1082&cardCategoryId=270&cardSubcategoryId=1404,8,Kомбинированный,9,122 м²,3-х комнатная квартира,,Новострой,,,135 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, -","3-х комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
1,Eвроремонт,1,,,Частное лицо,104255958,https://999.md/ru/104255958?clickToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3ODE0NjU5NjgsIkMiOnsiciI6MSwiYiI6MTgwLCJjIjoyNzAsInoiOjE0MDQsImEiOiIxMDQyNTU5NTgiLCJpIjoiODkuMTQ5LjkxLjE2MiIsInMiOiJkZXNrdG9wX3JlZGVzaWduIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiY2Q0Zjg3MjctYjYwZS00Y2U1LWE5YWUtNjI4NGY4ODNhMGY5IiwiZSI6Ijg5LjE0OS45MS4xNjIiLCJnIjoicGx1cyIsInQiOiIyMDI2LTA2LTE0VDE4OjM5OjI4LjU0NzA4MTAwMVoifX0.mT3DqAw9GU4KxZxsNSEXKu8RioFbnkt1BNjiiXw0wD0&placement=ADS_LIST_INLINE_REDESIGN&adType=booster&location=subcategory&index=1083&cardCategoryId=270&cardSubcategoryId=1404,9,,13,57 м²,2-х комнатная квартира,Oткрытое,Новострой,Ecovzor,,146 900 €,,Продам,"Кишинёв мун., Кишинёв, Старая Почта, str. Iazului, 38","2-х комнатная квартира,  Старая Почта,  Кишинёв,  Кишинёв мун.",
,Eвроремонт,1,,,Агентство,103891461,https://999.md/ru/103891461?location=subcategory&index=1084&cardCategoryId=270&cardSubcategoryId=1404,3,,5,27 м²,1-комнатная квартира,,Вторичный,,,57 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Gheorghe Madan, --","1-комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,1,,,Агентство,104535813,https://999.md/ru/104535813?location=subcategory&index=1085&cardCategoryId=270&cardSubcategoryId=1404,6,Kомбинированный,9,45 м²,1-комнатная квартира,,Новострой,,,59 000 €,,Продам,"Кишинёв мун., Дурлешты, Центр, str. Cartuşa, *","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
,Eвроремонт,,,,Агентство,104616294,https://999.md/ru/104616294?location=subcategory&index=1086&cardCategoryId=270&cardSubcategoryId=1404,2,Kирпичный,10,73 м²,2-х комнатная квартира,,Новострой,Inamstro,73 м²,237 000 €,Квартира с ливингом,Продам,Расположение,"2-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
,Белый вариант,3,,,Агентство,101821604,https://999.md/ru/101821604?location=subcategory&index=1087&cardCategoryId=270&cardSubcategoryId=1404,16,,16,180 м²,4-x комнатная квартира,,Новострой,,,252 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, bd. Renasterii Nationale, 0","4-x комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
1,Белый вариант,2,,,Агентство,100769446,https://999.md/ru/100769446?location=subcategory&index=1088&cardCategoryId=270&cardSubcategoryId=1404,1,,15,87 м²,3-х комнатная квартира,Подземная,Новострой,,87 м²,134 500 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Matei Basarab, 1/1","3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,Белый вариант,1,,,Агентство,100931955,https://999.md/ru/100931955?location=subcategory&index=1089&cardCategoryId=270&cardSubcategoryId=1404,5,,12,50 м²,1-комнатная квартира,,Новострой,,,109 000 €,,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Vasile Lupu, -","1-комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
Нет,Eвроремонт,1,,,Агентство,103571170,https://999.md/ru/103571170?location=subcategory&index=1090&cardCategoryId=270&cardSubcategoryId=1404,1,,12,43 м²,1-комнатная квартира,Подземная,Новострой,Estate Invest Company,,79 500 €,Квартира без ливинга,Продам,"Кишинёв мун., Дурлешты, Центр, str. Ialoveni, 102","1-комнатная квартира,  Центр,  Дурлешты,  Кишинёв мун.",
Нет,Eвроремонт,1,,,Агентство,101361743,https://999.md/ru/101361743?location=subcategory&index=1091&cardCategoryId=270&cardSubcategoryId=1404,8,,10,37 м²,1-комнатная квартира,Oткрытое,Новострой,,,93 000 €,Квартира без ливинга,Продам,"Кишинёв мун., Кишинёв, Чокана, str. Nicolae Milescu Spătarul, -","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Агентство,104253132,https://999.md/ru/104253132?location=subcategory&index=1092&cardCategoryId=270&cardSubcategoryId=1404,3,Kотельцовый,5,45 м²,2-х комнатная квартира,Oткрытое,Вторичный,,,91 900 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Nikolai Zelinski, 35","2-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,1,,,Частное лицо,101796915,https://999.md/ru/101796915?location=subcategory&index=1093&cardCategoryId=270&cardSubcategoryId=1404,3,Mонолитный,12,70 м²,3-х комнатная квартира,,Новострой,Lagmar Impex,68 м²,150 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Florării, 4","3-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",15 м²
1,Косметический pемонт,1,,,Агентство,104277811,https://999.md/ru/104277811?location=subcategory&index=1094&cardCategoryId=270&cardSubcategoryId=1404,16,Mонолитный,20,76 м²,3-х комнатная квартира,,Вторичный,,,95 000 €,,Продам,"Кишинёв мун., Кишинёв, Центр, str. Romană, *","3-х комнатная квартира,  Центр,  Кишинёв,  Кишинёв мун.",
1,,,,,Агентство,104309060,https://999.md/ru/104309060?location=subcategory&index=1095&cardCategoryId=270&cardSubcategoryId=1404,7,Панельный,9,46 м²,2-х комнатная квартира,,Вторичный,,,85 000 €,,Продам,"Кишинёв мун., Кишинёв, Рышкановка, str. Albișoara, *","2-х комнатная квартира,  Рышкановка,  Кишинёв,  Кишинёв мун.",
,,,,,Агентство,104551671,https://999.md/ru/104551671?location=subcategory&index=1096&cardCategoryId=270&cardSubcategoryId=1404,9,,11,51 м²,1-комнатная квартира,,Новострой,Exfactor-grup,,109 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Чокана, bd. Mircea cel Bătrân, 41/C","1-комнатная квартира,  Чокана,  Кишинёв,  Кишинёв мун.",
,,,,,Застройщик,85456731,https://999.md/ru/85456731?location=subcategory&index=1097&cardCategoryId=270&cardSubcategoryId=1404,5,,12,87 м²,3-х комнатная квартира,,Новострой,Solomon Construct Imobil,,130 500 €,,Продам,"Кишинёв мун., Кишинёв, Ботаника, str. Grenoble, 134/2","3-х комнатная квартира,  Ботаника,  Кишинёв,  Кишинёв мун.",
1,Eвроремонт,2,,Индивидуальная,,102968194,https://999.md/ru/102968194?location=subcategory&index=1098&cardCategoryId=270&cardSubcategoryId=1404,6,Kомбинированный,12,72 м²,2-х комнатная квартира,Oткрытое,Новострой,Dansicons,,165 000 €,Квартира с ливингом,Продам,"Кишинёв мун., Кишинёв, Буюканы, str. Nicolae Costin, 62","2-х комнатная квартира,  Буюканы,  Кишинёв,  Кишинёв мун.",
