rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
1-комнатная квартира,Гараж,Индивидуальная,63800.0,1,1.0,Квартира с ливингом,Белый вариант,Застройщик,Ячеистый Бетон,Новострой,Astercon,6,2.0,Кишинёв мун.,Дурлешты,Центр,Durlești 8,44
1-комнатная квартира,,,96500.0,,,Квартира с ливингом,,Агентство,,Новострой,,7,3.0,Кишинёв мун.,Кишинёв,Центр,str. Miorita 12,35
2-х комнатная квартира,Oткрытое,,145000.0,1,1.0,,Белый вариант,Агентство,Kомбинированный,Новострой,,17,15.0,Кишинёв мун.,Кишинёв,Чокана,Ginta Latina 8,89
2-х комнатная квартира,Oткрытое,Индивидуальная,98500.0,2,2.0,,Незавершенное cтроительство,Агентство,Kомбинированный,Новострой,Kirsan,10,3.0,Кишинёв мун.,Кишинёв,Ботаника,Traian 21/4,65
1-комнатная квартира,,Индивидуальная,60000.0,Нет,1.0,,Косметический pемонт,Агентство,Панельный,Вторичный,,16,15.0,Кишинёв мун.,Кишинёв,Чокана,Ginta Latină 15/1,40
Комната,Oткрытое,,52000.0,Нет,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,Alba-Iulia 8/1,27
Комната,Oткрытое,,29900.0,1,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,Salcâmilor 22/3,20
2-х комнатная квартира,Oткрытое,Индивидуальная,123500.0,2,1.0,,Незавершенное cтроительство,Агентство,Kирпичный,Новострой,,24,8.0,Кишинёв мун.,Кишинёв,Рышкановка,renasterii nationale/spartacus 36,65
3-х комнатная квартира,Oткрытое,Мс (Молд. Серия),89900.0,2,2.0,,Косметический pемонт,Агентство,Панельный,Вторичный,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,Bulevardul Cuza Vodă 19/8,75
2-х комнатная квартира,Oткрытое,Индивидуальная,122000.0,1,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Exfactor-grup,10,5.0,Кишинёв мун.,Кишинёв,Ботаника,Sarmizegetusa 53,62
2-х комнатная квартира,Oткрытое,Индивидуальная,149900.0,1,1.0,,Eвроремонт,Агентство,Ячеистый Бетон,Новострой,Solomon Construct Imobil,9,2.0,Кишинёв мун.,Кишинёв,Чокана,Bulevardul Mircea cel Bătrân 31/7,72
2-х комнатная квартира,Oткрытое,102,87900.0,2,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Рышкановка,Gheorghe Madan 87/4,57
2-х комнатная квартира,Oткрытое,Брж (Брежневка),59900.0,2,1.0,,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,Sarmizegetusa 37/4,46
2-х комнатная квартира,Oткрытое,Индивидуальная,118000.0,1,1.0,,Eвроремонт,Агентство,Kотельцовый,Новострой,Dansicons,16,8.0,Кишинёв мун.,Кишинёв,Чокана,Bulevardul Mircea cel Bătrân 22/5,68
3-х комнатная квартира,,,153900.0,,,Квартира с ливингом,Eвроремонт,Частное лицо,Kотельцовый,Новострой,Astercon,9,6.0,Кишинёв мун.,Кишинёв,Буюканы,str. Durleşti 10/D,75
2-х комнатная квартира,Oткрытое,Брж (Брежневка),82000.0,1,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,6,5.0,Кишинёв мун.,Кишинёв,Ботаника,Nicolai Zelinski 35,45
2-х комнатная квартира,Oткрытое,Хрущевка,73900.0,1,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,4,3.0,Кишинёв мун.,Кишинёв,Ботаника,Nicolae Titulescu 6,42
1-комнатная квартира,Oткрытое,Индивидуальная,135000.0,1,1.0,,Eвроремонт,Агентство,Ячеистый Бетон,Новострой,Exfactor-grup,10,6.0,Кишинёв мун.,Кишинёв,Центр,str. Albișoara 78/4,49
3-х комнатная квартира,Oткрытое,Брж (Брежневка),119900.0,2,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,2.0,Кишинёв мун.,Кишинёв,Рышкановка,Miron Costin 13/1,75
1-комнатная квартира,Oткрытое,Хрущевка,44900.0,Нет,1.0,,Косметический pемонт,Агентство,Панельный,Вторичный,,7,7.0,Кишинёв мун.,Кишинёв,Буюканы,Sucevița 36/1,31
1-комнатная квартира,,Чш (Чешка),59000.0,1,1.0,Квартира без ливинга,Косметический pемонт,Застройщик,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,Московский пр-т 13/5,32
1-комнатная квартира,Oткрытое,,74400.0,1,1.0,,Белый вариант,Агентство,,Новострой,Estate Invest Company,12,2.0,Кишинёв мун.,Кишинёв,Чокана,str. Bucovinei 3/1,54
2-х комнатная квартира,Oткрытое,143,93900.0,Нет,2.0,,Eвроремонт,Агентство,,Вторичный,,9,1.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân .,51
2-х комнатная квартира,Oткрытое,Хрущевка,111900.0,1,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Ботаника,Nicolae Titulescu 28,60
2-х комнатная квартира,,Индивидуальная,80000.0,1,1.0,,Незавершенное cтроительство,Агентство,Ячеистый Бетон,Новострой,Kirsan,10,6.0,Кишинёв мун.,Кишинёв,Ботаника,Sarmizegetusa 53C,63
2-х комнатная квартира,Oткрытое,143,103000.0,1,2.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,Valea Crucii 24,55
3-х комнатная квартира,Oткрытое,Мс (Молд. Серия),125000.0,1,2.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,2.0,Кишинёв мун.,Кишинёв,Буюканы,Nicolae Costin 63/2,70
4-x комнатная квартира,Oткрытое,135,109000.0,2,2.0,,Косметический pемонт,Агентство,Панельный,Вторичный,,9,5.0,Кишинёв мун.,Кишинёв,Ботаника,Bulevardul Dacia 38,90
2-х комнатная квартира,Подземная,Индивидуальная,75000.0,1,1.0,,Незавершенное cтроительство,Агентство,Kирпичный,Новострой,Lagmar Impex,16,1.0,Кишинёв мун.,Кишинёв,Рышкановка,calea mosilor 4,48
2-х комнатная квартира,Oткрытое,Индивидуальная,154900.0,2,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Pronancons,10,8.0,Кишинёв мун.,Кишинёв,Рышкановка,Pietrariei 19A,79
3-х комнатная квартира,,,100300.0,2,2.0,,Незавершенное cтроительство,Застройщик,,Новострой,Boiar House,10,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/B,100
3-х комнатная квартира,Oткрытое,Индивидуальная,215000.0,3,3.0,,Косметический pемонт,Агентство,Kомбинированный,Новострой,Interactiv,10,9.0,Кишинёв мун.,Кишинёв,Центр,Alexandru cel Bun 108,100
2-х комнатная квартира,Oткрытое,Индивидуальная,174000.0,1,1.0,,Индивидуальный дизайн,Агентство,Kомбинированный,Новострой,Inamstro,13,12.0,Кишинёв мун.,Кишинёв,Буюканы,Calea Ieșilor 6C,60
1-комнатная квартира,Oткрытое,,52900.0,1,1.0,,Eвроремонт,Агентство,Бетон,Новострой,,17,5.0,Кишинёв мун.,Ставчены,Окраина,Unirii 20/2,45
1-комнатная квартира,Oткрытое,Мс (Молд. Серия),63000.0,Нет,1.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,9.0,Кишинёв мун.,Кишинёв,Чокана,Ginta Latină 7,35
1-комнатная квартира,Oткрытое,Индивидуальная,76500.0,2,2.0,,Незавершенное cтроительство,Агентство,Kирпичный,Новострой,Exfactor-grup,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,Dacia 62,51
2-х комнатная квартира,Oткрытое,Варц (Варницкая),81000.0,2,2.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,9.0,Кишинёв мун.,Кишинёв,Телецентр,Pietrarilor 8,57
1-комнатная квартира,Oткрытое,,29900.0,Нет,1.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Чокана,Petru Zadnipru 4/2,15
Комната,Oткрытое,Малосемейная,32999.0,Нет,,,Eвроремонт,Агентство,Панельный,Вторичный,,9,3.0,Кишинёв мун.,Кишинёв,Буюканы,Liviu Deleanu 5V,21
1-комнатная квартира,Подземная,Индивидуальная,134900.0,1,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Braus Imobiliare,21,10.0,Кишинёв мун.,Кишинёв,Чокана,Mircea cel Batran 15b,48
1-комнатная квартира,Oткрытое,Индивидуальная,139900.0,1,1.0,,Eвроремонт,Агентство,Kирпичный,Новострой,Exfactor-grup,13,13.0,Кишинёв мун.,Кишинёв,Буюканы,Vasile Lupu 28,50
2-х комнатная квартира,Oткрытое,Индивидуальная,235000.0,1,2.0,,Eвроремонт,Агентство,Kомбинированный,Вторичный,,10,5.0,Кишинёв мун.,Кишинёв,Центр,Bulevardul Ștefan cel Mare și Sfânt 6,115
1-комнатная квартира,Oткрытое,Индивидуальная,45900.0,1,1.0,,Незавершенное cтроительство,Агентство,Kомбинированный,Новострой,Nicons,10,2.0,Кишинёв мун.,Дурлешты,Центр,Cartușa 99/7,42
1-комнатная квартира,Oткрытое,Индивидуальная,104500.0,Нет,1.0,,Косметический pемонт,Агентство,Kотельцовый,Новострой,,9,1.0,Кишинёв мун.,Кишинёв,Буюканы,Liviu Deleanu 5/6,51
2-х комнатная квартира,Oткрытое,Индивидуальная,44000.0,Нет,1.0,,Белый вариант,Агентство,Kотельцовый,Вторичный,,6,6.0,Кишинёв мун.,Кишинёв,Ботаника,Independenței 12/1,53
2-х комнатная квартира,Подземная,Индивидуальная,139000.0,1,2.0,,Белый вариант,Агентство,Kирпичный,Новострой,Exfactor-grup,10,3.0,Кишинёв мун.,Кишинёв,Буюканы,Ion Buzdugan 13,79
1-комнатная квартира,Oткрытое,Индивидуальная,68500.0,1,1.0,,Eвроремонт,Агентство,Бетон,Вторичный,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,Dacia 71/6,40
2-х комнатная квартира,Oткрытое,Индивидуальная,180000.0,1,2.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Interactiv,10,2.0,Кишинёв мун.,Кишинёв,Центр,Alexandru cel Bun 108,74
1-комнатная квартира,Oткрытое,Индивидуальная,65900.0,1,1.0,,Белый вариант,Агентство,Kирпичный,Новострой,Lagmar Impex,10,3.0,Кишинёв мун.,Кишинёв,Старая Почта,Ceucari 1/1,44
2-х комнатная квартира,Oткрытое,Индивидуальная,79900.0,2,1.0,,Eвроремонт,Агентство,Kотельцовый,Новострой,AMIC,6,6.0,Кишинёв мун.,Кишинёв,Телецентр,Malina Mica 20,51
2-х комнатная квартира,Oткрытое,Индивидуальная,86900.0,Нет,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Nicons,10,1.0,Кишинёв мун.,Дурлешты,Центр,Cartusa 99/7,50
3-х комнатная квартира,Oткрытое,Варц (Варницкая),134900.0,1,2.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,2.0,Кишинёв мун.,Кишинёв,Чокана,Bulevardul Mircea cel Bătrân 25,90
3-х комнатная квартира,Oткрытое,,181900.0,1,2.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,AMIC,10,1.0,Кишинёв мун.,Кишинёв,Рышкановка,Andrei Doga 28/5,101
2-х комнатная квартира,Oткрытое,Индивидуальная,194000.0,1,2.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,,13,6.0,Кишинёв мун.,Кишинёв,Буюканы,Alba-Iulia 77/2,76
2-х комнатная квартира,Oткрытое,102,82900.0,2,2.0,,Без ремонта,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,Bulevardul Moscova 20/4,57
1-комнатная квартира,Oткрытое,Индивидуальная,99000.0,1,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,,6,3.0,Кишинёв мун.,Кишинёв,Чокана,Ion Dumeniuc 4,54
3-х комнатная квартира,Oткрытое,Брж (Брежневка),64900.0,1,2.0,,Без ремонта,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,Sarmizegetusa 37/4,65
3-х комнатная квартира,Oткрытое,Мс (Молд. Серия),125000.0,2,1.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,Bulevardul Dacia 38/8,76
1-комнатная квартира,Гараж,Индивидуальная,63800.0,1,1.0,Квартира с ливингом,Белый вариант,Застройщик,Ячеистый Бетон,Новострой,Astercon,6,2.0,Кишинёв мун.,Дурлешты,Центр,Durlești 8,44
2-х комнатная квартира,,,83000.0,,,Квартира с ливингом,,Агентство,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 161/4,47
2-х комнатная квартира,,,220000.0,1,2.0,,,Агентство,,Новострой,Astercon,10,2.0,Кишинёв мун.,Кишинёв,Центр,str. Melestiu 1/2,75
4-x комнатная квартира,,,126000.0,,2.0,,Без ремонта,Застройщик,,Вторичный,,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Valea Crucii 22,91
4-x комнатная квартира,Oткрытое,Индивидуальная,228000.0,2,2.0,Квартира с ливингом,Eвроремонт,Частное лицо,Mонолитный,Новострой,Eldorado Terra,11,3.0,Кишинёв мун.,Кишинёв,Центр,str. Nicolae Testemițanu 3/7,97
1-комнатная квартира,Гараж,Индивидуальная,63800.0,1,1.0,Квартира с ливингом,Белый вариант,Застройщик,Ячеистый Бетон,Новострой,Astercon,6,2.0,Кишинёв мун.,Дурлешты,Центр,Durlești 8,44
2-х комнатная квартира,,,83000.0,,,Квартира с ливингом,,Агентство,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 161/4,47
2-х комнатная квартира,,,220000.0,1,2.0,,,Агентство,,Новострой,Astercon,10,2.0,Кишинёв мун.,Кишинёв,Центр,str. Melestiu 1/2,75
4-x комнатная квартира,,,126000.0,,2.0,,Без ремонта,Застройщик,,Вторичный,,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Valea Crucii 22,91
4-x комнатная квартира,Oткрытое,Индивидуальная,228000.0,2,2.0,Квартира с ливингом,Eвроремонт,Частное лицо,Mонолитный,Новострой,Eldorado Terra,11,3.0,Кишинёв мун.,Кишинёв,Центр,str. Nicolae Testemițanu 3/7,97
3-х комнатная квартира,,,100300.0,2,2.0,,Незавершенное cтроительство,Застройщик,,Новострой,Boiar House,10,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/B,100
2-х комнатная квартира,Oткрытое,,130000.0,1,1.0,Квартира с ливингом,Индивидуальный дизайн,Частное лицо,Kомбинированный,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Cuza Vodă 38/2,56
2-х комнатная квартира,,,109900.0,,,,Eвроремонт,Агентство,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 130/3,55
1-комнатная квартира,,,55420.0,,,,Белый вариант,Агентство,,Новострой,,10,2.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 11/1,37
3-х комнатная квартира,,,100300.0,2,2.0,,Незавершенное cтроительство,Застройщик,,Новострой,Boiar House,10,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/B,100
2-х комнатная квартира,Oткрытое,,130000.0,1,1.0,Квартира с ливингом,Индивидуальный дизайн,Частное лицо,Kомбинированный,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Cuza Vodă 38/2,56
2-х комнатная квартира,,,109900.0,,,,Eвроремонт,Агентство,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 130/3,55
1-комнатная квартира,,,55420.0,,,,Белый вариант,Агентство,,Новострой,,10,2.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 11/1,37
3-х комнатная квартира,,,100300.0,2,2.0,,Незавершенное cтроительство,Застройщик,,Новострой,Boiar House,10,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/B,100
2-х комнатная квартира,Oткрытое,Индивидуальная,180000.0,1,2.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Interactiv,10,2.0,Кишинёв мун.,Кишинёв,Центр,Alexandru cel Bun 108,74
1-комнатная квартира,Oткрытое,Индивидуальная,88000.0,Нет,1.0,,Белый вариант,Агентство,Kирпичный,Новострой,,9,2.0,Кишинёв мун.,Кишинёв,Ботаника,dacia 58,50
1-комнатная квартира,Oткрытое,Индивидуальная,65900.0,1,1.0,,Белый вариант,Агентство,Kирпичный,Новострой,Lagmar Impex,10,3.0,Кишинёв мун.,Кишинёв,Старая Почта,Ceucari 1/1,44
2-х комнатная квартира,Oткрытое,Индивидуальная,79900.0,2,1.0,,Eвроремонт,Агентство,Kотельцовый,Новострой,AMIC,6,6.0,Кишинёв мун.,Кишинёв,Телецентр,Malina Mica 20,51
1-комнатная квартира,Oткрытое,Индивидуальная,92000.0,1,2.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Exfactor-grup,10,1.0,Кишинёв мун.,Кишинёв,Старая Почта,Vasile Badiu 8/3,55
2-х комнатная квартира,,,95000.0,,,Квартира с ливингом,,Застройщик,,Вторичный,,19,18.0,Кишинёв мун.,Кишинёв,Центр,str. Albisoara 82/4,72
2-х комнатная квартира,Oткрытое,Индивидуальная,86900.0,Нет,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Nicons,10,1.0,Кишинёв мун.,Дурлешты,Центр,Cartusa 99/7,50
3-х комнатная квартира,Oткрытое,Варц (Варницкая),134900.0,1,2.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,2.0,Кишинёв мун.,Кишинёв,Чокана,Bulevardul Mircea cel Bătrân 25,90
3-х комнатная квартира,Oткрытое,,181900.0,1,2.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,AMIC,10,1.0,Кишинёв мун.,Кишинёв,Рышкановка,Andrei Doga 28/5,101
2-х комнатная квартира,Oткрытое,Индивидуальная,148000.0,Нет,2.0,,Eвроремонт,Агентство,Kирпичный,Новострой,Estate Invest Company,12,2.0,Кишинёв мун.,Кишинёв,Телецентр,Ialoveni 136/B,74
2-х комнатная квартира,Oткрытое,Индивидуальная,194000.0,1,2.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,,13,6.0,Кишинёв мун.,Кишинёв,Буюканы,Alba-Iulia 77/2,76
1-комнатная квартира,Oткрытое,Брж (Брежневка),76500.0,1,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,Miron Costin 22,40
2-х комнатная квартира,Oткрытое,102,82900.0,2,2.0,,Без ремонта,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,Bulevardul Moscova 20/4,57
1-комнатная квартира,Oткрытое,Индивидуальная,99000.0,1,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,,6,3.0,Кишинёв мун.,Кишинёв,Чокана,Ion Dumeniuc 4,54
3-х комнатная квартира,Oткрытое,Брж (Брежневка),64900.0,1,2.0,,Без ремонта,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,Sarmizegetusa 37/4,65
1-комнатная квартира,,,134550.0,1,1.0,Квартира с ливингом,Eвроремонт,Агентство,,Вторичный,Comalion & Co,14,14.0,Кишинёв мун.,Кишинёв,Буюканы,str. Ghioceilor 2/1,69
3-х комнатная квартира,Oткрытое,Мс (Молд. Серия),125000.0,2,1.0,,Eвроремонт,Агентство,Панельный,Вторичный,,9,9.0,Кишинёв мун.,Кишинёв,Ботаника,Bulevardul Dacia 38/8,76
Комната,Oткрытое,,35900.0,1,1.0,,Косметический pемонт,Агентство,Kотельцовый,Вторичный,,6,3.0,Кишинёв мун.,Кишинёв,Буюканы,Suceava 119,23
1-комнатная квартира,Oткрытое,Индивидуальная,69000.0,1,2.0,,Косметический pемонт,Агентство,Mонолитный,Вторичный,,16,11.0,Кишинёв мун.,Кишинёв,Центр,Ismail 96,39
2-х комнатная квартира,Oткрытое,Индивидуальная,172900.0,1,1.0,,Eвроремонт,Агентство,Kирпичный,Новострой,Exfactor-grup,10,4.0,Кишинёв мун.,Кишинёв,Буюканы,Ion Buzdugan 13,72
1-комнатная квартира,,,38900.0,Нет,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Буюканы,Ion Pelivan 34/1,20
2-х комнатная квартира,Oткрытое,Индивидуальная,172000.0,1,2.0,,Eвроремонт,Агентство,Ячеистый Бетон,Новострой,,13,7.0,Кишинёв мун.,Кишинёв,Ботаника,Grenoble 257,85
1-комнатная квартира,Oткрытое,,42900.0,Нет,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Чокана,Maria Drăgan 2/1,24
2-х комнатная квартира,Oткрытое,Индивидуальная,220000.0,2,1.0,,Eвроремонт,Агентство,,Новострой,Varicom,17,8.0,Кишинёв мун.,Кишинёв,Рышкановка,Bulevardul Renașterii Naționale 6,84
2-х комнатная квартира,Oткрытое,Индивидуальная,185000.0,1,1.0,,Eвроремонт,Агентство,Kирпичный,Новострой,Exfactor-grup,17,7.0,Кишинёв мун.,Кишинёв,Телецентр,Pietrarilor 10/5,79
2-х комнатная квартира,Oткрытое,Хрущевка,81900.0,1,1.0,,Eвроремонт,Агентство,Панельный,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,Teilor 9/3,46
3-х комнатная квартира,,,119990.0,Нет,1.0,,Косметический pемонт,Агентство,,Вторичный,,1,1.0,Кишинёв мун.,Кишинёв,Центр,Bucuresti 15,89
1-комнатная квартира,Oткрытое,,105000.0,1,1.0,,Eвроремонт,Агентство,Kирпичный,Новострой,Estate Invest Company,10,2.0,Кишинёв мун.,Дурлешты,Окраина,Ialoveni 136,49
3-х комнатная квартира,Oткрытое,Индивидуальная,85500.0,3,2.0,,Незавершенное cтроительство,Агентство,Бетон,Новострой,Nicons,11,3.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 99/7,77
2-х комнатная квартира,Oткрытое,Индивидуальная,121000.0,1,1.0,,Eвроремонт,Агентство,Kотельцовый,Новострой,,11,8.0,Кишинёв мун.,Кишинёв,Буюканы,Alba Iulia 87,64
2-х комнатная квартира,Oткрытое,Индивидуальная,114900.0,1,2.0,,Незавершенное cтроительство,Агентство,Kирпичный,Новострой,,10,4.0,Кишинёв мун.,Кишинёв,Чокана,Milescu Spataru 57A,66
1-комнатная квартира,Oткрытое,Брж (Брежневка),72900.0,1,1.0,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Рышкановка,Florilor 16/1,36
1-комнатная квартира,Oткрытое,Индивидуальная,85700.0,1,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,,16,1.0,Кишинёв мун.,Кишинёв,Ботаника,Burebista 114/2,54
2-х комнатная квартира,Oткрытое,Индивидуальная,159900.0,1,1.0,,Eвроремонт,Агентство,Kомбинированный,Новострой,Sky House,10,10.0,Кишинёв мун.,Кишинёв,Ботаника,Grenoble 120/8,76
2-х комнатная квартира,Oткрытое,,192000.0,1,2.0,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,11,10.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Гренобле 128/1,130
1-комнатная квартира,Oткрытое,Индивидуальная,81000.0,1,1.0,,Незавершенное cтроительство,Агентство,Kирпичный,Новострой,,9,2.0,Кишинёв мун.,Кишинёв,Рышкановка,Tudor Vladimirescu 1\8,49
2-х комнатная квартира,,Индивидуальная,162900.0,1,2.0,,Eвроремонт,Агентство,Kирпичный,Новострой,Braus Imobiliare,22,12.0,Кишинёв мун.,Кишинёв,Чокана,Mircea cel batran 15,70
2-х комнатная квартира,Oткрытое,Хрущевка,89900.0,1,1.0,,Eвроремонт,Агентство,Панельный,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,Hristo Botev 21,49
2-х комнатная квартира,Oткрытое,Индивидуальная,126750.0,1,1.0,,Белый вариант,Агентство,Ячеистый Бетон,Новострой,Lagmar Impex,14,11.0,Кишинёв мун.,Кишинёв,Телецентр,Nicolae Testemițanu 19/A,65
2-х комнатная квартира,,,91900.0,,,,,Агентство,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 23/2,50
2-х комнатная квартира,Oткрытое,,139900.0,1,1.0,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,,9,1.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 95/3,72
1-комнатная квартира,Oткрытое,,87900.0,1,1.0,,Белый вариант,Застройщик,,Новострой,Horus,18,4.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Tudor Vladimirescu 1/8,49
3-х комнатная квартира,Подземная,,95190.0,1,2.0,,Белый вариант,Застройщик,,Новострой,Lagmar Impex,14,7.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 14,81
2-х комнатная квартира,Oткрытое,,219900.0,,1.0,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Inamstro,14,10.0,Кишинёв мун.,Кишинёв,Центр,str. Calea Ieșilor 6,68
1-комнатная квартира,Oткрытое,Индивидуальная,54900.0,,1.0,,Белый вариант,Агентство,,Новострой,,9,7.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti .,41
3-х комнатная квартира,Подземная,,94006.0,1,2.0,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,12,8.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 88/1,85
1-комнатная квартира,Подземная,,47619.0,1,1.0,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,12,3.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 118,43
2-х комнатная квартира,Oткрытое,Индивидуальная,75411.0,1,2.0,,Белый вариант,Агентство,,Новострой,,9,4.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești .,57
2-х комнатная квартира,,,88894.0,,2.0,,Белый вариант,Застройщик,,Новострой,,9,5.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 142,68
1-комнатная квартира,Oткрытое,Индивидуальная,77550.0,1,1.0,,Белый вариант,Агентство,,Новострой,,15,2.0,Кишинёв мун.,Кишинёв,Рышкановка,bd. Renașterii Naționale .,47
2-х комнатная квартира,Подземная,,76283.0,1,1.0,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,12,5.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 88,68
2-х комнатная квартира,Oткрытое,Индивидуальная,220000.0,Нет,2.0,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,13,10.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Каля Ешилор .,67
2-х комнатная квартира,Oткрытое,,129000.0,,1.0,,Белый вариант,Застройщик,,Новострой,Inamstro,16,6.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grădina Botanică 18/1,71
2-х комнатная квартира,Oткрытое,,82000.0,1,1.0,,Eвроремонт,Застройщик,,Вторичный,,4,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nikolai Zelinski 32/2,43
